* Measurement data measured by REW V5.20.4
* Source: Microphone (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 12 Apr, 2022 3:42:33 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Midnight L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	99.020	134.2581
20.600000	98.987	133.6966
20.900000	98.944	133.1829
21.200001	98.897	132.6698
21.400000	98.865	132.3380
21.799999	98.803	131.7093
22.000000	98.774	131.4081
22.400000	98.723	130.8023
22.700001	98.690	130.3371
23.000000	98.657	129.8479
23.299999	98.621	129.3336
23.600000	98.581	128.8192
24.000000	98.522	128.1707
24.299999	98.477	127.7291
24.700001	98.421	127.2004
25.000000	98.386	126.8231
25.400000	98.347	126.2908
25.799999	98.310	125.6996
26.200001	98.265	125.0554
26.500000	98.224	124.5692
26.900000	98.159	123.9700
27.200001	98.106	123.5703
27.600000	98.041	123.0944
28.000000	97.986	122.6456
28.500000	97.928	122.0383
29.000000	97.868	121.3571
29.500000	97.795	120.6445
30.000000	97.713	119.9870
30.400000	97.650	119.5143
30.700001	97.606	119.1850
31.100000	97.556	118.7483
31.500000	97.510	118.2873
32.000000	97.454	117.6751
32.500000	97.392	117.0537
33.000000	97.325	116.4739
33.500000	97.257	115.9366
34.000000	97.195	115.4122
34.500000	97.143	114.8526
35.000000	97.088	114.2539
35.500000	97.027	113.6374
36.000000	96.959	113.0454
36.500000	96.888	112.4986
37.000000	96.820	112.0000
37.500000	96.760	111.5215
38.200001	96.688	110.8377
38.700001	96.635	110.3153
39.500000	96.541	109.4423
40.000000	96.473	108.9017
40.599998	96.387	108.2768
41.200001	96.306	107.6826
41.799999	96.232	107.1201
42.500000	96.155	106.5366
43.099998	96.096	106.1095
