* Measurement data measured by REW V5.20.4
* Source: Microphone (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 12 Apr, 2022 3:45:08 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Midnight R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	98.527	135.4339
20.600000	98.499	135.2331
20.900000	98.480	134.9922
21.200001	98.468	134.6294
21.400000	98.459	134.3183
21.799999	98.436	133.5748
22.000000	98.420	133.1695
22.400000	98.377	132.3510
22.700001	98.341	131.7831
23.000000	98.306	131.2654
23.299999	98.274	130.7743
23.600000	98.243	130.2992
24.000000	98.200	129.6750
24.299999	98.163	129.2142
24.700001	98.106	128.6345
25.000000	98.061	128.2355
25.400000	98.002	127.7333
25.799999	97.950	127.2381
26.200001	97.900	126.7112
26.500000	97.862	126.2937
26.900000	97.806	125.7331
27.200001	97.758	125.3198
27.600000	97.694	124.7874
28.000000	97.629	124.2813
28.500000	97.549	123.6746
29.000000	97.471	123.1012
29.500000	97.403	122.5162
30.000000	97.344	121.8499
30.400000	97.297	121.2346
30.700001	97.258	120.7573
31.100000	97.200	120.1632
31.500000	97.147	119.6580
32.000000	97.099	119.1271
32.500000	97.068	118.5821
33.000000	97.027	117.9789
33.500000	96.955	117.4123
34.000000	96.870	116.9719
34.500000	96.802	116.5461
35.000000	96.748	115.9679
35.500000	96.687	115.2356
36.000000	96.613	114.5616
36.500000	96.545	114.0942
37.000000	96.505	113.7463
37.500000	96.481	113.3088
38.200001	96.412	112.4774
38.700001	96.324	111.9006
39.500000	96.192	111.1816
40.000000	96.136	110.7311
40.599998	96.085	110.1082
41.200001	96.027	109.4816
41.799999	95.960	108.9170
42.500000	95.875	108.3100
43.099998	95.801	107.8010
43.700001	95.734	107.2861
44.400002	95.665	106.6331
45.000000	95.603	106.0171
45.500000	95.541	105.5212
46.200001	95.450	104.9512
46.799999	95.391	104.5161
47.500000	95.338	103.8705
48.200001	95.271	103.1363
48.700001	95.213	102.6985
49.400002	95.136	102.2149
50.000000	95.070	101.8012
50.799999	94.970	101.3133
51.500000	94.914	100.8961
52.200001	94.878	100.1321
53.000000	94.783	99.1107
53.799999	94.682	98.6637
54.500000	94.658	98.3483
55.200001	94.616	97.7433
56.000000	94.508	97.2505
57.000000	94.421	96.7817
58.000000	94.318	95.8910
59.000000	94.211	95.3384
60.000000	94.123	94.6441
60.799999	94.027	94.1472
61.500000	93.966	93.7605
62.200001	93.919	93.2438
63.000000	93.856	92.7218
64.000000	93.796	92.2132
65.000000	93.716	91.5569
66.000000	93.625	90.9704
67.000000	93.559	90.3180
68.000000	93.478	89.6520
69.000000	93.399	89.0608
70.000000	93.330	88.4227
71.000000	93.259	87.8358
72.000000	93.193	87.2442
73.000000	93.115	86.5620
74.000000	93.050	85.9983
75.000000	92.998	85.3843
76.199997	92.912	84.7820
77.500000	92.840	84.0475
78.800003	92.754	83.5119
80.000000	92.685	82.9269
81.199997	92.585	82.2880
82.500000	92.507	81.5324
83.800003	92.428	80.9394
85.000000	92.377	80.3675
86.199997	92.302	79.8149
87.500000	92.226	79.2606
88.500000	92.162	78.7901
90.000000	92.081	78.0797
91.199997	92.020	77.5179
92.500000	91.955	76.9884
93.800003	91.889	76.4310
95.000000	91.821	75.9457
96.199997	91.770	75.4048
97.500000	91.709	74.8194
98.800003	91.654	74.3982
100.000000	91.599	73.8435
101.500000	91.528	73.2766
103.000000	91.466	72.7293
104.400002	91.402	72.1351
106.000000	91.335	71.5543
107.500000	91.271	70.9601
109.000000	91.216	70.5273
110.599998	91.120	69.8938
112.000000	91.080	69.4085
113.800003	91.029	68.6670
115.000000	90.963	68.3142
117.199997	90.886	67.8989
118.000000	90.855	67.7457
120.599998	90.781	66.5983
122.000000	90.728	66.0794
124.099998	90.778	65.6064
125.000000	90.686	65.1095
126.500000	90.586	64.8844
128.000000	90.539	64.2074
131.500000	90.449	63.3240
132.000000	90.443	63.0943
134.000000	90.368	62.5594
136.000000	90.317	62.0320
138.000000	90.260	61.5385
140.000000	90.207	60.9785
143.000000	90.136	60.2400
145.000000	90.087	59.7158
147.500000	90.027	59.0817
150.000000	89.984	58.5337
152.500000	89.918	57.9922
155.000000	89.860	57.4286
157.500000	89.804	56.8605
160.000000	89.749	56.3191
162.500000	89.696	55.8044
165.000000	89.638	55.2891
167.500000	89.588	54.7831
170.000000	89.545	54.3080
172.500000	89.497	53.8407
175.000000	89.457	53.4031
177.500000	89.418	52.9267
180.000000	89.384	52.5014
182.500000	89.343	52.0390
185.000000	89.312	51.6910
187.500000	89.267	51.2121
190.000000	89.255	50.8496
192.500000	89.207	50.4597
195.000000	89.184	50.1013
197.500000	89.159	49.6896
200.000000	89.128	49.3655
203.000000	89.100	48.9479
206.000000	89.068	48.5307
209.000000	89.043	48.1431
212.000000	89.013	47.7667
214.000000	88.997	47.4952
218.000000	88.956	47.0107
220.000000	88.939	46.8002
224.000000	88.898	46.3251
227.000000	88.871	45.9918
230.000000	88.846	45.6712
233.000000	88.820	45.3683
236.000000	88.797	45.0641
240.000000	88.763	44.6488
243.000000	88.745	44.3777
247.000000	88.715	44.0021
250.000000	88.696	43.7290
254.000000	88.675	43.3783
258.000000	88.656	43.0428
262.000000	88.623	42.7306
265.000000	88.615	42.5288
269.000000	88.588	42.1745
272.000000	88.571	41.9940
276.000000	88.550	41.6995
280.000000	88.527	41.4436
285.000000	88.502	41.1344
290.000000	88.472	40.8537
295.000000	88.449	40.5506
300.000000	88.430	40.3168
304.000000	88.412	40.0995
307.000000	88.398	39.9178
311.000000	88.372	39.7424
315.000000	88.353	39.6278
320.000000	88.347	39.5429
325.000000	88.305	39.2527
330.000000	88.291	39.1101
335.000000	88.269	39.0176
340.000000	88.220	38.8239
345.000000	88.235	38.6170
350.000000	88.236	38.7091
355.000000	88.231	38.7435
360.000000	88.239	38.6751
365.000000	88.247	38.7393
370.000000	88.280	38.5219
375.000000	88.326	38.3403
382.000000	88.376	37.5075
387.000000	88.358	37.0623
395.000000	88.321	36.6625
400.000000	88.307	36.6393
406.000000	88.237	36.2189
412.000000	88.171	36.3029
418.000000	88.166	36.3039
425.000000	88.164	36.2310
431.000000	88.126	36.1767
437.000000	88.104	36.1598
444.000000	88.089	36.1091
450.000000	88.077	36.0399
455.000000	88.092	36.1313
462.000000	88.024	35.8457
468.000000	87.943	36.0274
475.000000	87.976	36.0590
482.000000	87.985	36.0212
487.000000	87.990	35.8394
494.000000	87.940	36.1500
500.000000	87.946	36.1595
508.000000	87.917	36.1531
515.000000	87.908	36.1417
522.000000	87.850	36.3293
530.000000	87.872	36.7374
538.000000	87.815	36.3743
545.000000	87.817	36.5017
552.000000	87.827	36.6969
560.000000	87.737	36.7301
570.000000	87.697	37.4987
580.000000	87.773	37.6171
