* Measurement data measured by REW V5.20.4
* Source: Microphone (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 15 Feb, 2022 5:13:16 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Biento L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	101.280	149.8367
20.299999	101.238	149.6995
20.600000	101.208	149.5782
20.900000	101.191	149.4098
21.200001	101.177	149.1260
21.400000	101.165	148.8768
21.799999	101.120	148.3108
22.000000	101.086	148.0379
22.400000	101.007	147.5958
22.700001	100.951	147.3815
23.000000	100.911	147.2069
23.299999	100.885	146.9650
23.600000	100.863	146.6092
24.000000	100.815	145.9819
24.299999	100.753	145.5213
24.700001	100.647	145.1420
25.000000	100.578	145.0992
25.400000	100.540	145.2073
25.799999	100.569	145.0877
26.200001	100.609	144.3921
26.500000	100.593	143.5510
26.900000	100.471	142.3968
27.200001	100.312	141.8737
27.600000	100.082	141.9710
28.000000	99.942	142.8271
28.500000	99.970	143.8024
29.000000	100.079	143.5295
29.500000	100.068	142.3362
30.000000	99.908	141.5220
30.400000	99.785	141.5781
30.700001	99.754	141.8229
31.100000	99.790	141.8116
31.500000	99.834	141.0810
32.000000	99.756	139.5783
32.500000	99.508	138.6702
33.000000	99.276	139.1639
33.500000	99.245	140.2467
34.000000	99.376	140.4177
34.500000	99.461	139.4060
35.000000	99.391	138.1627
35.500000	99.235	137.6039
36.000000	99.118	137.6951
36.500000	99.072	137.8079
37.000000	99.033	137.6648
37.500000	98.966	137.5343
38.200001	98.901	137.6191
38.700001	98.896	137.4311
39.500000	98.798	136.3771
40.000000	98.638	135.9842
40.599998	98.461	136.3405
41.200001	98.427	136.8947
41.799999	98.465	136.6604
42.500000	98.402	135.6739
43.099998	98.261	135.3022
43.700001	98.178	135.4460
44.400002	98.173	135.2709
45.000000	98.132	134.6873
45.500000	98.060	134.3551
46.200001	97.988	134.1660
46.799999	97.947	133.7328
47.500000	97.813	133.1571
48.200001	97.657	133.3897
48.700001	97.629	133.7826
49.400002	97.667	133.6514
50.000000	97.641	132.9678
50.799999	97.500	132.2759
51.500000	97.373	132.0844
52.200001	97.271	132.0150
53.000000	97.184	131.9536
53.799999	97.112	131.6989
54.500000	97.025	131.4233
55.200001	96.936	131.3380
56.000000	96.873	131.2294
57.000000	96.778	130.7890
58.000000	96.646	130.6108
59.000000	96.550	130.4969
60.000000	96.427	130.2564
60.799999	96.331	130.2310
61.500000	96.262	130.1749
62.200001	96.188	130.0916
63.000000	96.117	130.0336
64.000000	96.036	129.6757
65.000000	95.904	129.4406
66.000000	95.823	129.4661
67.000000	95.749	129.1350
68.000000	95.634	128.9619
69.000000	95.544	128.9437
70.000000	95.459	128.8115
71.000000	95.359	128.6876
72.000000	95.263	128.6469
73.000000	95.173	128.5546
74.000000	95.078	128.4708
75.000000	94.993	128.3977
76.199997	94.890	128.2645
77.500000	94.775	128.1393
78.800003	94.663	128.0758
80.000000	94.567	128.0099
81.199997	94.468	127.9170
82.500000	94.359	127.8718
83.800003	94.259	127.8144
85.000000	94.159	127.6910
86.199997	94.051	127.6772
87.500000	93.949	127.5955
88.500000	93.854	127.5899
90.000000	93.740	127.6517
91.199997	93.641	127.6611
92.500000	93.539	127.7591
93.800003	93.447	127.7995
95.000000	93.352	127.7752
96.199997	93.244	127.7768
97.500000	93.128	127.8694
98.800003	93.014	128.1148
100.000000	92.963	128.2835
101.500000	92.844	128.1107
103.000000	92.730	128.3351
104.400002	92.612	128.4153
106.000000	92.523	129.0546
107.500000	92.458	129.2670
109.000000	92.428	129.5893
110.599998	92.365	129.8042
112.000000	92.348	129.7888
113.800003	92.284	129.4772
115.000000	92.200	129.3069
117.199997	92.104	129.1296
118.000000	92.051	129.0023
120.599998	91.895	129.0226
122.000000	91.812	128.9473
124.099998	91.685	128.9818
125.000000	91.628	128.9678
126.500000	91.540	129.0016
128.000000	91.454	129.0038
131.500000	91.274	129.1793
132.000000	91.249	129.1823
134.000000	91.130	129.2736
136.000000	91.019	129.4328
138.000000	90.912	129.6233
140.000000	90.821	129.6634
143.000000	90.678	129.8061
145.000000	90.581	129.9457
147.500000	90.466	130.0596
150.000000	90.339	130.2120
152.500000	90.217	130.3793
155.000000	90.091	130.5337
157.500000	89.968	130.6908
160.000000	89.839	130.8961
162.500000	89.724	131.0851
165.000000	89.596	131.2668
167.500000	89.478	131.4480
170.000000	89.365	131.6822
172.500000	89.259	131.8591
175.000000	89.149	132.0867
177.500000	89.036	132.3761
180.000000	88.927	132.5843
182.500000	88.835	132.9039
185.000000	88.746	133.2393
187.500000	88.644	133.7748
190.000000	88.558	134.0997
192.500000	88.467	134.3234
195.000000	88.418	134.6923
197.500000	88.360	135.0094
200.000000	88.267	135.2121
203.000000	88.198	135.2874
206.000000	88.111	135.3858
209.000000	88.021	135.6346
212.000000	87.921	135.8409
214.000000	87.854	135.9932
218.000000	87.726	136.3820
220.000000	87.655	136.5107
224.000000	87.523	136.8870
227.000000	87.427	137.2043
230.000000	87.331	137.5573
233.000000	87.233	137.9104
