* Measurement data measured by REW V5.20.4
* Source: Microphone (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 15 Feb, 2022 5:14:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Biento L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	99.391	152.1152
20.299999	99.368	151.7806
20.600000	99.338	151.3965
20.900000	99.297	151.0065
21.200001	99.248	150.6479
21.400000	99.213	150.4470
21.799999	99.149	150.1345
22.000000	99.122	150.0050
22.400000	99.083	149.7273
22.700001	99.060	149.4696
23.000000	99.037	149.1518
23.299999	99.006	148.7936
23.600000	98.968	148.4419
24.000000	98.910	148.0400
24.299999	98.870	147.7943
24.700001	98.826	147.4978
25.000000	98.800	147.2479
25.400000	98.763	146.8372
25.799999	98.712	146.4012
26.200001	98.647	146.0480
26.500000	98.598	145.8754
26.900000	98.547	145.7354
27.200001	98.521	145.6090
27.600000	98.496	145.3077
28.000000	98.457	144.8607
28.500000	98.366	144.3217
29.000000	98.256	144.1099
29.500000	98.185	144.1649
30.000000	98.171	144.0900
30.400000	98.170	143.7484
30.700001	98.154	143.3678
31.100000	98.105	142.8445
31.500000	98.034	142.4286
32.000000	97.946	142.0982
32.500000	97.875	141.8341
33.000000	97.811	141.5385
33.500000	97.741	141.2523
34.000000	97.677	141.0228
34.500000	97.631	140.7775
35.000000	97.588	140.4640
35.500000	97.536	140.1248
36.000000	97.482	139.8320
36.500000	97.431	139.5607
37.000000	97.382	139.2576
37.500000	97.324	138.9378
38.200001	97.231	138.6010
38.700001	97.169	138.4260
39.500000	97.079	138.0791
40.000000	97.015	137.8381
40.599998	96.935	137.5984
41.200001	96.861	137.3992
41.799999	96.794	137.1819
42.500000	96.720	136.8705
43.099998	96.655	136.5377
43.700001	96.574	136.2011
44.400002	96.467	135.9780
45.000000	96.395	135.9542
45.500000	96.358	135.9161
46.200001	96.318	135.6859
46.799999	96.268	135.3900
47.500000	96.193	135.1264
48.200001	96.128	134.9439
48.700001	96.088	134.7562
49.400002	96.018	134.3530
50.000000	95.927	134.0174
50.799999	95.782	133.8828
51.500000	95.690	134.0335
52.200001	95.651	134.1005
53.000000	95.625	133.7404
53.799999	95.544	133.1061
54.500000	95.431	132.7422
55.200001	95.327	132.6527
56.000000	95.248	132.6249
57.000000	95.173	132.3900
58.000000	95.072	132.0743
59.000000	94.975	131.9275
60.000000	94.876	131.5667
60.799999	94.766	131.4091
61.500000	94.694	131.4229
62.200001	94.638	131.2956
63.000000	94.558	131.1036
64.000000	94.470	130.8618
65.000000	94.348	130.5854
66.000000	94.256	130.7000
67.000000	94.197	130.4469
68.000000	94.094	130.3322
69.000000	94.027	130.1893
70.000000	93.917	129.9667
71.000000	93.830	129.9651
72.000000	93.738	129.7376
73.000000	93.629	129.7023
74.000000	93.553	129.6523
75.000000	93.468	129.4545
76.199997	93.357	129.3295
77.500000	93.252	129.2119
78.800003	93.144	129.0657
80.000000	93.043	129.0106
81.199997	92.954	128.9266
82.500000	92.845	128.8088
83.800003	92.739	128.7598
85.000000	92.646	128.6844
86.199997	92.550	128.5937
87.500000	92.448	128.5383
88.500000	92.377	128.4774
90.000000	92.255	128.3558
91.199997	92.161	128.3960
92.500000	92.078	128.3665
93.800003	91.979	128.2550
95.000000	91.878	128.2587
96.199997	91.796	128.3169
97.500000	91.712	128.2457
98.800003	91.608	128.1961
100.000000	91.518	128.2602
101.500000	91.426	128.2775
103.000000	91.327	128.1801
104.400002	91.218	128.1289
106.000000	91.107	128.2120
107.500000	91.016	128.2815
109.000000	90.923	128.2155
110.599998	90.802	128.2637
112.000000	90.707	128.3342
113.800003	90.596	128.4417
115.000000	90.519	128.4362
117.199997	90.373	128.5040
118.000000	90.316	128.5361
120.599998	90.138	128.7217
122.000000	90.053	128.8358
124.099998	89.928	129.0443
125.000000	89.875	129.0782
126.500000	89.768	129.2056
128.000000	89.664	129.4475
131.500000	89.437	129.9704
132.000000	89.407	130.0957
134.000000	89.298	130.6440
136.000000	89.227	131.4506
138.000000	89.203	132.0039
140.000000	89.217	132.2845
143.000000	89.227	132.0217
145.000000	89.171	131.4951
147.500000	89.075	131.3160
150.000000	88.952	131.1017
152.500000	88.806	130.9402
155.000000	88.675	130.8555
157.500000	88.573	131.3329
160.000000	88.429	131.2400
162.500000	88.294	131.2652
165.000000	88.160	131.4310
167.500000	88.039	131.5571
170.000000	87.919	131.7324
172.500000	87.807	131.9130
175.000000	87.695	132.1026
177.500000	87.590	132.2711
180.000000	87.484	132.4705
182.500000	87.381	132.6881
185.000000	87.279	132.9407
187.500000	87.176	133.0837
190.000000	87.079	133.3542
192.500000	86.988	133.6038
195.000000	86.899	133.8352
197.500000	86.802	134.0612
200.000000	86.726	134.2344
203.000000	86.620	134.5642
206.000000	86.517	134.8666
209.000000	86.411	135.1816
212.000000	86.309	135.4528
214.000000	86.249	135.6327
218.000000	86.117	136.1205
220.000000	86.051	136.2776
224.000000	85.923	136.6659
227.000000	85.821	136.9796
230.000000	85.713	137.2913
233.000000	85.615	137.6255
236.000000	85.521	137.9702
240.000000	85.410	138.4445
243.000000	85.303	138.7755
247.000000	85.185	139.2513
250.000000	85.100	139.5760
254.000000	84.982	140.0723
258.000000	84.865	140.6103
262.000000	84.764	141.0883
265.000000	84.687	141.5101
269.000000	84.596	142.1318
272.000000	84.532	142.5543
276.000000	84.428	143.0831
280.000000	84.366	143.6272
285.000000	84.269	144.2481
290.000000	84.173	144.7825
295.000000	84.087	145.3254
300.000000	83.972	145.7786
304.000000	83.885	146.1146
307.000000	83.828	146.5014
311.000000	83.733	146.9058
315.000000	83.646	147.2983
320.000000	83.536	147.8572
325.000000	83.430	148.3673
330.000000	83.329	148.9308
335.000000	83.225	149.5457
340.000000	83.120	150.0990
345.000000	83.027	150.6934
350.000000	82.926	151.2816
355.000000	82.832	151.9238
360.000000	82.741	152.5403
365.000000	82.656	153.1458
370.000000	82.562	153.7724
375.000000	82.479	154.3356
382.000000	82.354	155.2637
387.000000	82.270	155.8719
395.000000	82.136	156.8728
400.000000	82.063	157.5086
406.000000	81.959	158.3000
412.000000	81.865	159.0682
418.000000	81.776	159.8401
425.000000	81.671	160.8272
431.000000	81.576	161.6086
437.000000	81.490	162.4000
444.000000	81.394	163.3142
450.000000	81.300	164.1432
455.000000	81.232	164.8439
462.000000	81.139	165.8347
468.000000	81.064	166.6799
475.000000	80.970	167.6145
482.000000	80.879	168.6331
487.000000	80.821	169.3771
494.000000	80.741	170.3660
500.000000	80.666	171.2812
508.000000	80.578	172.4644
515.000000	80.501	173.5470
522.000000	80.419	174.6462
530.000000	80.334	175.8843
538.000000	80.257	177.1461
545.000000	80.185	178.3165
552.000000	80.119	179.4828
560.000000	80.065	-179.2068
570.000000	79.972	-177.4528
580.000000	79.897	-175.6185
590.000000	79.820	-173.8557
600.000000	79.777	-171.9150
608.000000	79.738	-170.4037
615.000000	79.702	-168.9317
622.000000	79.675	-167.5735
630.000000	79.656	-165.9827
640.000000	79.659	-163.8633
650.000000	79.678	-161.7890
660.000000	79.727	-159.6787
670.000000	79.788	-157.5115
680.000000	79.867	-155.5481
690.000000	79.981	-153.5380
700.000000	80.095	-151.6499
710.000000	80.234	-149.9212
720.000000	80.383	-148.2848
730.000000	80.553	-146.7840
740.000000	80.719	-145.4792
750.000000	80.890	-144.2504
762.000000	81.095	-142.8205
775.000000	81.316	-141.5033
788.000000	81.504	-140.3988
800.000000	81.681	-139.4394
812.000000	81.862	-138.6005
825.000000	82.039	-137.7512
838.000000	82.205	-136.9717
850.000000	82.350	-136.3176
862.000000	82.486	-135.7164
875.000000	82.626	-134.9915
885.000000	82.732	-134.5208
900.000000	82.881	-133.7519
912.000000	82.995	-133.2225
925.000000	83.118	-132.5376
938.000000	83.230	-131.9531
950.000000	83.343	-131.3560
962.000000	83.456	-130.8382
975.000000	83.575	-130.1995
988.000000	83.699	-129.6174
1000.000000	83.807	-129.1060
1015.000000	83.944	-128.4552
1030.000000	84.080	-127.8160
1044.000000	84.202	-127.2504
1060.000000	84.341	-126.5891
1075.000000	84.475	-126.0583
1090.000000	84.594	-125.4597
1106.000000	84.720	-124.9533
1120.000000	84.819	-124.3938
1138.000000	84.963	-123.6928
1150.000000	85.057	-123.2571
1172.000000	85.234	-122.6815
1180.000000	85.300	-122.4043
1206.000000	85.502	-121.5051
1220.000000	85.614	-121.0564
1241.000000	85.819	-120.3655
1250.000000	85.901	-120.0916
1265.000000	86.042	-119.6707
1280.000000	86.182	-119.1698
1315.000000	86.517	-118.0919
1320.000000	86.565	-117.9588
1340.000000	86.755	-117.3639
1360.000000	87.001	-116.7596
1380.000000	87.202	-116.1843
1400.000000	87.412	-115.5975
1430.000000	87.728	-114.7729
1450.000000	87.938	-114.2247
1475.000000	88.214	-113.6307
1500.000000	88.489	-113.0009
1525.000000	88.774	-112.3744
1550.000000	89.039	-111.9208
1575.000000	89.305	-111.4458
1600.000000	89.583	-111.0468
1625.000000	89.868	-110.7075
1650.000000	90.160	-110.4507
1675.000000	90.453	-110.2676
1700.000000	90.759	-110.1731
1725.000000	91.065	-110.1730
1750.000000	91.381	-110.2995
1775.000000	91.696	-110.5259
1800.000000	92.015	-110.8990
1825.000000	92.335	-111.3872
1850.000000	92.652	-112.0594
1875.000000	92.967	-112.8197
1900.000000	93.281	-113.7352
1925.000000	93.583	-114.8524
1950.000000	93.867	-116.1099
1975.000000	94.141	-117.5279
2000.000000	94.397	-119.0702
2030.000000	94.678	-121.1416
2060.000000	94.924	-123.4146
2090.000000	95.128	-125.8149
2120.000000	95.284	-128.3590
2140.000000	95.365	-130.0874
2180.000000	95.456	-133.5438
2200.000000	95.471	-135.2625
2240.000000	95.443	-138.5805
2270.000000	95.384	-140.9427
2300.000000	95.307	-143.2690
2330.000000	95.248	-145.7048
2360.000000	95.007	-150.8150
2400.000000	94.211	-147.4957
2430.000000	94.202	-148.5996
2470.000000	94.002	-149.8969
2500.000000	93.821	-150.6502
2540.000000	93.571	-151.3237
2580.000000	93.317	-151.7025
2620.000000	93.074	-151.8022
2650.000000	92.899	-151.6562
2690.000000	92.703	-151.3445
2720.000000	92.565	-151.0973
2760.000000	92.384	-150.6507
2800.000000	92.211	-150.0548
2850.000000	92.026	-149.0936
2900.000000	91.868	-147.9651
2950.000000	91.753	-146.7048
3000.000000	91.661	-145.3965
3040.000000	91.609	-144.2676
3070.000000	91.587	-143.3799
3110.000000	91.562	-142.2386
3150.000000	91.567	-141.0690
3200.000000	91.592	-139.5476
3250.000000	91.652	-138.0341
3300.000000	91.739	-136.5488
3350.000000	91.864	-135.0195
3400.000000	92.029	-133.5281
3450.000000	92.231	-132.1314
3500.000000	92.486	-130.8768
3550.000000	92.781	-129.8294
3600.000000	93.104	-129.0336
3650.000000	93.458	-128.4690
3700.000000	93.844	-128.1636
3750.000000	94.268	-128.1932
3820.000000	94.905	-128.8172
3870.000000	95.397	-129.8772
3950.000000	96.208	-132.9115
4000.000000	96.698	-135.7940
4060.000000	97.227	-140.3777
4120.000000	97.623	-146.2049
4180.000000	97.802	-153.0039
4250.000000	97.670	-161.4204
4310.000000	97.259	-168.2756
4370.000000	96.631	-174.2133
4440.000000	95.717	-179.5682
4500.000000	94.852	177.2148
4550.000000	94.117	175.3813
4620.000000	93.101	173.9791
4680.000000	92.268	173.6078
4750.000000	91.350	173.9522
4820.000000	90.486	174.9784
4870.000000	89.897	176.0622
4940.000000	89.096	177.9664
5000.000000	88.411	-179.9395
5080.000000	87.502	-173.9211
5150.000000	87.814	-171.5791
5220.000000	87.213	-171.0148
5300.000000	86.596	-168.0752
5380.000000	86.077	-164.7558
5450.000000	85.687	-161.7469
5520.000000	85.316	-158.5697
5600.000000	84.939	-155.0072
5700.000000	84.551	-150.3521
5800.000000	84.273	-145.8837
5900.000000	83.983	-141.6701
6000.000000	83.681	-137.3889
6080.000000	83.407	-133.8696
6150.000000	83.197	-130.3551
6220.000000	83.053	-126.6103
6300.000000	82.880	-122.0573
6400.000000	82.773	-115.8966
6500.000000	82.830	-109.5319
6600.000000	83.003	-103.3685
6700.000000	83.273	-97.3797
