* Measurement data measured by REW V5.20.4
* Source: Microphone (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 1 Mar, 2022 10:35:51 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Ola L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	83.276	-126.6680
20.299999	83.378	-127.1188
20.600000	83.469	-127.5964
20.900000	83.549	-128.0605
21.200001	83.620	-128.4936
21.400000	83.667	-128.7553
21.799999	83.758	-129.2117
22.000000	83.804	-129.4135
22.400000	83.902	-129.7965
22.700001	83.982	-130.0756
23.000000	84.066	-130.3759
23.299999	84.153	-130.7299
23.600000	84.238	-131.1436
24.000000	84.338	-131.7779
24.299999	84.399	-132.2770
24.700001	84.457	-132.8786
25.000000	84.491	-133.2196
25.400000	84.539	-133.5060
25.799999	84.609	-133.6648
26.200001	84.707	-133.8583
26.500000	84.790	-134.1071
26.900000	84.893	-134.5881
27.200001	84.953	-135.0157
27.600000	85.011	-135.5663
28.000000	85.053	-135.9829
28.500000	85.116	-136.3170
29.000000	85.206	-136.6270
29.500000	85.308	-137.1021
30.000000	85.391	-137.7068
30.400000	85.439	-138.1631
30.700001	85.469	-138.4313
31.100000	85.515	-138.6982
31.500000	85.577	-138.9400
32.000000	85.668	-139.3472
32.500000	85.749	-139.9164
33.000000	85.802	-140.4973
33.500000	85.834	-140.9308
34.000000	85.877	-141.2042
34.500000	85.946	-141.4796
35.000000	86.021	-141.8702
35.500000	86.081	-142.3403
36.000000	86.125	-142.7569
36.500000	86.165	-143.0676
37.000000	86.216	-143.3322
37.500000	86.274	-143.6416
38.200001	86.344	-144.1475
38.700001	86.380	-144.4946
39.500000	86.435	-144.9820
40.000000	86.471	-145.2779
40.599998	86.512	-145.6311
41.200001	86.555	-145.9744
41.799999	86.602	-146.3484
42.500000	86.649	-146.8417
43.099998	86.680	-147.2310
43.700001	86.714	-147.5531
44.400002	86.764	-147.9448
45.000000	86.802	-148.3236
45.500000	86.827	-148.5913
46.200001	86.873	-148.8647
46.799999	86.928	-149.1482
47.500000	86.979	-149.5703
48.200001	87.018	-149.8781
48.700001	87.062	-150.0667
49.400002	87.132	-150.5455
50.000000	87.156	-151.0932
50.799999	87.143	-151.5390
51.500000	87.158	-151.6921
52.200001	87.191	-151.9519
53.000000	87.214	-152.2886
53.799999	87.243	-152.5282
54.500000	87.277	-152.7912
55.200001	87.307	-153.0754
56.000000	87.345	-153.3879
57.000000	87.388	-153.8396
58.000000	87.427	-154.2244
59.000000	87.462	-154.6791
60.000000	87.466	-155.0500
60.799999	87.482	-155.2378
61.500000	87.501	-155.4489
62.200001	87.513	-155.6562
63.000000	87.532	-155.8515
64.000000	87.560	-156.1596
65.000000	87.587	-156.4066
66.000000	87.641	-156.7493
67.000000	87.660	-157.2946
68.000000	87.661	-157.4868
69.000000	87.707	-157.7502
70.000000	87.716	-158.1771
71.000000	87.720	-158.3560
72.000000	87.744	-158.5958
73.000000	87.758	-158.8828
74.000000	87.768	-159.1305
75.000000	87.787	-159.3299
76.199997	87.820	-159.7203
77.500000	87.810	-160.1196
78.800003	87.823	-160.2248
80.000000	87.848	-160.5067
81.199997	87.853	-160.7382
82.500000	87.875	-160.9581
83.800003	87.894	-161.2545
85.000000	87.907	-161.5186
86.199997	87.917	-161.7450
87.500000	87.932	-161.9891
88.500000	87.940	-162.1768
90.000000	87.953	-162.4268
91.199997	87.962	-162.6608
92.500000	87.966	-162.8626
93.800003	87.981	-163.0408
95.000000	87.993	-163.2454
96.199997	88.003	-163.4629
97.500000	88.003	-163.6285
98.800003	88.025	-163.8256
100.000000	88.018	-164.0423
101.500000	88.028	-164.2003
103.000000	88.047	-164.3689
104.400002	88.045	-164.6418
106.000000	88.066	-164.7527
107.500000	88.064	-164.9629
109.000000	88.081	-165.1680
110.599998	88.080	-165.3889
112.000000	88.078	-165.5855
113.800003	88.081	-165.7635
115.000000	88.085	-165.7788
117.199997	88.115	-166.1245
118.000000	88.115	-166.2112
120.599998	88.113	-166.4236
122.000000	88.113	-166.5944
124.099998	88.115	-166.8136
125.000000	88.118	-166.9166
126.500000	88.119	-167.0478
128.000000	88.130	-167.1661
131.500000	88.136	-167.4790
132.000000	88.139	-167.5321
134.000000	88.136	-167.7514
136.000000	88.140	-167.9155
138.000000	88.144	-168.0307
140.000000	88.138	-168.1987
143.000000	88.145	-168.4178
145.000000	88.151	-168.5947
147.500000	88.154	-168.6942
150.000000	88.194	-168.4359
152.500000	88.141	-168.9646
155.000000	88.135	-168.9813
157.500000	88.128	-169.2214
160.000000	88.117	-169.4008
162.500000	88.113	-169.4990
165.000000	88.101	-169.5467
167.500000	88.095	-169.7139
170.000000	88.089	-169.7890
172.500000	88.081	-169.8944
175.000000	88.055	-170.0500
177.500000	88.093	-170.5963
180.000000	88.033	-170.1688
182.500000	88.076	-170.3220
185.000000	88.091	-170.1270
187.500000	88.040	-170.2489
190.000000	88.022	-170.5037
192.500000	88.049	-170.3951
195.000000	88.043	-170.7760
197.500000	88.021	-170.6892
200.000000	88.034	-170.7520
203.000000	88.039	-170.9226
206.000000	88.034	-170.9357
209.000000	88.033	-171.0279
212.000000	88.027	-171.1457
214.000000	88.031	-171.0155
218.000000	88.019	-171.1404
220.000000	88.008	-171.1106
224.000000	87.987	-171.1578
227.000000	87.974	-171.3171
230.000000	88.032	-171.4479
233.000000	87.972	-171.4692
236.000000	87.967	-171.2969
240.000000	87.959	-171.3552
243.000000	87.943	-171.4345
247.000000	87.962	-171.3225
250.000000	87.972	-171.5383
254.000000	87.952	-171.2915
258.000000	87.929	-171.1144
262.000000	87.889	-171.3086
265.000000	87.906	-171.2572
269.000000	87.895	-171.2545
272.000000	87.869	-171.2842
276.000000	87.878	-171.2013
280.000000	87.870	-171.0385
285.000000	87.824	-171.0773
290.000000	87.826	-171.0845
295.000000	87.806	-171.0963
300.000000	87.804	-170.8678
304.000000	87.780	-170.8776
307.000000	87.776	-170.8930
311.000000	87.738	-170.6834
315.000000	87.737	-170.7788
320.000000	87.747	-170.6110
325.000000	87.709	-170.6358
330.000000	87.691	-170.5500
335.000000	87.672	-170.4014
340.000000	87.654	-170.2096
345.000000	87.633	-170.1252
350.000000	87.626	-169.9407
355.000000	87.614	-169.8698
360.000000	87.589	-169.8761
365.000000	87.584	-169.7653
370.000000	87.572	-169.6122
375.000000	87.563	-169.4016
382.000000	87.544	-169.2543
387.000000	87.520	-169.0937
395.000000	87.492	-168.8417
400.000000	87.475	-168.7132
406.000000	87.463	-168.5414
412.000000	87.442	-168.3265
418.000000	87.428	-168.1310
425.000000	87.403	-167.8652
431.000000	87.383	-167.7329
437.000000	87.366	-167.4937
444.000000	87.341	-167.2590
450.000000	87.351	-166.9235
455.000000	87.319	-166.8488
462.000000	87.286	-166.6142
468.000000	87.266	-166.3621
475.000000	87.242	-166.0978
482.000000	87.219	-165.6950
487.000000	87.211	-165.6121
494.000000	87.203	-165.1704
