* Measurement data measured by REW V5.20.4
* Source: Microphone (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 1 Mar, 2022 10:34:39 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Ola R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	84.840	-128.0800
20.299999	84.933	-128.5436
20.600000	85.019	-129.0072
20.900000	85.099	-129.4440
21.200001	85.176	-129.8534
21.400000	85.229	-130.1097
21.799999	85.334	-130.5880
22.000000	85.387	-130.8185
22.400000	85.495	-131.2876
22.700001	85.575	-131.6388
23.000000	85.654	-131.9924
23.299999	85.730	-132.3555
23.600000	85.803	-132.7183
24.000000	85.896	-133.1912
24.299999	85.961	-133.5303
24.700001	86.045	-133.9432
25.000000	86.107	-134.2214
25.400000	86.192	-134.5731
25.799999	86.281	-134.9279
26.200001	86.369	-135.3214
26.500000	86.431	-135.6419
26.900000	86.503	-136.0713
27.200001	86.550	-136.3778
27.600000	86.609	-136.7498
28.000000	86.671	-137.0855
28.500000	86.755	-137.5199
29.000000	86.839	-138.0174
29.500000	86.912	-138.5682
30.000000	86.975	-139.0950
30.400000	87.025	-139.4779
30.700001	87.063	-139.7436
31.100000	87.119	-140.0975
31.500000	87.176	-140.4762
32.000000	87.244	-140.9821
32.500000	87.303	-141.4876
33.000000	87.356	-141.9395
33.500000	87.409	-142.3422
34.000000	87.466	-142.7298
34.500000	87.530	-143.1395
35.000000	87.589	-143.5540
35.500000	87.645	-143.9476
36.000000	87.701	-144.3154
36.500000	87.758	-144.6913
37.000000	87.811	-145.0874
37.500000	87.856	-145.4793
38.200001	87.910	-145.9404
38.700001	87.952	-146.2275
39.500000	88.027	-146.7587
40.000000	88.068	-147.1478
40.599998	88.106	-147.6029
41.200001	88.140	-147.9876
41.799999	88.181	-148.3349
42.500000	88.236	-148.7777
43.099998	88.279	-149.1981
43.700001	88.313	-149.5921
44.400002	88.354	-149.9767
45.000000	88.394	-150.2941
45.500000	88.427	-150.5786
46.200001	88.467	-150.9588
46.799999	88.503	-151.2659
47.500000	88.539	-151.6852
48.200001	88.550	-152.0548
48.700001	88.557	-152.1602
49.400002	88.609	-152.2290
50.000000	88.681	-152.5599
50.799999	88.723	-153.3368
51.500000	88.712	-153.7773
52.200001	88.731	-153.9820
53.000000	88.780	-154.4094
53.799999	88.799	-154.8955
54.500000	88.819	-155.1774
55.200001	88.852	-155.5321
56.000000	88.864	-155.9702
57.000000	88.885	-156.1968
58.000000	88.944	-156.6239
59.000000	88.957	-157.0753
60.000000	88.997	-157.3977
60.799999	89.017	-157.9077
61.500000	89.003	-158.1861
62.200001	89.015	-158.2469
63.000000	89.063	-158.5183
64.000000	89.078	-159.0258
65.000000	89.096	-159.2335
66.000000	89.141	-159.5780
67.000000	89.162	-160.0465
68.000000	89.157	-160.3894
69.000000	89.173	-160.5557
70.000000	89.207	-160.9094
71.000000	89.217	-161.2805
72.000000	89.234	-161.6234
73.000000	89.235	-161.9490
74.000000	89.254	-162.1177
75.000000	89.279	-162.4619
76.199997	89.289	-162.7243
77.500000	89.314	-163.1366
78.800003	89.313	-163.4074
80.000000	89.331	-163.7428
81.199997	89.333	-164.0091
82.500000	89.355	-164.3292
83.800003	89.368	-164.6449
85.000000	89.381	-164.9432
86.199997	89.388	-165.1761
87.500000	89.403	-165.4521
88.500000	89.409	-165.6882
90.000000	89.411	-165.9774
91.199997	89.423	-166.2182
92.500000	89.427	-166.5130
93.800003	89.434	-166.7630
95.000000	89.435	-166.9977
96.199997	89.443	-167.1785
97.500000	89.453	-167.4434
98.800003	89.454	-167.6748
100.000000	89.458	-167.8704
101.500000	89.471	-168.1387
103.000000	89.460	-168.4044
104.400002	89.489	-168.5567
106.000000	89.474	-168.9550
107.500000	89.476	-169.1057
109.000000	89.473	-169.3094
110.599998	89.470	-169.5338
112.000000	89.477	-169.7240
113.800003	89.464	-170.0669
115.000000	89.466	-170.1746
117.199997	89.465	-170.4652
118.000000	89.471	-170.5635
120.599998	89.465	-170.9063
122.000000	89.462	-171.0983
124.099998	89.454	-171.3662
125.000000	89.452	-171.4433
126.500000	89.450	-171.6767
128.000000	89.452	-171.7570
131.500000	89.456	-172.1496
132.000000	89.455	-172.2208
134.000000	89.441	-172.4388
136.000000	89.436	-172.5888
138.000000	89.429	-172.7887
140.000000	89.424	-172.9837
143.000000	89.416	-173.2523
145.000000	89.405	-173.4472
147.500000	89.399	-173.7306
150.000000	89.436	-174.1123
152.500000	89.378	-174.0248
155.000000	89.380	-174.1574
157.500000	89.332	-174.4159
160.000000	89.323	-174.6069
162.500000	89.313	-174.7238
165.000000	89.295	-174.9203
167.500000	89.270	-175.1045
170.000000	89.254	-175.2388
172.500000	89.235	-175.4299
175.000000	89.232	-175.5661
177.500000	89.198	-175.7401
180.000000	89.260	-175.5099
182.500000	89.197	-175.9391
185.000000	89.161	-175.5362
187.500000	89.156	-176.1297
190.000000	89.145	-176.1681
192.500000	89.137	-176.3447
195.000000	89.120	-176.3219
197.500000	89.120	-176.6176
200.000000	89.104	-176.5978
203.000000	89.090	-176.7761
206.000000	89.074	-176.8840
209.000000	89.051	-176.9543
212.000000	89.056	-176.9581
214.000000	89.033	-177.0603
218.000000	89.007	-177.1495
220.000000	89.003	-177.2838
224.000000	88.978	-177.3999
227.000000	88.953	-177.4548
230.000000	88.935	-177.3435
233.000000	88.907	-177.4386
236.000000	88.895	-177.4787
240.000000	88.874	-177.6860
243.000000	88.853	-177.6147
247.000000	88.828	-177.5684
250.000000	88.831	-177.5807
254.000000	88.791	-177.7326
258.000000	88.760	-177.7347
262.000000	88.734	-177.7129
265.000000	88.728	-177.7070
269.000000	88.684	-177.6433
272.000000	88.674	-177.7196
276.000000	88.645	-177.6899
280.000000	88.629	-177.7657
285.000000	88.592	-177.7849
290.000000	88.575	-177.7826
295.000000	88.530	-177.5738
300.000000	88.496	-177.5909
304.000000	88.462	-177.6561
307.000000	88.447	-177.3823
311.000000	88.395	-177.3538
315.000000	88.383	-177.4741
320.000000	88.351	-177.3574
325.000000	88.317	-177.1885
330.000000	88.287	-177.1719
335.000000	88.256	-177.0520
340.000000	88.224	-176.9019
345.000000	88.181	-176.8374
350.000000	88.186	-176.7811
355.000000	88.145	-176.5946
360.000000	88.100	-176.4720
365.000000	88.085	-176.4007
370.000000	88.057	-176.2280
375.000000	88.027	-176.0432
382.000000	87.989	-175.8951
387.000000	87.959	-175.6768
395.000000	87.913	-175.4150
400.000000	87.885	-175.2413
406.000000	87.850	-174.9995
412.000000	87.818	-174.7903
418.000000	87.794	-174.5862
425.000000	87.757	-174.2845
431.000000	87.724	-174.0620
437.000000	87.692	-173.8242
444.000000	87.656	-173.5405
450.000000	87.630	-173.0491
455.000000	87.600	-172.9384
462.000000	87.562	-172.6708
468.000000	87.540	-172.4592
475.000000	87.510	-172.1019
482.000000	87.487	-171.8256
487.000000	87.457	-171.5338
494.000000	87.434	-171.1546
500.000000	87.412	-170.8865
508.000000	87.381	-170.5569
515.000000	87.364	-170.1175
522.000000	87.333	-169.7461
530.000000	87.311	-169.3813
538.000000	87.282	-168.9163
545.000000	87.261	-168.5369
552.000000	87.236	-168.1448
560.000000	87.207	-167.6645
570.000000	87.181	-167.0769
580.000000	87.144	-166.4625
590.000000	87.119	-165.7753
600.000000	87.099	-165.0623
608.000000	87.084	-164.4303
615.000000	87.067	-163.8720
622.000000	87.061	-163.3823
630.000000	87.056	-162.7692
640.000000	87.056	-161.9961
650.000000	87.043	-161.0999
660.000000	87.077	-160.3668
670.000000	87.105	-159.6155
680.000000	87.145	-158.9582
690.000000	87.153	-158.2670
700.000000	87.182	-157.5919
710.000000	87.203	-156.9030
720.000000	87.238	-156.2095
730.000000	87.277	-155.4694
740.000000	87.333	-154.8763
750.000000	87.383	-154.3272
762.000000	87.471	-153.4857
775.000000	87.573	-152.7643
788.000000	87.691	-152.3004
800.000000	87.807	-152.1761
812.000000	87.907	-152.3866
825.000000	87.944	-153.0049
838.000000	87.860	-153.6167
850.000000	87.704	-153.6848
862.000000	87.532	-152.8665
875.000000	87.411	-151.5716
885.000000	87.372	-150.3874
900.000000	87.369	-148.7676
912.000000	87.405	-147.4761
925.000000	87.472	-146.1964
938.000000	87.551	-145.1117
950.000000	87.645	-144.2025
962.000000	87.729	-143.2273
975.000000	87.847	-142.3256
988.000000	87.966	-141.5469
1000.000000	88.072	-140.8947
1015.000000	88.210	-140.0932
1030.000000	88.359	-139.3878
1044.000000	88.484	-138.7968
1060.000000	88.634	-138.2031
1075.000000	88.768	-137.6887
1090.000000	88.894	-137.2251
1106.000000	89.020	-136.7721
1120.000000	89.135	-136.4225
1138.000000	89.275	-136.0265
1150.000000	89.376	-135.7606
1172.000000	89.525	-135.3927
1180.000000	89.584	-135.2533
1206.000000	89.765	-134.8493
1220.000000	89.882	-134.6433
1241.000000	90.071	-134.3819
1250.000000	90.147	-134.2765
1265.000000	90.281	-134.1207
1280.000000	90.413	-133.9590
1315.000000	90.713	-133.5961
1320.000000	90.751	-133.5679
1340.000000	90.919	-133.3754
1360.000000	91.129	-133.2129
1380.000000	91.309	-133.0195
1400.000000	91.483	-132.8596
1430.000000	91.757	-132.6634
1450.000000	91.943	-132.5978
1475.000000	92.165	-132.5401
1500.000000	92.401	-132.5203
1525.000000	92.633	-132.5556
1550.000000	92.839	-132.6646
1575.000000	93.049	-132.9141
1600.000000	93.259	-133.1999
1625.000000	93.461	-133.5785
1650.000000	93.660	-134.0236
1675.000000	93.852	-134.6245
1700.000000	94.037	-135.2858
1725.000000	94.213	-136.0034
1750.000000	94.377	-136.7883
1775.000000	94.525	-137.6464
1800.000000	94.662	-138.5256
1825.000000	94.787	-139.4368
1850.000000	94.899	-140.3581
1875.000000	95.000	-141.2895
1900.000000	95.089	-142.2345
1925.000000	95.165	-143.1975
1950.000000	95.227	-144.1110
1975.000000	95.282	-145.0450
2000.000000	95.327	-145.9553
2030.000000	95.369	-147.0212
2060.000000	95.400	-148.0536
2090.000000	95.424	-149.0670
2120.000000	95.435	-150.0424
2140.000000	95.439	-150.6783
2180.000000	95.435	-151.9094
2200.000000	95.427	-152.4897
2240.000000	95.401	-153.6330
2270.000000	95.376	-154.4676
2300.000000	95.344	-155.2676
2330.000000	95.308	-156.0204
2360.000000	95.265	-156.7495
2400.000000	95.200	-157.6724
2430.000000	95.143	-158.3339
2470.000000	95.064	-159.1385
2500.000000	94.998	-159.7267
2540.000000	94.907	-160.4525
2580.000000	94.805	-161.1169
2620.000000	94.701	-161.6796
2650.000000	94.617	-162.0582
2690.000000	94.504	-162.5469
2720.000000	94.416	-162.8512
2760.000000	94.299	-163.2136
2800.000000	94.177	-163.4913
2850.000000	94.022	-163.7750
2900.000000	93.868	-163.9524
2950.000000	93.714	-164.0375
3000.000000	93.558	-164.0662
3040.000000	93.435	-163.9942
3070.000000	93.340	-163.9021
3110.000000	93.222	-163.8048
3150.000000	93.099	-163.6082
3200.000000	92.956	-163.3221
3250.000000	92.813	-162.9650
3300.000000	92.673	-162.5384
3350.000000	92.542	-162.0899
3400.000000	92.409	-161.5755
3450.000000	92.293	-161.0184
3500.000000	92.175	-160.3877
3550.000000	92.067	-159.7649
3600.000000	91.960	-159.0931
3650.000000	91.859	-158.3647
3700.000000	91.768	-157.6247
3750.000000	91.680	-156.8298
3820.000000	91.566	-155.7569
3870.000000	91.495	-154.8870
3950.000000	91.386	-153.5980
