* Measurement data measured by REW V5.20.4
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.540
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 13 Aug, 2022 11:07:08 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: CRA+ L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	90.348	-120.5632
20.600000	90.443	-121.4553
20.900000	90.503	-122.3087
21.200001	90.547	-123.0522
21.400000	90.579	-123.4554
21.799999	90.661	-124.0682
22.000000	90.714	-124.3058
22.400000	90.839	-124.7252
22.700001	90.936	-125.0316
23.000000	91.025	-125.3439
23.299999	91.104	-125.6725
23.600000	91.174	-126.0486
24.000000	91.262	-126.6974
24.299999	91.325	-127.3449
24.700001	91.410	-128.4268
25.000000	91.476	-129.3478
25.400000	91.577	-130.6149
25.799999	91.696	-131.8272
26.200001	91.824	-132.9334
26.500000	91.908	-133.6611
26.900000	91.983	-134.4143
27.200001	92.005	-134.7394
27.600000	92.009	-134.8002
28.000000	92.020	-134.5538
28.500000	92.083	-134.3027
29.000000	92.174	-134.6242
29.500000	92.235	-135.4481
30.000000	92.260	-136.2688
30.400000	92.291	-136.7457
30.700001	92.332	-137.0717
31.100000	92.398	-137.6387
31.500000	92.444	-138.3986
32.000000	92.438	-139.3463
32.500000	92.395	-139.8309
33.000000	92.412	-139.7932
33.500000	92.527	-139.7086
34.000000	92.684	-139.9825
34.500000	92.806	-140.4940
35.000000	92.870	-140.9403
35.500000	92.902	-141.2736
36.000000	92.915	-141.6900
36.500000	92.903	-142.2772
37.000000	92.872	-142.9072
37.500000	92.854	-143.4612
38.200001	92.899	-144.2064
38.700001	92.962	-144.7964
39.500000	93.063	-145.6042
40.000000	93.116	-145.9282
40.599998	93.173	-146.2576
41.200001	93.216	-146.7110
41.799999	93.239	-147.3189
42.500000	93.250	-148.0118
43.099998	93.275	-148.3956
43.700001	93.322	-148.6630
44.400002	93.368	-149.0529
45.000000	93.372	-149.4263
45.500000	93.376	-149.7141
46.200001	93.423	-150.2453
46.799999	93.480	-150.8598
47.500000	93.522	-151.3777
48.200001	93.546	-151.6299
48.700001	93.540	-151.8907
49.400002	93.477	-152.3706
50.000000	93.437	-152.6735
