* Measurement data measured by REW V5.20.4
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.540
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 13 Aug, 2022 11:04:13 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: CRA+ L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	89.322	-120.4734
20.600000	89.425	-120.7919
20.900000	89.525	-121.3146
21.200001	89.608	-122.0180
21.400000	89.653	-122.5209
21.799999	89.723	-123.4787
22.000000	89.756	-123.8814
22.400000	89.833	-124.4961
22.700001	89.910	-124.8498
23.000000	90.001	-125.2029
23.299999	90.095	-125.6167
23.600000	90.178	-126.1049
24.000000	90.261	-126.8403
24.299999	90.301	-127.4033
24.700001	90.337	-128.1159
25.000000	90.363	-128.6142
25.400000	90.412	-129.2543
25.799999	90.481	-129.9006
26.200001	90.566	-130.5515
26.500000	90.632	-131.0138
26.900000	90.713	-131.5466
27.200001	90.767	-131.8596
27.600000	90.836	-132.1695
28.000000	90.907	-132.4349
28.500000	91.002	-132.8941
29.000000	91.088	-133.6378
29.500000	91.145	-134.5680
30.000000	91.181	-135.3935
30.400000	91.218	-135.8481
30.700001	91.259	-136.0882
31.100000	91.330	-136.3822
31.500000	91.403	-136.7376
32.000000	91.469	-137.2723
32.500000	91.500	-137.7815
33.000000	91.528	-138.2354
33.500000	91.572	-138.8009
34.000000	91.618	-139.5912
34.500000	91.642	-140.4129
35.000000	91.650	-140.9571
35.500000	91.685	-141.1631
36.000000	91.767	-141.3201
36.500000	91.865	-141.6990
37.000000	91.935	-142.2637
37.500000	91.975	-142.7996
38.200001	92.029	-143.3788
38.700001	92.081	-143.8245
39.500000	92.144	-144.6894
40.000000	92.162	-145.1800
40.599998	92.178	-145.6775
41.200001	92.201	-146.1687
41.799999	92.230	-146.6586
42.500000	92.280	-147.1511
43.099998	92.336	-147.5262
43.700001	92.382	-147.9039
44.400002	92.407	-148.3237
45.000000	92.420	-148.6568
45.500000	92.439	-148.9580
46.200001	92.477	-149.4348
46.799999	92.503	-149.7831
47.500000	92.528	-150.0136
48.200001	92.570	-150.4104
48.700001	92.600	-151.0794
49.400002	92.602	-152.3864
50.000000	92.581	-153.1659
50.799999	92.631	-153.0754
51.500000	92.773	-152.6278
52.200001	92.876	-152.7707
53.000000	92.819	-153.5087
53.799999	92.719	-153.9043
54.500000	92.774	-154.2213
55.200001	92.850	-155.0390
56.000000	92.801	-155.4994
57.000000	92.862	-155.2904
58.000000	92.914	-156.6208
59.000000	92.852	-155.5434
60.000000	93.138	-155.0191
60.799999	93.079	-156.7515
61.500000	92.902	-157.3730
62.200001	92.928	-157.5451
63.000000	93.028	-158.4883
64.000000	92.972	-159.1465
65.000000	92.921	-159.2301
66.000000	92.938	-159.2810
67.000000	93.028	-159.4721
68.000000	93.040	-160.1269
69.000000	93.007	-160.7113
70.000000	93.051	-160.6200
71.000000	93.162	-160.7894
72.000000	93.124	-161.3686
73.000000	93.126	-161.6196
74.000000	93.151	-162.2067
75.000000	93.122	-162.4711
76.199997	93.117	-163.2260
77.500000	93.151	-163.3110
78.800003	93.219	-163.5182
80.000000	93.161	-163.9404
81.199997	93.183	-164.3646
82.500000	93.225	-164.7022
83.800003	93.226	-164.8335
85.000000	93.210	-165.2834
86.199997	93.198	-165.5251
87.500000	93.237	-165.8645
88.500000	93.218	-166.0747
90.000000	93.226	-166.5134
91.199997	93.230	-166.7884
92.500000	93.239	-167.0153
93.800003	93.240	-167.3482
95.000000	93.239	-167.5637
96.199997	93.240	-167.7190
97.500000	93.255	-168.1628
98.800003	93.237	-168.2909
100.000000	93.275	-168.2076
101.500000	93.234	-168.9583
103.000000	93.255	-169.2257
104.400002	93.230	-169.4156
106.000000	93.242	-169.7724
107.500000	93.247	-170.0202
109.000000	93.236	-170.2712
110.599998	93.224	-170.6455
112.000000	93.222	-170.6807
113.800003	93.216	-171.2446
115.000000	93.197	-171.3876
117.199997	93.197	-171.6314
118.000000	93.187	-171.8224
120.599998	93.186	-172.0962
122.000000	93.187	-172.1647
124.099998	93.173	-172.4595
125.000000	93.167	-172.6279
126.500000	93.156	-172.8535
128.000000	93.151	-172.9663
131.500000	93.146	-173.4923
132.000000	93.140	-173.5132
134.000000	93.135	-173.7377
136.000000	93.116	-173.7824
138.000000	93.122	-174.0823
140.000000	93.082	-174.2571
143.000000	93.084	-174.5717
145.000000	93.056	-174.9029
147.500000	93.028	-175.0707
150.000000	93.161	-176.0441
152.500000	93.009	-175.2948
155.000000	93.005	-175.7872
157.500000	92.917	-175.7225
160.000000	92.950	-175.8947
162.500000	92.943	-176.1725
165.000000	92.913	-176.3091
167.500000	92.893	-176.4754
170.000000	92.884	-176.4996
172.500000	92.844	-176.9039
175.000000	92.802	-177.0375
177.500000	92.803	-177.5307
180.000000	92.749	-177.1981
182.500000	92.764	-177.6956
185.000000	92.720	-177.6971
187.500000	92.692	-177.7225
190.000000	92.699	-177.8352
192.500000	92.693	-178.1548
195.000000	92.748	-178.0394
197.500000	92.680	-178.1397
200.000000	92.657	-177.9529
203.000000	92.629	-178.3389
206.000000	92.626	-178.5859
209.000000	92.574	-178.5109
212.000000	92.544	-178.6201
214.000000	92.557	-178.6939
218.000000	92.516	-178.7931
220.000000	92.496	-178.9615
224.000000	92.456	-178.9793
227.000000	92.441	-178.9589
230.000000	92.399	-179.0109
233.000000	92.396	-178.8566
236.000000	92.334	-179.0214
240.000000	92.311	-179.0841
243.000000	92.310	-179.0630
247.000000	92.292	-178.8837
250.000000	92.262	-179.5338
254.000000	92.228	-179.0159
258.000000	92.232	-178.7837
262.000000	92.217	-179.0882
265.000000	92.201	-179.1548
269.000000	92.146	-179.0410
272.000000	92.145	-178.9662
276.000000	92.116	-179.0941
280.000000	92.082	-179.0931
285.000000	92.044	-179.0946
290.000000	92.003	-178.9579
295.000000	91.966	-179.0130
300.000000	91.924	-179.2514
304.000000	91.894	-178.9738
307.000000	91.875	-179.0024
311.000000	91.833	-178.7970
315.000000	91.825	-178.7740
320.000000	91.788	-178.6493
325.000000	91.749	-178.5896
330.000000	91.701	-178.4352
335.000000	91.660	-178.3895
340.000000	91.625	-178.1938
345.000000	91.601	-178.0492
350.000000	91.519	-177.7855
355.000000	91.509	-177.9641
360.000000	91.497	-177.7436
365.000000	91.465	-177.5772
370.000000	91.433	-177.3144
375.000000	91.400	-177.1099
382.000000	91.355	-176.8925
387.000000	91.321	-176.6855
395.000000	91.271	-176.4232
400.000000	91.223	-176.3927
406.000000	91.222	-175.9161
412.000000	91.189	-175.6020
418.000000	91.148	-175.3752
425.000000	91.122	-175.0530
431.000000	91.093	-174.8118
437.000000	91.058	-174.5412
444.000000	91.023	-174.2083
450.000000	90.970	-173.5675
455.000000	90.962	-173.6853
462.000000	90.930	-173.3295
468.000000	90.902	-173.0442
475.000000	90.876	-172.6968
482.000000	90.848	-172.3135
487.000000	90.831	-172.0751
494.000000	90.797	-171.7300
500.000000	90.759	-171.6345
508.000000	90.750	-170.9456
515.000000	90.728	-170.5638
522.000000	90.714	-170.1718
530.000000	90.689	-169.7168
538.000000	90.655	-169.2448
545.000000	90.638	-168.8106
552.000000	90.631	-168.3907
560.000000	90.611	-167.8642
570.000000	90.586	-167.2585
580.000000	90.565	-166.6518
590.000000	90.545	-166.0431
600.000000	90.547	-165.7216
608.000000	90.513	-164.9205
615.000000	90.499	-164.4826
622.000000	90.493	-163.9820
630.000000	90.477	-163.4565
640.000000	90.468	-162.7264
650.000000	90.492	-162.0118
660.000000	90.456	-161.3195
670.000000	90.453	-160.7019
680.000000	90.461	-159.9803
690.000000	90.459	-159.2772
700.000000	90.508	-158.7356
710.000000	90.474	-158.0064
720.000000	90.495	-157.5667
730.000000	90.468	-157.2504
740.000000	90.348	-156.7638
750.000000	90.177	-155.3522
762.000000	90.290	-152.1556
775.000000	90.563	-151.4628
788.000000	90.642	-151.0370
800.000000	90.673	-150.5754
812.000000	90.746	-149.5895
825.000000	90.795	-148.7843
838.000000	90.863	-147.9515
850.000000	90.936	-147.1498
862.000000	90.987	-146.3451
875.000000	91.067	-145.4792
885.000000	91.133	-144.9102
900.000000	91.263	-144.0942
912.000000	91.326	-143.2894
925.000000	91.421	-142.5073
938.000000	91.527	-141.8516
950.000000	91.610	-141.1407
962.000000	91.717	-140.5879
975.000000	91.834	-139.9554
988.000000	91.945	-139.4016
1000.000000	92.076	-139.0276
1015.000000	92.196	-138.2991
1030.000000	92.345	-137.7701
1044.000000	92.490	-137.3313
1060.000000	92.643	-136.8692
1075.000000	92.782	-136.4832
1090.000000	92.920	-136.1032
1106.000000	93.056	-135.8016
1120.000000	93.172	-135.5672
1138.000000	93.328	-135.2857
1150.000000	93.430	-135.1488
1172.000000	93.605	-134.8839
1180.000000	93.662	-134.8305
1206.000000	93.863	-134.6736
1220.000000	93.990	-134.5850
1241.000000	94.193	-134.4591
1250.000000	94.287	-134.4494
1265.000000	94.415	-134.4352
1280.000000	94.561	-134.3919
1315.000000	94.872	-134.4178
1320.000000	94.915	-134.4443
1340.000000	95.094	-134.4737
1360.000000	95.313	-134.5081
1380.000000	95.493	-134.6280
1400.000000	95.661	-134.7595
1430.000000	95.926	-134.9058
1450.000000	96.106	-135.1244
1475.000000	96.308	-135.3442
1500.000000	96.520	-135.6487
1525.000000	96.721	-135.9336
1550.000000	96.887	-136.2678
1575.000000	97.056	-136.7228
1600.000000	97.219	-137.1610
1625.000000	97.377	-137.6515
1650.000000	97.529	-138.2219
1675.000000	97.680	-138.7295
1700.000000	97.816	-139.3394
1725.000000	97.954	-139.9542
1750.000000	98.079	-140.6137
1775.000000	98.211	-141.3102
1800.000000	98.326	-141.9922
1825.000000	98.435	-142.7378
1850.000000	98.540	-143.4844
1875.000000	98.635	-144.2456
1900.000000	98.721	-144.9855
1925.000000	98.806	-145.7786
1950.000000	98.873	-146.5491
1975.000000	98.942	-147.3424
2000.000000	98.999	-148.1243
2030.000000	99.067	-149.0592
2060.000000	99.125	-149.9897
2090.000000	99.179	-150.9490
2120.000000	99.225	-151.9399
2140.000000	99.249	-152.6151
2180.000000	99.280	-153.9511
2200.000000	99.287	-154.6062
2240.000000	99.287	-155.8952
2270.000000	99.276	-156.8382
2300.000000	99.257	-157.7354
2330.000000	99.229	-158.6073
2360.000000	99.194	-159.4407
2400.000000	99.137	-160.4828
2430.000000	99.091	-161.2313
2470.000000	99.019	-162.1700
2500.000000	98.963	-162.8324
2540.000000	98.879	-163.6935
2580.000000	98.786	-164.4753
2620.000000	98.685	-165.1922
2650.000000	98.605	-165.6856
2690.000000	98.494	-166.2669
2720.000000	98.405	-166.6576
2760.000000	98.291	-167.1051
2800.000000	98.172	-167.4741
2850.000000	98.022	-167.8597
2900.000000	97.873	-168.1467
2950.000000	97.720	-168.3137
3000.000000	97.573	-168.4191
3040.000000	97.454	-168.4042
3070.000000	97.370	-168.3685
3110.000000	97.253	-168.2876
3150.000000	97.143	-168.1208
3200.000000	97.009	-167.8670
3250.000000	96.885	-167.4916
3300.000000	96.773	-167.0389
3350.000000	96.686	-166.5512
3400.000000	96.614	-166.1317
3450.000000	96.547	-165.7404
3500.000000	96.487	-165.3899
3550.000000	96.417	-165.1003
3600.000000	96.346	-164.7436
3650.000000	96.276	-164.3658
3700.000000	96.211	-163.9264
3750.000000	96.153	-163.4492
3820.000000	96.071	-162.8001
3870.000000	96.021	-162.2983
3950.000000	95.945	-161.4475
4000.000000	95.906	-160.8699
4060.000000	95.870	-160.1524
4120.000000	95.852	-159.4488
4180.000000	95.842	-158.7840
4250.000000	95.847	-158.0099
4310.000000	95.856	-157.4029
4370.000000	95.880	-156.8158
4440.000000	95.919	-156.2042
4500.000000	95.959	-155.7575
4550.000000	95.998	-155.3914
4620.000000	96.057	-155.0024
4680.000000	96.112	-154.6989
4750.000000	96.183	-154.4545
4820.000000	96.251	-154.3328
4870.000000	96.301	-154.3060
4940.000000	96.355	-154.3819
5000.000000	96.399	-154.4753
5080.000000	96.445	-154.7737
5150.000000	96.473	-155.0589
5220.000000	96.493	-155.4226
5300.000000	96.504	-155.8439
5380.000000	96.502	-156.3712
5450.000000	96.489	-156.9005
5520.000000	96.448	-157.4718
5600.000000	96.377	-158.1622
5700.000000	96.243	-159.0572
5800.000000	96.006	-159.9991
5900.000000	95.299	-158.0057
6000.000000	96.284	-158.6101
6080.000000	96.001	-160.4622
6150.000000	95.821	-161.0243
6220.000000	95.667	-161.4155
6300.000000	95.499	-161.6405
6400.000000	95.304	-161.7498
6500.000000	95.120	-161.8060
6600.000000	94.954	-161.7012
6700.000000	94.809	-161.4779
6800.000000	94.681	-161.2002
6900.000000	94.608	-160.8727
7000.000000	94.610	-160.5263
7100.000000	94.650	-160.2609
7200.000000	94.710	-160.0561
7300.000000	94.806	-160.0981
7400.000000	94.917	-160.3575
7500.000000	95.049	-160.8532
7620.000000	95.224	-161.8106
7750.000000	95.505	-163.4178
7880.000000	95.564	-165.6654
8000.000000	95.567	-168.3176
8120.000000	95.494	-171.3224
8250.000000	95.298	-174.8324
8380.000000	94.980	-178.1562
8500.000000	94.617	179.3743
8620.000000	94.285	177.4219
8750.000000	93.982	175.4760
8850.000000	93.805	173.5153
9000.000000	93.503	169.3503
9120.000000	93.116	165.1520
9250.000000	92.464	160.5596
9380.000000	91.614	156.7098
9500.000000	90.727	154.1905
9620.000000	89.801	152.7784
9750.000000	88.811	152.2689
9880.000000	87.903	152.5796
10000.000000	87.096	153.5839
10150.000000	86.191	155.7101
10300.000000	85.464	158.5970
10440.000000	85.021	161.3254
10600.000000	84.611	163.1859
10750.000000	84.127	164.7046
10900.000000	83.669	166.7702
11060.000000	83.318	169.1953
11200.000000	83.112	171.1709
11380.000000	82.826	173.9109
11500.000000	82.709	175.6984
11720.000000	82.604	178.9512
11800.000000	82.624	-179.8919
12060.000000	82.842	-176.3741
12200.000000	82.973	-174.7972
12410.000000	83.515	-172.7634
12500.000000	83.798	-172.0246
12650.000000	84.369	-171.0729
12800.000000	85.098	-170.7328
13150.000000	87.409	-171.9776
13200.000000	87.841	-172.7176
13400.000000	89.887	-177.2763
13600.000000	92.578	172.1671
13800.000000	95.628	148.3238
14000.000000	96.269	107.7560
14300.000000	91.863	67.6047
14500.000000	89.081	56.0744
14750.000000	86.469	47.4842
15000.000000	84.600	40.9229
15250.000000	83.279	34.6248
15500.000000	82.364	28.1409
15750.000000	81.791	20.5352
16000.000000	81.623	11.1406
16250.000000	81.844	0.6887
16500.000000	82.501	-12.4587
16750.000000	83.828	-31.9792
17000.000000	85.031	-61.9519
17250.000000	84.438	-100.4968
17500.000000	82.136	-126.8822
17750.000000	80.896	-155.4642
18000.000000	78.951	177.0809
18250.000000	77.033	152.5892
18500.000000	75.298	127.6313
18750.000000	73.629	102.0942
19000.000000	72.110	74.4850
19250.000000	70.602	44.9648
19500.000000	68.874	11.7925
19750.000000	66.780	-25.0294
