* Measurement data measured by REW V5.20.4
* Source: Headset (2- USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.540
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 27 Sep, 2022 2:56:36 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: S12 L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	107.003	33.5965
20.600000	107.035	32.5850
20.900000	107.050	31.7460
21.200001	107.064	31.0252
21.400000	107.078	30.6018
21.799999	107.122	29.8484
22.000000	107.149	29.4931
22.400000	107.211	28.7775
22.700001	107.255	28.2206
23.000000	107.291	27.6483
23.299999	107.318	27.0731
23.600000	107.336	26.5049
24.000000	107.350	25.7676
24.299999	107.359	25.2304
24.700001	107.370	24.5295
25.000000	107.381	24.0115
25.400000	107.400	23.3291
25.799999	107.423	22.6601
26.200001	107.448	22.0129
26.500000	107.469	21.5464
26.900000	107.496	20.9492
27.200001	107.517	20.5120
27.600000	107.548	19.9229
28.000000	107.580	19.2997
28.500000	107.612	18.4568
29.000000	107.626	17.5936
29.500000	107.619	16.8058
30.000000	107.608	16.1507
30.400000	107.611	15.6896
30.700001	107.620	15.3426
31.100000	107.639	14.8360
31.500000	107.658	14.2718
32.000000	107.674	13.5318
32.500000	107.680	12.8289
33.000000	107.682	12.2016
33.500000	107.681	11.6405
34.000000	107.686	11.1235
34.500000	107.705	10.6130
35.000000	107.729	10.0494
35.500000	107.747	9.4066
36.000000	107.744	8.7726
36.500000	107.726	8.2874
37.000000	107.724	7.9590
37.500000	107.752	7.5891
38.200001	107.791	6.6646
38.700001	107.766	5.8634
39.500000	107.665	5.0852
40.000000	107.627	4.8914
40.599998	107.624	4.5480
41.200001	107.619	3.9606
41.799999	107.599	3.3808
42.500000	107.597	2.8210
43.099998	107.610	2.2397
43.700001	107.598	1.6044
44.400002	107.553	1.0720
45.000000	107.524	0.7534
45.500000	107.507	0.4091
46.200001	107.468	-0.1877
46.799999	107.428	-0.6152
47.500000	107.418	-1.0426
48.200001	107.432	-1.6525
48.700001	107.424	-2.1665
49.400002	107.372	-2.7290
50.000000	107.318	-2.9964
50.799999	107.262	-3.2651
51.500000	107.233	-3.5181
52.200001	107.235	-3.8019
53.000000	107.255	-4.3649
53.799999	107.215	-5.0748
54.500000	107.142	-5.3802
55.200001	107.120	-5.4536
56.000000	107.157	-5.8580
57.000000	107.141	-6.7168
58.000000	107.070	-7.2361
59.000000	107.022	-7.8260
60.000000	106.976	-8.4788
60.799999	106.940	-8.8383
61.500000	106.902	-9.0271
62.200001	106.869	-9.2090
63.000000	106.841	-9.6479
64.000000	106.783	-10.3126
65.000000	106.748	-10.6076
66.000000	106.723	-11.0129
67.000000	106.650	-11.3375
68.000000	106.628	-11.7578
69.000000	106.579	-12.4916
70.000000	106.513	-12.7344
71.000000	106.474	-12.8923
72.000000	106.447	-13.0913
73.000000	106.439	-13.6290
74.000000	106.382	-13.9043
75.000000	106.388	-14.0166
76.199997	106.292	-14.7502
77.500000	106.220	-14.8924
78.800003	106.159	-15.5283
80.000000	106.124	-15.6268
81.199997	106.062	-16.2730
82.500000	105.969	-16.4494
83.800003	105.929	-16.9253
85.000000	105.850	-17.2088
86.199997	105.823	-17.4395
87.500000	105.732	-17.8408
88.500000	105.693	-17.8149
90.000000	105.612	-18.4319
91.199997	105.562	-18.4571
92.500000	105.488	-18.9166
93.800003	105.431	-18.8512
95.000000	105.365	-19.4595
96.199997	105.259	-19.2147
97.500000	105.230	-19.5265
98.800003	105.088	-19.4920
100.000000	105.068	-19.4985
101.500000	104.950	-19.5867
