* Measurement data measured by REW V5.20.4
* Source: Headset (2- USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.540
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 27 Sep, 2022 2:53:56 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: S12 R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	107.519	31.4500
20.600000	107.504	30.7227
20.900000	107.476	30.1337
21.200001	107.458	29.5473
21.400000	107.455	29.1155
21.799999	107.467	28.1277
22.000000	107.479	27.5794
22.400000	107.505	26.4499
22.700001	107.525	25.6648
23.000000	107.547	24.9986
23.299999	107.576	24.4517
23.600000	107.611	23.9875
24.000000	107.665	23.4159
24.299999	107.701	22.9697
24.700001	107.733	22.3295
25.000000	107.742	21.8260
25.400000	107.740	21.1417
25.799999	107.733	20.4432
26.200001	107.730	19.7200
26.500000	107.732	19.1678
26.900000	107.740	18.4485
27.200001	107.748	17.9503
27.600000	107.769	17.3655
28.000000	107.799	16.8630
28.500000	107.843	16.2848
29.000000	107.884	15.6645
29.500000	107.909	14.9370
30.000000	107.912	14.1042
30.400000	107.901	13.4215
30.700001	107.885	12.9475
31.100000	107.862	12.4232
31.500000	107.846	12.0369
32.000000	107.843	11.6748
32.500000	107.856	11.2938
33.000000	107.868	10.7862
33.500000	107.869	10.1603
34.000000	107.868	9.4672
34.500000	107.874	8.7471
35.000000	107.875	8.0571
35.500000	107.861	7.4948
36.000000	107.834	7.1098
36.500000	107.806	6.8246
37.000000	107.790	6.4788
37.500000	107.789	5.9770
38.200001	107.812	5.0759
38.700001	107.842	4.4220
39.500000	107.882	3.6329
40.000000	107.888	3.3644
40.599998	107.879	3.1319
41.200001	107.853	2.7345
41.799999	107.807	2.1266
42.500000	107.753	1.3961
43.099998	107.740	0.8442
43.700001	107.743	0.3014
44.400002	107.730	-0.2281
45.000000	107.715	-0.5316
45.500000	107.713	-0.8147
46.200001	107.701	-1.4042
46.799999	107.666	-1.9344
47.500000	107.623	-2.3940
48.200001	107.601	-2.8528
48.700001	107.586	-3.2407
49.400002	107.561	-3.7509
50.000000	107.546	-4.1160
50.799999	107.533	-4.6004
51.500000	107.508	-5.0349
52.200001	107.473	-5.4503
53.000000	107.432	-5.8981
53.799999	107.405	-6.3297
54.500000	107.389	-6.7469
55.200001	107.362	-7.1593
56.000000	107.323	-7.5230
57.000000	107.286	-7.9497
58.000000	107.245	-8.5299
59.000000	107.175	-9.0928
60.000000	107.114	-9.4206
60.799999	107.095	-9.7673
61.500000	107.066	-10.0977
62.200001	107.033	-10.2874
63.000000	107.012	-10.5454
64.000000	106.958	-11.0685
65.000000	106.916	-11.4592
66.000000	106.899	-11.8122
67.000000	106.874	-11.8514
68.000000	106.860	-12.1818
69.000000	106.787	-12.8749
70.000000	106.732	-13.3416
71.000000	106.694	-13.8290
72.000000	106.629	-14.1306
73.000000	106.594	-14.4081
74.000000	106.555	-14.7890
75.000000	106.500	-15.0104
76.199997	106.441	-15.3831
77.500000	106.378	-15.8747
78.800003	106.338	-16.2290
80.000000	106.286	-16.5084
81.199997	106.236	-16.7578
82.500000	106.169	-17.1874
83.800003	106.106	-17.3999
85.000000	106.059	-17.8143
86.199997	105.993	-18.1000
87.500000	105.949	-18.2824
88.500000	105.912	-18.3957
90.000000	105.837	-18.7195
91.199997	105.780	-18.9907
92.500000	105.713	-19.1557
93.800003	105.677	-19.4603
95.000000	105.617	-19.8782
96.199997	105.562	-19.9853
97.500000	105.523	-20.0480
98.800003	105.457	-20.3442
100.000000	105.390	-20.5276
101.500000	105.332	-20.7190
103.000000	105.271	-20.9231
104.400002	105.213	-21.0861
106.000000	105.139	-21.2778
107.500000	105.076	-21.3060
109.000000	105.014	-21.5471
110.599998	104.951	-21.6451
112.000000	104.899	-21.6946
113.800003	104.834	-21.8902
115.000000	104.787	-22.0726
117.199997	104.702	-22.3166
118.000000	104.677	-22.2979
120.599998	104.554	-22.5382
122.000000	104.489	-22.6357
124.099998	104.434	-22.9003
125.000000	104.414	-22.9206
126.500000	104.336	-22.6887
128.000000	104.311	-23.2365
131.500000	104.199	-22.5657
132.000000	104.190	-22.8529
134.000000	104.081	-22.8022
136.000000	103.908	-22.7820
138.000000	103.939	-23.8198
140.000000	103.877	-23.3501
143.000000	103.826	-23.2454
145.000000	103.705	-23.7037
147.500000	103.545	-23.6938
150.000000	103.409	-23.5889
152.500000	103.378	-23.5982
155.000000	103.417	-23.5700
157.500000	103.365	-23.3427
160.000000	103.205	-23.4146
162.500000	103.102	-23.5909
165.000000	103.022	-23.4143
167.500000	102.954	-23.3037
170.000000	102.845	-23.3226
172.500000	102.784	-23.2129
175.000000	102.688	-23.0986
177.500000	102.607	-22.9741
180.000000	102.539	-22.9509
182.500000	102.455	-22.8149
185.000000	102.369	-22.6009
187.500000	102.278	-22.2514
190.000000	102.184	-22.0978
192.500000	102.118	-21.7476
195.000000	102.045	-21.2442
197.500000	101.978	-20.4043
200.000000	101.946	-20.1490
203.000000	101.964	-19.5312
206.000000	102.004	-19.1447
209.000000	102.046	-19.0984
212.000000	102.042	-19.3293
214.000000	101.998	-19.4481
218.000000	101.936	-19.4638
220.000000	101.904	-19.6293
224.000000	101.838	-19.6105
227.000000	101.770	-19.6159
230.000000	101.684	-19.5054
233.000000	101.604	-19.4392
236.000000	101.588	-19.2795
240.000000	101.476	-18.9876
243.000000	101.466	-19.1401
247.000000	101.324	-18.3308
250.000000	101.363	-18.3747
254.000000	101.249	-18.3980
258.000000	101.172	-18.0437
262.000000	101.094	-17.7288
265.000000	101.068	-17.3031
269.000000	101.028	-16.9057
272.000000	100.933	-16.7273
276.000000	100.849	-16.6672
280.000000	100.829	-16.5390
285.000000	100.732	-15.7542
290.000000	100.647	-15.5580
295.000000	100.569	-14.9003
300.000000	100.518	-14.5976
304.000000	100.458	-14.4644
