* Measurement data measured by REW V5.20.4
* Source: Microphone (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 21 Mar, 2022 8:00:18 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: S2 L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	92.440	-103.7107
20.299999	92.546	-104.3401
20.600000	92.650	-104.9496
20.900000	92.752	-105.5410
21.200001	92.853	-106.1180
21.400000	92.920	-106.4970
21.799999	93.054	-107.2437
22.000000	93.120	-107.6124
22.400000	93.249	-108.3413
22.700001	93.344	-108.8808
23.000000	93.437	-109.4144
23.299999	93.528	-109.9421
23.600000	93.617	-110.4634
24.000000	93.733	-111.1460
24.299999	93.819	-111.6464
24.700001	93.931	-112.2969
25.000000	94.014	-112.7732
25.400000	94.124	-113.3978
25.799999	94.233	-114.0184
26.200001	94.340	-114.6421
26.500000	94.419	-115.1122
26.900000	94.518	-115.7369
27.200001	94.586	-116.1973
27.600000	94.675	-116.7910
28.000000	94.762	-117.3577
28.500000	94.871	-118.0396
29.000000	94.982	-118.7187
29.500000	95.090	-119.4104
30.000000	95.192	-120.1001
30.400000	95.273	-120.6318
30.700001	95.333	-121.0144
31.100000	95.413	-121.5090
31.500000	95.494	-121.9991
32.000000	95.595	-122.6228
32.500000	95.693	-123.2567
33.000000	95.785	-123.8802
33.500000	95.870	-124.4799
34.000000	95.955	-125.0599
34.500000	96.045	-125.6334
35.000000	96.133	-126.2057
35.500000	96.219	-126.7748
36.000000	96.303	-127.3380
36.500000	96.386	-127.8945
37.000000	96.466	-128.4430
37.500000	96.546	-128.9814
38.200001	96.653	-129.7217
38.700001	96.725	-130.2468
39.500000	96.836	-131.0771
40.000000	96.904	-131.5822
40.599998	96.985	-132.1769
41.200001	97.066	-132.7723
41.799999	97.145	-133.3735
42.500000	97.234	-134.0699
43.099998	97.309	-134.6498
43.700001	97.384	-135.2128
44.400002	97.473	-135.8666
45.000000	97.548	-136.4408
45.500000	97.607	-136.9177
46.200001	97.687	-137.5473
46.799999	97.760	-138.0638
47.500000	97.845	-138.7097
48.200001	97.919	-139.3687
48.700001	97.967	-139.7793
49.400002	98.046	-140.2936
50.000000	98.126	-140.8097
50.799999	98.217	-141.6312
51.500000	98.278	-142.2954
52.200001	98.344	-142.8837
53.000000	98.424	-143.5915
53.799999	98.497	-144.3027
54.500000	98.562	-144.8954
55.200001	98.629	-145.5084
56.000000	98.701	-146.2205
57.000000	98.790	-147.0898
58.000000	98.876	-147.9594
59.000000	98.961	-148.8098
60.000000	99.044	-149.6714
60.799999	99.111	-150.3936
61.500000	99.164	-151.0251
62.200001	99.216	-151.6124
63.000000	99.283	-152.2871
64.000000	99.360	-153.2198
65.000000	99.427	-154.0801
66.000000	99.503	-154.9652
67.000000	99.565	-155.8723
68.000000	99.631	-156.7231
69.000000	99.695	-157.6462
70.000000	99.750	-158.5471
71.000000	99.806	-159.4427
72.000000	99.858	-160.3527
73.000000	99.908	-161.2700
74.000000	99.954	-162.1861
75.000000	99.998	-163.1068
76.199997	100.047	-164.2136
77.500000	100.095	-165.4271
78.800003	100.135	-166.6218
80.000000	100.172	-167.7275
81.199997	100.198	-168.8417
82.500000	100.228	-170.0070
83.800003	100.249	-171.2347
85.000000	100.262	-172.3033
86.199997	100.270	-173.4344
87.500000	100.268	-174.5683
88.500000	100.272	-175.4631
90.000000	100.262	-176.7974
91.199997	100.254	-177.8505
92.500000	100.234	-178.9670
93.800003	100.216	179.9493
95.000000	100.192	178.9287
96.199997	100.163	177.9485
97.500000	100.126	176.8840
98.800003	100.085	175.8678
100.000000	100.045	174.9427
101.500000	99.991	173.8113
103.000000	99.932	172.7287
104.400002	99.874	171.7226
106.000000	99.803	170.6381
107.500000	99.731	169.6285
109.000000	99.656	168.6682
110.599998	99.569	167.6699
112.000000	99.495	166.8511
113.800003	99.391	165.8229
115.000000	99.326	165.1769
117.199997	99.198	163.9943
118.000000	99.149	163.5743
120.599998	98.993	162.3260
122.000000	98.908	161.6682
124.099998	98.779	160.7508
125.000000	98.723	160.3665
126.500000	98.629	159.7753
128.000000	98.537	159.1982
131.500000	98.323	157.9353
132.000000	98.291	157.7594
134.000000	98.167	157.1202
136.000000	98.041	156.5034
138.000000	97.920	155.9386
140.000000	97.797	155.4133
143.000000	97.613	154.6561
145.000000	97.494	154.1992
147.500000	97.350	153.6498
150.000000	97.225	153.2087
152.500000	97.053	152.7562
155.000000	96.899	152.3435
157.500000	96.749	151.9400
160.000000	96.606	151.5990
162.500000	96.461	151.2972
165.000000	96.320	151.0270
167.500000	96.180	150.7696
170.000000	96.049	150.5262
172.500000	95.920	150.3237
175.000000	95.794	150.1283
177.500000	95.666	149.9341
180.000000	95.539	149.7655
182.500000	95.412	149.6357
185.000000	95.285	149.5231
187.500000	95.149	149.4921
190.000000	95.019	149.4044
192.500000	94.884	149.4316
195.000000	94.743	149.5309
197.500000	94.604	149.7386
200.000000	94.466	150.1232
203.000000	94.324	150.9015
206.000000	94.264	151.9639
209.000000	94.323	152.7169
212.000000	94.407	152.6614
214.000000	94.424	152.2739
218.000000	94.359	151.4534
220.000000	94.301	151.1064
224.000000	94.158	150.6600
227.000000	94.048	150.4435
230.000000	93.938	150.3268
233.000000	93.827	150.2576
236.000000	93.720	150.1921
240.000000	93.582	150.2074
243.000000	93.484	150.2516
247.000000	93.355	150.3353
250.000000	93.278	150.5137
254.000000	93.140	150.4792
258.000000	93.032	150.6260
262.000000	92.915	150.7654
265.000000	92.827	150.9039
269.000000	92.720	151.0625
272.000000	92.636	151.2019
276.000000	92.527	151.3896
280.000000	92.421	151.5981
285.000000	92.289	151.8412
290.000000	92.162	152.1227
295.000000	92.037	152.4372
300.000000	91.913	152.7511
304.000000	91.816	153.0018
307.000000	91.745	153.1895
311.000000	91.644	153.4782
315.000000	91.548	153.7457
320.000000	91.428	154.1490
325.000000	91.306	154.5678
330.000000	91.184	155.0450
335.000000	91.070	155.6346
340.000000	90.962	156.4020
345.000000	90.900	157.2160
350.000000	90.904	157.8077
355.000000	90.881	158.1803
360.000000	90.840	158.3262
365.000000	90.775	158.4578
370.000000	90.699	158.6340
375.000000	90.623	158.9133
382.000000	90.508	159.3163
387.000000	90.429	159.6584
395.000000	90.305	160.2247
400.000000	90.226	160.6110
406.000000	90.144	161.0600
412.000000	90.057	161.5236
418.000000	89.977	162.0009
425.000000	89.881	162.5885
431.000000	89.807	163.0672
437.000000	89.730	163.5865
444.000000	89.643	164.1703
450.000000	89.598	164.7669
455.000000	89.511	165.1378
462.000000	89.437	165.7478
468.000000	89.373	166.2604
475.000000	89.298	166.8768
482.000000	89.230	167.4794
487.000000	89.182	167.9270
494.000000	89.123	168.5461
500.000000	89.070	169.0685
508.000000	89.002	169.7768
515.000000	88.951	170.4191
522.000000	88.896	171.0324
530.000000	88.836	171.7722
538.000000	88.779	172.4813
545.000000	88.735	173.1440
552.000000	88.684	173.7357
560.000000	88.637	174.4361
570.000000	88.585	175.3536
580.000000	88.529	176.2470
590.000000	88.480	177.1455
600.000000	88.434	178.0290
608.000000	88.401	178.7377
615.000000	88.369	179.3860
622.000000	88.340	179.9971
630.000000	88.311	-179.2952
640.000000	88.273	-178.4061
650.000000	88.266	-177.5339
660.000000	88.212	-176.6179
670.000000	88.188	-175.7879
680.000000	88.166	-174.9551
