* Measurement data measured by REW V5.20.4
* Source: Microphone (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 21 Mar, 2022 7:57:55 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: S2 R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	91.624	-103.9514
20.299999	91.736	-104.5718
20.600000	91.846	-105.2018
20.900000	91.950	-105.8351
21.200001	92.050	-106.4584
21.400000	92.114	-106.8605
21.799999	92.240	-107.6281
22.000000	92.302	-107.9953
22.400000	92.428	-108.7100
22.700001	92.523	-109.2449
23.000000	92.617	-109.7898
23.299999	92.709	-110.3430
23.600000	92.796	-110.8961
24.000000	92.907	-111.6157
24.299999	92.988	-112.1313
24.700001	93.094	-112.7863
25.000000	93.174	-113.2610
25.400000	93.281	-113.8853
25.799999	93.387	-114.5068
26.200001	93.491	-115.1217
26.500000	93.569	-115.5742
26.900000	93.669	-116.1666
27.200001	93.742	-116.6095
27.600000	93.839	-117.2094
28.000000	93.933	-117.8252
28.500000	94.043	-118.5979
29.000000	94.144	-119.3305
29.500000	94.241	-120.0018
30.000000	94.342	-120.6375
30.400000	94.427	-121.1489
30.700001	94.490	-121.5404
31.100000	94.571	-122.0645
31.500000	94.649	-122.5761
32.000000	94.743	-123.1873
32.500000	94.840	-123.7850
33.000000	94.936	-124.3997
33.500000	95.024	-125.0310
34.000000	95.106	-125.6479
34.500000	95.190	-126.2283
35.000000	95.275	-126.7852
35.500000	95.362	-127.3499
36.000000	95.447	-127.9318
36.500000	95.527	-128.5114
37.000000	95.603	-129.0646
37.500000	95.679	-129.5904
38.200001	95.787	-130.3190
38.700001	95.861	-130.8545
39.500000	95.971	-131.7170
40.000000	96.037	-132.2396
40.599998	96.114	-132.8483
41.200001	96.191	-133.4457
41.799999	96.268	-134.0336
42.500000	96.358	-134.7175
43.099998	96.436	-135.3192
43.700001	96.510	-135.9236
44.400002	96.591	-136.5950
45.000000	96.662	-137.1453
45.500000	96.722	-137.6054
46.200001	96.804	-138.2476
46.799999	96.874	-138.7866
47.500000	96.953	-139.4296
48.200001	97.023	-140.0587
48.700001	97.071	-140.4498
49.400002	97.152	-140.9551
50.000000	97.232	-141.4777
50.799999	97.321	-142.3091
51.500000	97.379	-142.9744
52.200001	97.441	-143.5552
53.000000	97.521	-144.2459
53.799999	97.594	-144.9600
54.500000	97.657	-145.5719
55.200001	97.719	-146.1830
56.000000	97.790	-146.8825
57.000000	97.876	-147.7621
58.000000	97.961	-148.6144
59.000000	98.048	-149.5236
60.000000	98.114	-150.4181
60.799999	98.175	-151.0640
61.500000	98.233	-151.6678
62.200001	98.285	-152.2808
63.000000	98.346	-152.9435
64.000000	98.427	-153.8483
65.000000	98.490	-154.7682
66.000000	98.555	-155.5924
67.000000	98.626	-156.4880
68.000000	98.685	-157.3983
69.000000	98.745	-158.2866
70.000000	98.801	-159.2229
71.000000	98.849	-160.1224
72.000000	98.902	-161.0163
73.000000	98.951	-161.9336
74.000000	98.998	-162.8503
75.000000	99.040	-163.7747
76.199997	99.085	-164.8710
77.500000	99.131	-166.0612
78.800003	99.168	-167.2426
80.000000	99.201	-168.3302
81.199997	99.228	-169.4430
82.500000	99.251	-170.6308
83.800003	99.269	-171.8135
85.000000	99.282	-172.9235
86.199997	99.281	-174.0065
87.500000	99.286	-175.1169
88.500000	99.286	-176.0278
90.000000	99.272	-177.3430
91.199997	99.261	-178.3737
92.500000	99.242	-179.4951
93.800003	99.218	179.4059
95.000000	99.190	178.4089
96.199997	99.159	177.4504
97.500000	99.125	176.4092
98.800003	99.081	175.3864
100.000000	99.039	174.4923
101.500000	98.983	173.3579
103.000000	98.923	172.2734
104.400002	98.858	171.2779
106.000000	98.787	170.2156
107.500000	98.714	169.2346
109.000000	98.636	168.2613
110.599998	98.548	167.3135
112.000000	98.472	166.4713
113.800003	98.369	165.4318
115.000000	98.296	164.7849
117.199997	98.167	163.6372
118.000000	98.118	163.2480
120.599998	97.958	162.0109
122.000000	97.872	161.3621
124.099998	97.740	160.4721
125.000000	97.684	160.0986
126.500000	97.590	159.5229
128.000000	97.497	158.9436
131.500000	97.275	157.7394
132.000000	97.244	157.5786
134.000000	97.118	156.9406
136.000000	96.993	156.3315
138.000000	96.868	155.7784
140.000000	96.741	155.2731
143.000000	96.553	154.5443
145.000000	96.431	154.0847
147.500000	96.285	153.5472
150.000000	96.162	152.9827
152.500000	95.985	152.6661
155.000000	95.833	152.3168
157.500000	95.683	151.9312
160.000000	95.534	151.5895
162.500000	95.388	151.3001
165.000000	95.245	151.0271
167.500000	95.101	150.7977
170.000000	94.961	150.5791
172.500000	94.828	150.3854
175.000000	94.691	150.1918
177.500000	94.556	150.0094
180.000000	94.421	149.8870
182.500000	94.283	149.7840
185.000000	94.137	149.7335
187.500000	93.986	149.7793
190.000000	93.830	149.8713
192.500000	93.677	150.0708
195.000000	93.521	150.4811
197.500000	93.384	151.2708
200.000000	93.312	152.3753
203.000000	93.362	153.5487
206.000000	93.495	153.6681
209.000000	93.550	152.9854
212.000000	93.513	152.2205
214.000000	93.459	151.8171
218.000000	93.320	151.2568
220.000000	93.233	151.0348
224.000000	93.076	150.8135
227.000000	92.965	150.7204
230.000000	92.848	150.6580
233.000000	92.736	150.6228
236.000000	92.635	150.6671
240.000000	92.496	150.6748
243.000000	92.402	150.7405
247.000000	92.281	150.8605
250.000000	92.208	150.9208
254.000000	92.058	151.1273
258.000000	91.944	151.2794
262.000000	91.829	151.4573
265.000000	91.741	151.5946
269.000000	91.633	151.7599
272.000000	91.550	151.9302
276.000000	91.440	152.1325
280.000000	91.333	152.3658
285.000000	91.201	152.6739
290.000000	91.071	152.9518
295.000000	90.945	153.2814
300.000000	90.824	153.6351
304.000000	90.721	153.9075
307.000000	90.648	154.1473
311.000000	90.547	154.4321
315.000000	90.450	154.7543
320.000000	90.325	155.1934
325.000000	90.203	155.7062
330.000000	90.084	156.3190
335.000000	89.976	157.0549
340.000000	89.913	157.8853
345.000000	89.896	158.5452
350.000000	89.872	158.6901
355.000000	89.837	158.9556
360.000000	89.766	159.0988
365.000000	89.685	159.3618
370.000000	89.603	159.6571
375.000000	89.520	159.9635
382.000000	89.411	160.4802
387.000000	89.333	160.8218
395.000000	89.210	161.4407
400.000000	89.136	161.8657
406.000000	89.048	162.3477
412.000000	88.963	162.8521
418.000000	88.880	163.3625
425.000000	88.786	163.9620
431.000000	88.709	164.4973
437.000000	88.634	165.0180
444.000000	88.545	165.6301
450.000000	88.484	165.9381
455.000000	88.419	166.6261
462.000000	88.340	167.2473
468.000000	88.274	167.7949
475.000000	88.202	168.4427
482.000000	88.130	169.0921
487.000000	88.085	169.5450
494.000000	88.024	170.1930
500.000000	87.967	170.7159
508.000000	87.903	171.4886
515.000000	87.847	172.1180
522.000000	87.790	172.7853
530.000000	87.737	173.5051
538.000000	87.679	174.2595
545.000000	87.633	174.9040
552.000000	87.584	175.5655
560.000000	87.540	176.2940
570.000000	87.477	177.2422
580.000000	87.422	178.1582
590.000000	87.368	179.0975
600.000000	87.323	-179.9894
608.000000	87.288	-179.2501
615.000000	87.257	-178.6215
622.000000	87.226	-177.9625
630.000000	87.194	-177.2164
640.000000	87.156	-176.3398
650.000000	87.101	-175.5203
660.000000	87.092	-174.5109
670.000000	87.065	-173.6088
680.000000	87.042	-172.7330
690.000000	87.019	-171.8206
700.000000	86.997	-170.9493
710.000000	86.979	-170.0548
720.000000	86.965	-169.2021
730.000000	86.951	-168.2960
740.000000	86.946	-167.4703
750.000000	86.936	-166.7858
762.000000	86.934	-165.5993
775.000000	86.935	-164.4866
788.000000	86.932	-163.4552
800.000000	86.934	-162.5609
812.000000	86.950	-161.5491
825.000000	86.956	-160.5444
838.000000	86.974	-159.5516
850.000000	86.979	-158.7560
862.000000	87.018	-157.7991
875.000000	87.043	-156.8951
885.000000	87.066	-156.2110
900.000000	87.101	-155.1721
912.000000	87.135	-154.3872
925.000000	87.174	-153.6074
938.000000	87.206	-152.7690
950.000000	87.230	-152.0660
962.000000	87.283	-151.4434
975.000000	87.332	-150.7317
988.000000	87.383	-150.0231
1000.000000	87.425	-149.4028
1015.000000	87.480	-148.6663
1030.000000	87.534	-147.9351
1044.000000	87.589	-147.2947
1060.000000	87.643	-146.5928
1075.000000	87.699	-145.9157
1090.000000	87.739	-145.2941
1106.000000	87.785	-144.6337
1120.000000	87.814	-144.0780
1138.000000	87.859	-143.3694
1150.000000	87.881	-142.7716
1172.000000	87.943	-142.1176
1180.000000	87.962	-141.8057
1206.000000	88.025	-140.9329
1220.000000	88.077	-140.4432
1241.000000	88.180	-139.8014
1250.000000	88.204	-139.5240
1265.000000	88.281	-139.1156
1280.000000	88.339	-138.6508
1315.000000	88.477	-137.6629
1320.000000	88.497	-137.4827
1340.000000	88.569	-136.8917
1360.000000	88.683	-136.3402
1380.000000	88.760	-135.7684
1400.000000	88.829	-135.1948
1430.000000	88.944	-134.3590
1450.000000	89.012	-133.8701
1475.000000	89.095	-133.2386
1500.000000	89.134	-132.6606
1525.000000	89.173	-131.7415
1550.000000	89.206	-130.7280
1575.000000	89.237	-129.6707
1600.000000	89.290	-128.6478
1625.000000	89.350	-127.5856
1650.000000	89.401	-126.4891
1675.000000	89.495	-125.4894
1700.000000	89.579	-124.5048
1725.000000	89.660	-123.5173
1750.000000	89.759	-122.5925
1775.000000	89.839	-121.5859
1800.000000	89.935	-120.6277
1825.000000	90.030	-119.6400
1850.000000	90.125	-118.7345
1875.000000	90.236	-117.7650
1900.000000	90.346	-116.8568
1925.000000	90.460	-115.9307
1950.000000	90.569	-115.0224
1975.000000	90.694	-114.1374
2000.000000	90.815	-113.2255
2030.000000	90.962	-112.2172
2060.000000	91.124	-111.2015
2090.000000	91.284	-110.2222
2120.000000	91.452	-109.2747
2140.000000	91.567	-108.6635
2180.000000	91.802	-107.4727
2200.000000	91.919	-106.8782
2240.000000	92.164	-105.8257
2270.000000	92.353	-105.0466
2300.000000	92.546	-104.2930
2330.000000	92.746	-103.6342
2360.000000	92.951	-102.9918
2400.000000	93.222	-102.2286
2430.000000	93.436	-101.6928
2470.000000	93.722	-101.0625
2500.000000	93.935	-100.6598
2540.000000	94.230	-100.2163
2580.000000	94.527	-99.8242
2620.000000	94.821	-99.5981
2650.000000	95.038	-99.4008
2690.000000	95.330	-99.2961
2720.000000	95.555	-99.3958
2760.000000	95.839	-99.3710
2800.000000	96.100	-99.5430
2850.000000	96.461	-99.7516
2900.000000	96.795	-99.8834
2950.000000	97.193	-100.2435
3000.000000	97.582	-101.0878
3040.000000	97.892	-102.2886
3070.000000	98.068	-102.9883
3110.000000	98.347	-104.2366
3150.000000	98.556	-105.7152
3200.000000	98.781	-107.4752
3250.000000	98.977	-109.0676
3300.000000	99.084	-110.7780
3350.000000	99.257	-112.4962
3400.000000	99.336	-114.3934
3450.000000	99.401	-115.9722
3500.000000	99.458	-117.2112
3550.000000	99.419	-118.5255
3600.000000	99.482	-119.9476
3650.000000	99.421	-121.2957
3700.000000	99.382	-122.2623
3750.000000	99.365	-123.2251
3820.000000	99.347	-124.1392
3870.000000	99.231	-124.5324
3950.000000	99.183	-125.7092
4000.000000	99.108	-126.0782
4060.000000	99.046	-125.9567
4120.000000	99.007	-126.1356
4180.000000	98.902	-126.2903
4250.000000	98.806	-126.4059
4310.000000	98.810	-126.1926
4370.000000	98.683	-126.1261
4440.000000	98.515	-124.8123
4500.000000	98.495	-123.4531
4550.000000	98.494	-121.0197
4620.000000	98.596	-118.8279
4680.000000	98.831	-115.7187
4750.000000	99.348	-113.3037
4820.000000	99.891	-112.3645
4870.000000	100.366	-112.6968
4940.000000	101.006	-112.1750
5000.000000	101.501	-113.9447
5080.000000	102.166	-115.6196
5150.000000	102.665	-117.2335
5220.000000	102.954	-119.8056
5300.000000	103.532	-122.9107
5380.000000	103.858	-126.9543
5450.000000	104.068	-130.9784
5520.000000	104.134	-135.8048
5600.000000	104.234	-139.6531
5700.000000	104.249	-145.6846
5800.000000	104.040	-150.1745
5900.000000	103.590	-155.2764
6000.000000	103.161	-157.9049
6080.000000	102.785	-160.3394
6150.000000	102.587	-161.3776
6220.000000	102.432	-163.1867
6300.000000	101.866	-165.5994
6400.000000	101.528	-166.5041
6500.000000	101.325	-165.6004
6600.000000	100.853	-167.3907
6700.000000	100.603	-167.4473
