* Measurement data measured by REW V5.20.4
* Source: Headset (2- USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.630
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 11 Sep, 2022 1:18:18 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Sal0 L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	98.085	-165.9516
20.600000	98.101	-166.6527
20.900000	98.112	-167.2922
21.200001	98.116	-167.9317
21.400000	98.116	-168.3522
21.799999	98.105	-169.1584
22.000000	98.095	-169.5344
22.400000	98.073	-170.2210
22.700001	98.059	-170.6913
23.000000	98.051	-171.1509
23.299999	98.049	-171.6270
23.600000	98.049	-172.1300
24.000000	98.046	-172.8316
24.299999	98.037	-173.3489
24.700001	98.016	-173.9774
25.000000	97.995	-174.3836
25.400000	97.969	-174.8484
25.799999	97.952	-175.2767
26.200001	97.948	-175.7296
26.500000	97.954	-176.1087
26.900000	97.970	-176.6726
27.200001	97.983	-177.1305
27.600000	98.001	-177.7637
28.000000	98.007	-178.3795
28.500000	97.984	-179.0408
29.000000	97.927	-179.5105
29.500000	97.852	-179.8272
30.000000	97.784	179.8364
30.400000	97.741	179.4350
30.700001	97.714	179.0394
31.100000	97.680	178.4348
31.500000	97.649	177.8306
32.000000	97.617	177.2026
32.500000	97.597	176.7539
33.000000	97.585	176.4050
33.500000	97.565	176.0529
34.000000	97.532	175.6462
34.500000	97.491	175.2008
35.000000	97.445	174.7590
35.500000	97.408	174.3507
36.000000	97.384	173.9710
36.500000	97.368	173.5948
37.000000	97.350	173.2056
37.500000	97.322	172.8151
38.200001	97.262	172.3234
38.700001	97.213	172.0358
39.500000	97.156	171.6120
40.000000	97.133	171.2833
40.599998	97.103	170.7944
41.200001	97.059	170.2980
41.799999	97.010	169.8908
42.500000	96.965	169.4788
43.099998	96.932	169.0818
43.700001	96.889	168.6910
44.400002	96.833	168.3586
45.000000	96.796	168.1484
45.500000	96.771	167.9508
46.200001	96.734	167.6068
46.799999	96.693	167.2850
47.500000	96.638	166.9424
48.200001	96.593	166.6675
48.700001	96.573	166.4764
49.400002	96.548	166.1413
50.000000	96.509	165.8388
50.799999	96.433	165.5807
51.500000	96.378	165.4214
52.200001	96.338	165.1463
53.000000	96.286	164.7719
53.799999	96.227	164.5592
54.500000	96.179	164.4644
55.200001	96.137	164.2872
56.000000	96.087	163.9281
57.000000	96.022	163.5440
58.000000	95.966	163.3940
59.000000	95.887	163.1569
60.000000	95.794	162.8366
60.799999	95.758	162.6281
61.500000	95.738	162.4872
62.200001	95.701	162.3914
63.000000	95.634	162.2725
64.000000	95.551	161.9824
65.000000	95.496	161.7024
66.000000	95.460	161.5830
67.000000	95.413	161.3752
68.000000	95.345	161.1126
69.000000	95.299	161.0880
70.000000	95.260	161.0430
71.000000	95.187	160.8920
72.000000	95.117	160.6871
73.000000	95.063	160.5923
74.000000	95.024	160.5808
75.000000	94.958	160.5269
76.199997	94.886	160.4850
77.500000	94.806	160.3774
78.800003	94.767	160.1794
80.000000	94.667	160.1199
81.199997	94.649	160.2012
82.500000	94.576	159.9247
83.800003	94.531	160.0067
85.000000	94.471	159.8412
86.199997	94.409	159.7668
87.500000	94.353	159.7726
88.500000	94.307	159.7000
90.000000	94.232	159.6194
91.199997	94.181	159.5826
92.500000	94.120	159.5897
93.800003	94.067	159.5628
95.000000	94.022	159.5624
96.199997	93.969	159.6373
97.500000	93.913	159.5500
98.800003	93.863	159.5417
100.000000	93.830	159.5580
101.500000	93.754	159.6768
103.000000	93.692	159.5859
104.400002	93.644	159.6636
106.000000	93.580	159.7277
107.500000	93.527	159.8271
109.000000	93.469	159.8845
110.599998	93.404	159.9198
112.000000	93.360	159.8146
113.800003	93.324	160.3049
115.000000	93.276	160.1318
117.199997	93.154	159.9753
118.000000	93.164	160.1648
120.599998	93.081	160.3989
122.000000	93.032	160.6401
124.099998	92.979	160.4971
125.000000	92.945	160.5867
126.500000	92.909	160.6349
128.000000	92.846	160.9165
131.500000	92.762	161.1082
132.000000	92.754	161.1480
134.000000	92.688	161.3003
136.000000	92.638	161.4453
138.000000	92.583	161.5018
140.000000	92.537	161.7360
143.000000	92.462	161.9226
145.000000	92.418	162.1371
147.500000	92.358	162.3696
150.000000	92.295	162.5431
152.500000	92.250	162.7693
155.000000	92.177	162.9073
157.500000	92.132	163.2234
160.000000	92.010	163.4575
162.500000	92.037	163.5934
165.000000	91.976	163.8110
167.500000	91.900	164.1398
170.000000	91.834	164.3374
172.500000	91.828	164.6537
175.000000	91.626	165.0787
177.500000	91.749	165.2268
180.000000	91.654	165.2517
182.500000	91.640	165.6411
185.000000	91.510	165.9585
187.500000	91.552	166.1558
190.000000	91.524	165.9240
192.500000	91.541	166.6418
195.000000	91.482	166.5190
197.500000	91.453	166.7987
200.000000	91.410	166.9393
