* Measurement data measured by REW V5.20.4
* Source: Headset (2- USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.630
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 11 Sep, 2022 1:17:16 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Sal0 R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	97.669	-163.1943
20.600000	97.698	-163.8699
20.900000	97.718	-164.5476
21.200001	97.728	-165.2536
21.400000	97.728	-165.7091
21.799999	97.720	-166.5234
22.000000	97.716	-166.8624
22.400000	97.724	-167.4118
22.700001	97.750	-167.7919
23.000000	97.793	-168.2589
23.299999	97.836	-168.8898
23.600000	97.859	-169.6835
24.000000	97.833	-170.8727
24.299999	97.764	-171.6755
24.700001	97.630	-172.3753
25.000000	97.535	-172.5468
25.400000	97.473	-172.4434
25.799999	97.513	-172.4009
26.200001	97.622	-172.8603
26.500000	97.702	-173.5965
26.900000	97.752	-174.9026
27.200001	97.728	-175.8653
27.600000	97.630	-176.7951
28.000000	97.508	-177.1458
28.500000	97.406	-177.0347
29.000000	97.389	-177.0568
29.500000	97.400	-177.6758
30.000000	97.374	-178.6820
30.400000	97.330	-179.4038
30.700001	97.301	-179.7766
31.100000	97.292	179.9214
31.500000	97.319	179.6849
32.000000	97.363	179.2650
32.500000	97.360	178.7683
33.000000	97.303	178.4950
33.500000	97.246	178.5212
34.000000	97.247	178.4736
34.500000	97.287	177.9258
35.000000	97.297	176.9349
35.500000	97.249	175.9985
36.000000	97.185	175.5007
36.500000	97.160	175.3373
37.000000	97.172	175.1171
37.500000	97.174	174.6771
38.200001	97.112	174.0388
38.700001	97.052	173.7765
39.500000	97.003	173.3970
40.000000	96.982	173.0263
40.599998	96.939	172.5454
41.200001	96.883	172.1279
41.799999	96.823	171.7212
42.500000	96.747	171.2046
43.099998	96.684	170.7823
43.700001	96.634	170.4335
44.400002	96.598	170.1155
45.000000	96.583	169.8536
45.500000	96.570	169.5901
46.200001	96.533	169.1722
46.799999	96.488	168.8546
47.500000	96.442	168.5612
48.200001	96.407	168.2921
48.700001	96.385	168.1092
49.400002	96.357	167.8563
50.000000	96.329	167.5846
50.799999	96.268	167.1732
51.500000	96.199	166.9319
52.200001	96.150	166.7605
53.000000	96.113	166.4198
53.799999	96.061	166.0760
54.500000	96.021	165.9513
55.200001	95.993	165.8047
56.000000	95.935	165.5180
57.000000	95.857	165.2230
58.000000	95.811	164.6662
59.000000	95.726	164.3735
60.000000	95.680	164.3713
60.799999	95.618	164.0346
61.500000	95.540	163.9199
62.200001	95.521	163.9471
63.000000	95.533	163.6860
64.000000	95.486	163.4080
65.000000	95.439	163.2599
66.000000	95.349	162.9355
67.000000	95.267	162.9091
68.000000	95.219	162.7327
69.000000	95.164	162.4820
70.000000	95.102	162.2354
71.000000	95.050	162.2249
72.000000	95.014	161.9993
73.000000	94.929	161.8799
74.000000	94.904	161.9287
75.000000	94.865	161.5775
76.199997	94.768	161.5581
77.500000	94.726	161.4647
78.800003	94.650	161.2357
80.000000	94.612	161.2451
81.199997	94.534	160.9741
82.500000	94.481	161.1549
83.800003	94.425	160.7283
85.000000	94.345	160.9224
86.199997	94.316	160.7110
87.500000	94.244	160.7640
88.500000	94.227	160.7587
90.000000	94.136	160.6130
91.199997	94.083	160.6085
92.500000	94.038	160.6434
93.800003	93.979	160.4889
95.000000	93.907	160.6304
96.199997	93.905	160.6398
97.500000	93.841	160.3445
98.800003	93.763	160.6083
100.000000	93.766	160.6573
101.500000	93.677	160.3961
103.000000	93.597	160.4703
104.400002	93.529	160.9177
106.000000	93.546	160.5801
107.500000	93.450	160.5425
109.000000	93.408	160.7090
110.599998	93.352	160.7130
112.000000	93.309	160.8080
113.800003	93.258	160.8334
115.000000	93.195	161.0820
117.199997	93.146	160.8862
118.000000	93.125	160.8960
