* Measurement data measured by REW V5.20.4
* Source: Headset (2- USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 13 Jan, 2023 9:03:16 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Moondrop Sparks L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	90.321	-102.1788
20.299999	90.431	-103.3523
20.600000	90.532	-104.5189
20.900000	90.623	-105.6553
21.200001	90.708	-106.7384
21.400000	90.763	-107.4268
21.799999	90.877	-108.7419
22.000000	90.935	-109.3850
22.400000	91.056	-110.6865
22.700001	91.146	-111.7028
23.000000	91.230	-112.7579
23.299999	91.303	-113.8277
23.600000	91.364	-114.8797
24.000000	91.433	-116.2049
24.299999	91.481	-117.1209
24.700001	91.548	-118.2550
25.000000	91.605	-119.0765
25.400000	91.686	-120.1869
25.799999	91.769	-121.3473
26.200001	91.844	-122.5449
26.500000	91.893	-123.4422
26.900000	91.949	-124.6110
27.200001	91.985	-125.4620
27.600000	92.032	-126.5730
28.000000	92.074	-127.6712
28.500000	92.115	-129.0100
29.000000	92.144	-130.2427
29.500000	92.173	-131.3266
30.000000	92.216	-132.3199
30.400000	92.263	-133.1287
30.700001	92.300	-133.7698
31.100000	92.344	-134.6629
31.500000	92.379	-135.5634
32.000000	92.413	-136.6450
32.500000	92.442	-137.6723
33.000000	92.470	-138.6797
33.500000	92.487	-139.6663
34.000000	92.500	-140.5916
34.500000	92.524	-141.4604
35.000000	92.555	-142.3515
35.500000	92.583	-143.3280
36.000000	92.592	-144.3298
36.500000	92.582	-145.2254
37.000000	92.576	-145.9592
37.500000	92.587	-146.6248
38.200001	92.621	-147.6776
38.700001	92.629	-148.5174
39.500000	92.617	-149.7536
