* Measurement data measured by REW V5.20.4
* Source: Headset (2- USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 13 Jan, 2023 9:02:35 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Moondrop Sparks R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	90.765	-109.0653
20.299999	90.851	-110.2371
20.600000	90.930	-111.3934
20.900000	91.002	-112.5202
21.200001	91.069	-113.6011
21.400000	91.112	-114.2916
21.799999	91.201	-115.6103
22.000000	91.248	-116.2491
22.400000	91.345	-117.5194
22.700001	91.419	-118.4909
23.000000	91.491	-119.4890
23.299999	91.556	-120.5006
23.600000	91.614	-121.5043
24.000000	91.684	-122.7964
24.299999	91.733	-123.7203
24.700001	91.801	-124.9117
25.000000	91.853	-125.8055
25.400000	91.920	-127.0309
25.799999	91.974	-128.2886
26.200001	92.008	-129.5173
26.500000	92.023	-130.3694
26.900000	92.033	-131.3708
27.200001	92.041	-132.0224
27.600000	92.064	-132.8030
28.000000	92.104	-133.5648
28.500000	92.166	-134.5943
29.000000	92.225	-135.7352
29.500000	92.268	-136.9261
30.000000	92.295	-138.0844
30.400000	92.313	-138.9610
30.700001	92.326	-139.5918
31.100000	92.343	-140.4125
31.500000	92.361	-141.2253
32.000000	92.382	-142.2421
32.500000	92.399	-143.2568
33.000000	92.412	-144.2593
33.500000	92.418	-145.2395
34.000000	92.421	-146.1787
34.500000	92.431	-147.0625
35.000000	92.449	-147.9171
35.500000	92.474	-148.8178
36.000000	92.492	-149.8082
36.500000	92.486	-150.8156
37.000000	92.458	-151.6711
37.500000	92.430	-152.2788
38.200001	92.440	-152.9330
38.700001	92.473	-153.5384
39.500000	92.497	-154.8093
40.000000	92.481	-155.5428
40.599998	92.461	-156.2360
41.200001	92.460	-156.9006
41.799999	92.460	-157.6898
42.500000	92.431	-158.6491
43.099998	92.391	-159.3302
43.700001	92.360	-159.9030
44.400002	92.339	-160.5675
45.000000	92.324	-161.1680
45.500000	92.312	-161.6750
46.200001	92.296	-162.3891
46.799999	92.283	-162.9900
47.500000	92.274	-163.6611
48.200001	92.276	-164.3961
48.700001	92.272	-165.0158
49.400002	92.229	-165.8921
50.000000	92.165	-166.4071
50.799999	92.108	-166.6701
51.500000	92.115	-166.9036
52.200001	92.128	-167.4237
53.000000	92.101	-168.1042
53.799999	92.057	-168.5874
54.500000	92.030	-168.9674
55.200001	92.007	-169.3746
56.000000	91.993	-169.8650
57.000000	91.976	-170.7337
58.000000	91.913	-171.5150
59.000000	91.881	-172.0338
60.000000	91.841	-172.6758
60.799999	91.805	-172.9243
61.500000	91.804	-173.1602
62.200001	91.782	-173.5550
63.000000	91.724	-173.7490
64.000000	91.723	-173.8726
65.000000	91.706	-174.6125
66.000000	91.630	-175.2677
67.000000	91.557	-175.7648
68.000000	91.549	-176.1660
69.000000	91.527	-177.3747
70.000000	91.351	-177.6992
71.000000	91.404	-177.2443
72.000000	91.425	-178.1158
73.000000	91.358	-178.0629
74.000000	91.404	-178.4503
75.000000	91.294	-178.9612
76.199997	91.272	-178.8063
77.500000	91.227	-179.6494
78.800003	91.138	-179.9764
80.000000	91.118	179.7893
81.199997	91.093	179.3589
82.500000	91.073	179.1401
83.800003	91.041	178.6672
85.000000	90.990	178.5061
86.199997	90.972	178.2213
87.500000	90.912	177.7246
88.500000	90.869	177.6050
90.000000	90.837	177.1845
91.199997	90.806	176.9450
92.500000	90.751	176.5225
93.800003	90.701	176.5135
95.000000	90.675	176.1857
96.199997	90.618	176.0284
97.500000	90.590	175.7663
98.800003	90.539	175.4829
100.000000	90.493	175.2876
101.500000	90.460	175.2115
103.000000	90.419	174.7996
104.400002	90.370	174.6783
106.000000	90.335	174.2256
107.500000	90.239	174.0729
109.000000	90.219	173.9074
110.599998	90.144	173.6331
112.000000	90.079	173.5714
113.800003	90.024	173.5511
115.000000	90.001	173.2857
117.199997	89.988	173.0661
118.000000	89.931	172.5875
120.599998	89.839	172.6383
122.000000	89.819	172.8336
124.099998	89.719	172.7312
125.000000	89.714	172.5453
126.500000	89.644	172.4547
128.000000	89.550	172.1669
131.500000	89.414	171.9185
132.000000	89.402	171.9300
