* Measurement data measured by REW V5.20.4
* Source: Headset (2- USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.630
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 10 Sep, 2022 5:45:04 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: TE0 L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	94.180	-137.2205
20.600000	93.920	-133.6887
20.900000	94.081	-130.1825
21.200001	94.523	-128.6202
21.400000	94.822	-128.9029
21.799999	95.260	-131.7253
22.000000	95.347	-133.6222
22.400000	95.291	-136.8681
22.700001	95.197	-138.0261
23.000000	95.251	-138.1057
23.299999	95.525	-138.2042
23.600000	95.929	-139.2415
24.000000	96.403	-142.6009
24.299999	96.499	-145.9328
24.700001	96.154	-149.6213
25.000000	95.616	-150.2036
25.400000	94.916	-146.6040
25.799999	94.890	-140.0461
26.200001	95.594	-136.1230
26.500000	96.199	-136.4715
26.900000	96.700	-140.0299
27.200001	96.769	-143.3503
27.600000	96.561	-146.7639
28.000000	96.302	-147.9275
28.500000	96.351	-147.4941
29.000000	96.742	-148.3083
29.500000	96.992	-150.7935
30.000000	96.885	-152.4549
30.400000	96.708	-151.9005
30.700001	96.655	-150.6001
31.100000	96.750	-148.9979
31.500000	96.911	-148.5957
32.000000	96.951	-149.7206
32.500000	96.744	-151.0951
33.000000	96.514	-151.5418
33.500000	96.489	-151.7012
34.000000	96.626	-152.8394
34.500000	96.702	-154.7771
35.000000	96.637	-156.2667
35.500000	96.572	-156.6895
36.000000	96.646	-157.0349
36.500000	96.778	-158.4754
37.000000	96.792	-160.6048
37.500000	96.687	-161.8832
38.200001	96.723	-161.2174
38.700001	96.988	-160.7898
39.500000	97.235	-162.3287
40.000000	97.144	-163.0865
40.599998	97.076	-162.9259
41.200001	97.219	-163.2789
41.799999	97.304	-164.6752
42.500000	97.140	-165.1183
43.099998	97.063	-163.6938
43.700001	97.172	-163.0650
44.400002	97.209	-164.8208
45.000000	97.045	-166.7965
45.500000	96.936	-167.6264
46.200001	97.069	-168.0628
46.799999	97.379	-169.0631
47.500000	97.637	-171.0357
48.200001	97.613	-172.3218
48.700001	97.473	-172.1680
49.400002	97.231	-170.8503
50.000000	97.023	-169.6253
50.799999	96.859	-169.2358
51.500000	96.908	-171.4690
52.200001	96.974	-175.5045
53.000000	96.959	-178.2160
53.799999	97.154	-177.5206
54.500000	97.432	-177.3868
55.200001	97.430	-178.5210
56.000000	97.158	-179.3924
57.000000	97.055	179.8033
58.000000	97.090	177.7902
59.000000	97.083	177.7218
60.000000	97.254	178.5160
60.799999	97.233	177.9172
61.500000	97.112	177.2685
62.200001	97.093	176.3453
63.000000	97.075	175.2972
64.000000	97.090	176.9417
65.000000	97.416	176.5395
66.000000	97.168	172.2982
67.000000	96.839	172.3812
68.000000	97.049	173.4745
69.000000	96.929	172.7602
70.000000	96.763	172.0985
71.000000	96.932	171.0106
72.000000	97.059	169.5379
73.000000	96.860	168.3808
74.000000	96.743	167.8084
75.000000	96.777	166.8578
