* Measurement data measured by REW V5.20.4
* Source: Headset (2- USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.630
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 10 Sep, 2022 5:44:03 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: TE0 R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	94.966	-130.7584
20.600000	95.109	-131.4490
20.900000	95.184	-132.1416
21.200001	95.177	-132.4713
21.400000	95.144	-132.2936
21.799999	95.089	-131.0021
22.000000	95.108	-130.0744
22.400000	95.305	-128.4865
22.700001	95.563	-128.3428
23.000000	95.837	-129.5388
23.299999	96.059	-131.8995
23.600000	96.199	-134.9885
24.000000	96.254	-139.3146
24.299999	96.232	-141.9767
24.700001	96.193	-144.1275
25.000000	96.213	-144.6744
25.400000	96.336	-144.4902
25.799999	96.517	-144.1056
26.200001	96.654	-144.0181
26.500000	96.687	-144.1118
26.900000	96.645	-144.2073
27.200001	96.597	-144.1246
27.600000	96.589	-143.8576
28.000000	96.696	-143.7808
28.500000	96.933	-144.5620
29.000000	97.091	-146.3674
29.500000	97.034	-148.5293
30.000000	96.797	-150.1995
30.400000	96.625	-150.9974
30.700001	96.586	-151.4719
31.100000	96.695	-152.4111
31.500000	96.930	-153.9630
32.000000	97.196	-156.3688
32.500000	97.225	-157.9725
33.000000	97.004	-157.3442
33.500000	96.762	-154.4434
34.000000	96.762	-151.5311
34.500000	96.955	-151.3441
35.000000	97.123	-154.2117
35.500000	97.169	-158.1805
36.000000	97.162	-160.9393
36.500000	97.218	-161.5857
37.000000	97.361	-161.0402
37.500000	97.451	-160.6270
38.200001	97.260	-160.7925
38.700001	97.011	-160.9193
39.500000	96.997	-161.2563
40.000000	97.282	-162.1004
40.599998	97.684	-163.4982
41.200001	97.918	-164.5999
41.799999	97.922	-165.1578
42.500000	97.740	-165.3422
43.099998	97.593	-165.4561
43.700001	97.554	-165.9003
44.400002	97.601	-167.1732
45.000000	97.585	-168.9733
45.500000	97.459	-170.5742
46.200001	97.243	-171.5344
46.799999	97.405	-170.7729
47.500000	98.117	-171.2215
48.200001	98.580	-174.4776
48.700001	98.405	-176.3772
49.400002	97.784	-175.2052
50.000000	97.594	-172.6480
50.799999	97.713	-173.7532
51.500000	97.575	-176.7494
52.200001	97.452	-177.5860
53.000000	97.571	-177.5683
53.799999	97.572	-177.7265
54.500000	97.593	-177.6369
55.200001	97.696	-179.0334
56.000000	97.617	178.9341
57.000000	97.652	179.8380
58.000000	97.903	179.5576
59.000000	97.709	178.6661
60.000000	97.666	177.7318
60.799999	97.635	175.9413
61.500000	97.545	175.1392
62.200001	97.525	174.7187
63.000000	97.565	173.5813
64.000000	97.723	171.5712
65.000000	97.841	169.5439
66.000000	97.602	169.4505
67.000000	97.227	170.7197
68.000000	97.080	171.2916
69.000000	97.217	169.2094
70.000000	97.028	168.2475
71.000000	97.146	169.6873
72.000000	97.218	166.4363
73.000000	96.968	164.9377
74.000000	97.192	165.3353
75.000000	97.122	165.0213
76.199997	96.916	165.7835
77.500000	96.917	164.6629
78.800003	96.622	162.1495
80.000000	96.669	162.4788
81.199997	96.995	161.7097
82.500000	96.596	165.4504
83.800003	96.562	162.5487
85.000000	96.442	157.9229
86.199997	96.646	157.9983
87.500000	96.684	157.1100
88.500000	96.441	157.3857
90.000000	96.443	157.2170
91.199997	96.216	156.3828
92.500000	96.305	156.5877
93.800003	96.018	155.6003
95.000000	96.179	154.1513
96.199997	95.817	154.5251
97.500000	95.834	155.9828
98.800003	95.860	149.7992
100.000000	95.794	148.9549
101.500000	95.992	151.9655
103.000000	95.312	152.4172
104.400002	95.560	151.0901
106.000000	95.403	151.5289
107.500000	95.541	150.4919
109.000000	95.157	149.9649
110.599998	94.976	149.8869
112.000000	94.777	149.5111
113.800003	95.047	147.5267
115.000000	94.843	145.6363
117.199997	94.457	146.2058
118.000000	94.380	145.8828
120.599998	94.056	147.6796
122.000000	94.262	144.6349
124.099998	94.213	147.1564
125.000000	93.936	144.7429
126.500000	93.773	145.7534
128.000000	93.628	143.9913
131.500000	93.245	144.9969
132.000000	93.230	143.7800
134.000000	93.202	144.8392
136.000000	92.931	143.4443
138.000000	93.227	145.2277
140.000000	92.590	142.5881
143.000000	92.785	144.6423
145.000000	92.264	142.2506
147.500000	92.003	144.6498
150.000000	91.602	143.5525
152.500000	91.520	141.1895
155.000000	91.539	148.2792
157.500000	90.878	145.8941
160.000000	89.885	147.1051
162.500000	91.193	142.2177
165.000000	90.006	146.4986
167.500000	90.481	148.9368
170.000000	89.126	140.3118
172.500000	90.795	147.8515
175.000000	90.154	148.5004
177.500000	89.335	149.8953
180.000000	90.009	147.2836
182.500000	89.594	145.8854
185.000000	89.408	149.9985
187.500000	89.847	152.3149
190.000000	88.921	152.6397
192.500000	89.907	155.3559
195.000000	88.924	155.1010
197.500000	89.281	152.3558
200.000000	89.234	158.5934
203.000000	89.019	155.6201
206.000000	89.380	153.7430
209.000000	88.341	158.2770
212.000000	88.867	157.4240
214.000000	88.867	155.9107
218.000000	89.111	157.1754
220.000000	88.836	161.7827
224.000000	88.513	160.3052
227.000000	88.730	162.9908
230.000000	88.729	162.8798
233.000000	89.171	163.5471
236.000000	88.550	161.5449
240.000000	88.837	163.5788
243.000000	88.359	167.6299
247.000000	88.797	166.2710
250.000000	88.461	168.7247
254.000000	88.050	168.4675
258.000000	88.646	168.9119
262.000000	88.508	169.6918
265.000000	88.638	167.7539
269.000000	88.878	170.6819
272.000000	89.045	170.2886
276.000000	88.801	170.5621
280.000000	88.633	171.2959
285.000000	89.028	172.3415
290.000000	88.296	174.2156
295.000000	88.826	172.9291
300.000000	89.430	173.1955
304.000000	88.783	175.2249
307.000000	88.707	176.5223
311.000000	88.948	174.7563
315.000000	88.878	178.1528
320.000000	88.747	178.5329
325.000000	88.545	174.7807
330.000000	88.523	176.2892
335.000000	88.633	176.9231
340.000000	88.784	177.4545
345.000000	89.027	177.9294
350.000000	88.714	175.2632
355.000000	88.937	177.1105
360.000000	88.414	171.5707
365.000000	88.677	176.6202
370.000000	88.778	179.6418
375.000000	88.417	177.8718
382.000000	88.717	178.8474
387.000000	88.765	179.7878
395.000000	88.627	-179.9716
400.000000	89.201	-178.2625
406.000000	88.215	-173.8317
412.000000	89.024	-178.3074
418.000000	89.197	178.8598
425.000000	88.028	179.7401
431.000000	88.699	-174.9872
437.000000	87.761	177.1579
444.000000	88.778	-176.5291
450.000000	88.740	-178.9687
455.000000	88.482	-174.8775
462.000000	88.263	-176.5177
468.000000	88.453	-175.2754
475.000000	88.491	-173.6164
482.000000	88.523	-174.8743
487.000000	88.414	-173.8947
494.000000	88.400	-175.1540
500.000000	88.287	-171.8668
508.000000	88.497	-171.5130
515.000000	88.339	-171.1033
522.000000	88.398	-172.5885
530.000000	88.426	-171.9437
538.000000	88.419	-171.3815
545.000000	88.408	-170.0074
552.000000	88.469	-170.2678
560.000000	88.452	-169.1403
570.000000	88.390	-168.3669
580.000000	88.457	-167.9125
590.000000	88.428	-167.4357
600.000000	88.471	-166.1000
608.000000	88.497	-165.8938
615.000000	88.450	-164.5799
622.000000	88.514	-164.2559
630.000000	88.507	-162.9161
640.000000	88.391	-163.4640
650.000000	88.550	-162.9208
660.000000	88.601	-163.1276
670.000000	88.569	-161.5535
680.000000	88.577	-160.1380
690.000000	88.633	-159.8150
700.000000	88.711	-158.4434
710.000000	88.730	-158.3092
720.000000	88.732	-157.9374
730.000000	88.809	-157.3912
740.000000	88.849	-157.0478
750.000000	88.845	-155.6960
762.000000	88.854	-154.9259
775.000000	88.919	-154.4323
788.000000	88.952	-153.4315
800.000000	89.130	-152.3405
812.000000	89.112	-152.2923
825.000000	89.141	-151.5938
838.000000	89.207	-151.0716
850.000000	89.273	-150.4796
862.000000	89.380	-149.7305
875.000000	89.438	-149.1035
885.000000	89.527	-148.4569
900.000000	89.636	-148.3660
912.000000	89.690	-147.8689
925.000000	89.740	-147.5498
938.000000	89.796	-146.8038
950.000000	89.893	-146.2256
962.000000	89.947	-146.0060
975.000000	90.029	-145.6331
988.000000	90.123	-145.4811
1000.000000	90.196	-144.8570
1015.000000	90.274	-144.6208
1030.000000	90.381	-144.4554
1044.000000	90.443	-144.0753
1060.000000	90.537	-143.7013
1075.000000	90.622	-143.4681
1090.000000	90.676	-143.1376
1106.000000	90.738	-142.7755
1120.000000	90.790	-142.4750
1138.000000	90.861	-142.2160
1150.000000	90.902	-142.0054
1172.000000	90.977	-141.5759
1180.000000	91.008	-141.4000
1206.000000	91.109	-140.8028
1220.000000	91.182	-140.5671
1241.000000	91.307	-140.2677
1250.000000	91.371	-140.2803
1265.000000	91.470	-139.6996
1280.000000	91.528	-139.5673
1315.000000	91.737	-139.2611
1320.000000	91.781	-139.1358
1340.000000	91.869	-138.8469
1360.000000	92.025	-138.5056
1380.000000	92.140	-138.1872
1400.000000	92.253	-137.8398
1430.000000	92.416	-137.3839
1450.000000	92.532	-137.1200
1475.000000	92.658	-136.7060
1500.000000	92.806	-136.4391
1525.000000	92.945	-135.9944
1550.000000	93.063	-135.6380
1575.000000	93.171	-135.1719
1600.000000	93.274	-134.8355
1625.000000	93.392	-134.4515
1650.000000	93.505	-134.1474
1675.000000	93.635	-133.7590
1700.000000	93.751	-133.3874
1725.000000	93.877	-133.0607
1750.000000	94.010	-132.7205
1775.000000	94.136	-132.4098
1800.000000	94.269	-132.2269
1825.000000	94.403	-131.9002
1850.000000	94.532	-131.6745
1875.000000	94.665	-131.4533
1900.000000	94.795	-131.1815
1925.000000	94.936	-131.0396
1950.000000	95.068	-130.8665
1975.000000	95.207	-130.7371
2000.000000	95.348	-130.5421
2030.000000	95.511	-130.4315
2060.000000	95.687	-130.3524
2090.000000	95.861	-130.3440
2120.000000	96.036	-130.3564
2140.000000	96.152	-130.3737
2180.000000	96.383	-130.5112
2200.000000	96.491	-130.6289
2240.000000	96.725	-130.9289
2270.000000	96.895	-131.1936
2300.000000	97.057	-131.4422
2330.000000	97.211	-131.8075
2360.000000	97.371	-132.1635
2400.000000	97.581	-132.7740
2430.000000	97.742	-133.2514
2470.000000	97.942	-133.9913
2500.000000	98.082	-134.5779
2540.000000	98.265	-135.4681
2580.000000	98.439	-136.4311
2620.000000	98.598	-137.4544
2650.000000	98.707	-138.2639
2690.000000	98.843	-139.3790
2720.000000	98.938	-140.2699
2760.000000	99.042	-141.4471
2800.000000	99.135	-142.6779
2850.000000	99.227	-144.2182
2900.000000	99.297	-145.7403
2950.000000	99.341	-147.2833
3000.000000	99.361	-148.7506
3040.000000	99.357	-149.9017
3070.000000	99.346	-150.7464
3110.000000	99.323	-151.7763
3150.000000	99.289	-152.7917
3200.000000	99.235	-153.9572
3250.000000	99.166	-155.0207
3300.000000	99.085	-155.9794
3350.000000	99.000	-156.8584
3400.000000	98.915	-157.5998
3450.000000	98.818	-158.2603
3500.000000	98.721	-158.8447
3550.000000	98.624	-159.3200
3600.000000	98.531	-159.7250
3650.000000	98.441	-160.0507
3700.000000	98.352	-160.3219
3750.000000	98.259	-160.4569
3820.000000	98.150	-160.6679
3870.000000	98.076	-160.7116
3950.000000	97.966	-160.7241
4000.000000	97.907	-160.7349
4060.000000	97.841	-160.6407
4120.000000	97.782	-160.5588
