* Measurement data measured by REW V5.20.4
* Source: Headset (2- USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.630
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 10 Sep, 2022 5:57:46 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Timeless L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	96.000	-154.6657
20.600000	95.911	-155.0631
20.900000	95.876	-154.8537
21.200001	95.923	-154.5436
21.400000	95.988	-154.5596
21.799999	96.127	-155.3241
22.000000	96.166	-156.0564
22.400000	96.135	-157.8433
22.700001	96.037	-159.0000
23.000000	95.941	-159.6743
23.299999	95.924	-159.9785
23.600000	96.014	-160.2850
24.000000	96.254	-161.2983
24.299999	96.426	-162.6364
24.700001	96.515	-164.6472
25.000000	96.448	-165.5959
25.400000	96.263	-165.2340
25.799999	96.192	-162.9787
26.200001	96.410	-160.3988
26.500000	96.715	-159.5054
26.900000	97.118	-160.4052
27.200001	97.292	-162.3827
27.600000	97.287	-165.8772
28.000000	97.046	-169.1996
28.500000	96.604	-171.7469
29.000000	96.274	-172.1143
29.500000	96.195	-171.1872
30.000000	96.293	-170.2077
30.400000	96.401	-169.8644
30.700001	96.459	-169.9590
31.100000	96.479	-170.5664
31.500000	96.426	-171.6014
32.000000	96.288	-173.0625
32.500000	96.157	-174.1192
33.000000	96.130	-174.4920
33.500000	96.217	-174.5002
34.000000	96.342	-174.5457
34.500000	96.414	-174.7733
35.000000	96.407	-175.0224
35.500000	96.386	-175.1096
36.000000	96.442	-175.1131
36.500000	96.603	-175.3963
37.000000	96.790	-176.2909
37.500000	96.879	-177.6866
38.200001	96.733	-179.4621
38.700001	96.530	179.9556
39.500000	96.338	179.5713
40.000000	96.295	179.1641
40.599998	96.243	178.8649
41.200001	96.226	179.0229
41.799999	96.279	178.7419
42.500000	96.285	177.1033
43.099998	96.165	175.7279
43.700001	96.049	175.5542
44.400002	96.050	176.3427
45.000000	96.115	176.7491
45.500000	96.169	176.4987
46.200001	96.227	175.0927
46.799999	96.189	173.5934
47.500000	96.046	173.7983
48.200001	96.109	176.3267
48.700001	96.316	177.3560
49.400002	96.434	175.8207
50.000000	96.210	173.4184
50.799999	95.909	171.7311
51.500000	95.966	170.9624
52.200001	95.993	170.1867
53.000000	95.820	170.9313
53.799999	95.761	171.9290
54.500000	95.738	170.9730
55.200001	95.662	169.4668
56.000000	95.648	168.3666
57.000000	95.631	168.2062
58.000000	95.617	169.3983
59.000000	95.554	168.9580
60.000000	95.415	167.5624
60.799999	95.422	165.9334
61.500000	95.389	164.8840
62.200001	95.365	164.9709
63.000000	95.375	165.2112
64.000000	95.278	165.2621
65.000000	95.303	165.0659
66.000000	95.247	164.2066
67.000000	95.016	164.4154
68.000000	94.769	164.8935
69.000000	94.897	164.1380
70.000000	94.999	161.2858
71.000000	94.833	162.1474
72.000000	94.943	163.2091
73.000000	94.825	162.0982
74.000000	94.788	161.8736
75.000000	94.766	161.8614
76.199997	94.733	162.3275
77.500000	94.677	161.5327
78.800003	94.632	161.3900
80.000000	94.417	160.8484
81.199997	94.414	160.0476
82.500000	94.283	160.2285
83.800003	94.309	159.3074
85.000000	94.280	158.9401
86.199997	94.239	158.6768
87.500000	94.152	159.3835
88.500000	94.288	157.9236
90.000000	94.060	158.4500
91.199997	93.944	159.0174
92.500000	93.853	158.6780
93.800003	93.788	158.2859
95.000000	93.829	157.2333
96.199997	93.679	157.7336
97.500000	93.726	157.0925
98.800003	93.788	157.0546
100.000000	94.066	157.0963
101.500000	93.622	157.8281
103.000000	93.362	156.5448
104.400002	93.487	156.5002
106.000000	93.248	156.8225
107.500000	93.307	155.5850
109.000000	93.159	155.3646
110.599998	93.187	154.8099
112.000000	93.027	155.2128
113.800003	92.884	155.0985
115.000000	92.839	154.8659
117.199997	92.869	154.6820
118.000000	92.871	154.6450
120.599998	92.606	154.4531
122.000000	92.598	154.7659
124.099998	92.582	154.8455
125.000000	92.650	154.7938
126.500000	92.453	154.3394
128.000000	92.487	154.5895
131.500000	92.353	153.3760
132.000000	92.207	153.7661
134.000000	92.305	154.1053
136.000000	92.034	154.9471
138.000000	92.130	153.2767
140.000000	92.085	155.3600
143.000000	91.859	154.0469
145.000000	91.895	154.0951
147.500000	91.625	153.7603
150.000000	91.672	152.9671
152.500000	91.695	154.9950
155.000000	91.423	153.7381
157.500000	91.342	153.9417
160.000000	91.473	153.0580
162.500000	91.257	154.4860
165.000000	91.058	155.2722
167.500000	91.048	154.6888
170.000000	91.193	152.8425
172.500000	91.088	155.5135
175.000000	90.837	155.4458
177.500000	90.486	154.3183
180.000000	90.917	152.3268
182.500000	90.994	153.6732
185.000000	90.718	155.9359
187.500000	90.264	155.6417
190.000000	90.627	156.1021
192.500000	90.244	155.4586
195.000000	90.430	154.9453
197.500000	90.437	156.8136
200.000000	90.169	157.3564
203.000000	90.818	153.3506
206.000000	90.281	155.9142
209.000000	89.613	156.4058
212.000000	89.840	156.4517
214.000000	90.170	152.2298
218.000000	89.106	156.1631
220.000000	90.208	150.9068
224.000000	89.404	155.4567
227.000000	89.650	153.1526
230.000000	89.966	157.9647
233.000000	89.449	156.7400
236.000000	89.562	158.2020
240.000000	89.359	157.8399
243.000000	89.459	158.7520
247.000000	89.295	155.9677
250.000000	89.278	160.9349
254.000000	89.276	160.5617
258.000000	89.334	158.2766
262.000000	88.616	160.2892
265.000000	89.590	160.9301
269.000000	88.817	156.6439
272.000000	88.943	162.1921
276.000000	89.055	161.1152
280.000000	88.746	160.4931
285.000000	88.681	162.2487
290.000000	88.637	161.7618
295.000000	88.870	161.9758
300.000000	87.748	161.4021
304.000000	88.419	159.5430
307.000000	88.811	162.9988
311.000000	88.662	165.3395
315.000000	88.109	165.1215
320.000000	87.901	162.3641
325.000000	88.293	162.4627
330.000000	88.919	168.4705
335.000000	88.250	166.1436
340.000000	87.187	163.7564
345.000000	88.341	169.6425
350.000000	87.085	157.5057
355.000000	88.492	167.2337
360.000000	87.403	170.8353
365.000000	87.845	165.5256
370.000000	87.728	171.0464
375.000000	88.034	168.0293
382.000000	87.729	167.1253
387.000000	87.849	168.8480
395.000000	87.692	169.3639
400.000000	87.522	168.3752
406.000000	87.712	170.3638
412.000000	87.770	173.4621
418.000000	87.560	173.2178
425.000000	87.664	171.4315
431.000000	87.639	173.4111
437.000000	86.716	174.1459
444.000000	87.661	171.1830
450.000000	87.010	-161.4786
455.000000	87.098	-174.8708
462.000000	87.591	174.3009
468.000000	86.998	175.1944
475.000000	87.015	175.7421
482.000000	87.070	177.2999
487.000000	86.710	177.7878
494.000000	86.967	178.4101
500.000000	87.278	177.8241
508.000000	87.304	178.9343
515.000000	87.222	-179.7764
522.000000	86.905	179.4798
530.000000	87.019	179.7859
538.000000	87.147	-177.4181
545.000000	87.014	-178.2735
552.000000	87.122	-177.7432
560.000000	87.021	-177.1140
570.000000	86.896	-175.6796
580.000000	87.195	-176.1109
590.000000	86.689	-175.6952
600.000000	84.244	-172.7531
608.000000	86.195	-169.8239
615.000000	86.614	-170.2127
622.000000	86.969	-170.7009
630.000000	87.003	-170.4715
640.000000	86.699	-170.8080
650.000000	86.217	-175.9474
660.000000	86.919	-168.9100
670.000000	86.906	-170.2347
680.000000	86.464	-167.2616
690.000000	86.595	-168.9971
700.000000	86.957	-167.3715
710.000000	86.889	-165.7733
720.000000	87.181	-164.7480
730.000000	87.108	-162.1744
740.000000	86.307	-161.7155
750.000000	86.523	-163.5676
762.000000	87.113	-160.3933
775.000000	87.187	-159.2774
788.000000	86.954	-158.4612
800.000000	87.029	-158.2289
812.000000	87.040	-158.2908
825.000000	87.203	-157.6714
838.000000	87.132	-156.3318
850.000000	87.204	-155.0503
862.000000	87.378	-155.2057
875.000000	87.310	-153.5861
885.000000	87.264	-153.2203
900.000000	87.787	-153.7843
912.000000	87.500	-153.8020
925.000000	87.621	-150.7162
938.000000	87.586	-150.2561
950.000000	87.798	-149.5812
962.000000	87.772	-148.5095
975.000000	88.049	-149.1415
988.000000	87.767	-146.8587
1000.000000	88.158	-147.5635
1015.000000	88.110	-146.1561
1030.000000	88.164	-146.8023
1044.000000	88.585	-145.1248
1060.000000	88.354	-144.9243
1075.000000	88.515	-144.9694
1090.000000	88.574	-143.7524
1106.000000	88.786	-143.6783
1120.000000	88.839	-142.6938
1138.000000	88.848	-142.7296
1150.000000	88.923	-142.4441
1172.000000	89.073	-141.2194
1180.000000	89.327	-142.1154
1206.000000	89.308	-140.8880
1220.000000	89.240	-139.7474
1241.000000	89.518	-139.3017
1250.000000	89.590	-139.5562
1265.000000	89.693	-139.7096
1280.000000	89.380	-141.3644
1315.000000	89.716	-139.0019
1320.000000	89.720	-138.5221
1340.000000	90.182	-139.4584
1360.000000	90.420	-139.5837
1380.000000	90.135	-133.8159
1400.000000	90.422	-140.0807
1430.000000	90.874	-137.2419
1450.000000	90.989	-135.6096
1475.000000	91.270	-134.0943
1500.000000	91.245	-134.0016
1525.000000	91.509	-134.5151
1550.000000	91.684	-134.2256
1575.000000	91.843	-132.7110
1600.000000	92.263	-132.7611
1625.000000	92.410	-131.5091
1650.000000	92.512	-132.3942
1675.000000	92.979	-131.5991
1700.000000	93.163	-132.5383
1725.000000	93.415	-133.1005
1750.000000	93.578	-132.4009
1775.000000	93.839	-133.3840
1800.000000	94.020	-133.5268
1825.000000	94.134	-134.4498
1850.000000	94.397	-134.6540
1875.000000	94.574	-135.4467
1900.000000	94.725	-135.7699
1925.000000	94.919	-136.6923
1950.000000	95.095	-136.8865
1975.000000	95.248	-137.6276
2000.000000	95.403	-138.2268
2030.000000	95.625	-139.0022
2060.000000	95.835	-139.8915
2090.000000	96.055	-141.0532
2120.000000	96.264	-142.2467
2140.000000	96.396	-143.0609
2180.000000	96.689	-145.1379
2200.000000	96.802	-146.3234
2240.000000	97.116	-148.9634
2270.000000	97.325	-151.5187
2300.000000	97.469	-154.7305
2330.000000	97.546	-158.6615
2360.000000	97.451	-163.3133
2400.000000	96.854	-169.6536
2430.000000	96.002	-172.4410
2470.000000	94.867	-171.1780
2500.000000	94.395	-167.7929
2540.000000	94.258	-163.8001
2580.000000	94.380	-161.5162
2620.000000	94.542	-160.5520
2650.000000	94.644	-160.3704
2690.000000	94.750	-160.5473
2720.000000	94.810	-160.8607
2760.000000	94.863	-161.4384
2800.000000	94.893	-162.0664
2850.000000	94.923	-163.1779
2900.000000	94.894	-164.8240
2950.000000	94.706	-166.5900
3000.000000	94.406	-167.7353
