* Measurement data measured by REW V5.20.4
* Source: Headset (2- USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.630
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 10 Sep, 2022 5:55:44 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Timeless R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	96.585	-153.2557
20.600000	96.604	-154.2760
20.900000	96.542	-154.7091
21.200001	96.490	-154.5132
21.400000	96.510	-154.2375
21.799999	96.689	-154.0372
22.000000	96.827	-154.4220
22.400000	97.095	-156.4698
22.700001	97.196	-158.7797
23.000000	97.163	-161.1371
23.299999	97.011	-162.9315
23.600000	96.797	-163.7814
24.000000	96.544	-163.3290
24.299999	96.463	-162.2592
24.700001	96.512	-160.8238
25.000000	96.607	-160.2173
25.400000	96.725	-160.0886
25.799999	96.803	-160.3908
26.200001	96.872	-160.9243
26.500000	96.931	-161.5336
26.900000	96.993	-162.6891
27.200001	96.996	-163.6867
27.600000	96.924	-164.7954
28.000000	96.802	-165.1766
28.500000	96.717	-164.6549
29.000000	96.787	-164.2671
29.500000	96.895	-165.0813
30.000000	96.908	-166.7687
30.400000	96.881	-168.0863
30.700001	96.886	-168.9055
31.100000	96.968	-169.9551
31.500000	97.098	-171.1928
32.000000	97.193	-172.8734
32.500000	97.114	-173.8714
33.000000	96.930	-173.5715
33.500000	96.782	-172.6184
34.000000	96.703	-172.3721
34.500000	96.622	-173.2588
35.000000	96.542	-174.5867
35.500000	96.568	-175.6910
36.000000	96.737	-176.6854
36.500000	96.929	-177.8058
37.000000	97.002	-178.7059
37.500000	96.956	-178.8775
38.200001	96.917	-178.3721
38.700001	96.959	-178.5965
39.500000	96.907	179.8668
40.000000	96.754	179.4458
40.599998	96.601	-179.9544
41.200001	96.612	-179.4723
41.799999	96.679	179.6687
42.500000	96.630	177.8981
43.099998	96.522	177.5392
43.700001	96.526	178.2774
44.400002	96.639	178.4425
45.000000	96.631	177.2529
45.500000	96.544	176.0847
46.200001	96.506	175.0539
46.799999	96.585	174.5152
47.500000	96.552	174.4580
48.200001	96.372	175.6885
48.700001	96.317	176.4293
49.400002	96.363	175.2689
50.000000	96.383	173.0244
50.799999	96.420	171.5689
51.500000	96.502	171.8473
52.200001	96.412	172.2141
53.000000	96.144	172.1777
53.799999	95.989	170.1527
