* Measurement data measured by REW V5.20.4
* Source: Headset (2- USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.630
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 10 Sep, 2022 5:38:17 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Vari S2 L F
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	97.181	20.1519
20.600000	97.258	19.1427
20.900000	97.313	18.0601
21.200001	97.351	16.9380
21.400000	97.370	16.1994
21.799999	97.393	14.7437
22.000000	97.396	14.0182
22.400000	97.379	12.5410
22.700001	97.333	11.4284
23.000000	97.252	10.3908
23.299999	97.140	9.5566
23.600000	97.017	9.0364
24.000000	96.883	8.9194
24.299999	96.848	9.1805
24.700001	96.912	9.6718
25.000000	97.029	9.8569
25.400000	97.219	9.5998
25.799999	97.360	8.7866
26.200001	97.397	7.7297
26.500000	97.360	7.0241
26.900000	97.272	6.3945
27.200001	97.232	6.1157
27.600000	97.273	5.7010
28.000000	97.422	4.7831
28.500000	97.640	2.7469
29.000000	97.723	0.5673
29.500000	97.620	-0.4625
30.000000	97.464	0.2246
30.400000	97.419	1.3234
30.700001	97.439	1.8299
31.100000	97.473	1.5126
31.500000	97.439	0.1039
32.000000	97.258	-2.2656
32.500000	97.016	-3.8978
33.000000	96.902	-4.0274
33.500000	97.017	-3.2905
34.000000	97.269	-2.9805
34.500000	97.450	-3.7030
35.000000	97.426	-5.0845
35.500000	97.226	-6.2520
36.000000	97.019	-6.5775
36.500000	96.982	-6.2527
37.000000	97.128	-6.0901
37.500000	97.308	-6.5074
38.200001	97.349	-7.4855
38.700001	97.214	-8.0520
39.500000	96.917	-9.2261
40.000000	96.765	-10.2783
40.599998	96.706	-11.3466
41.200001	96.827	-11.9602
41.799999	97.003	-12.5086
42.500000	97.016	-13.1453
43.099998	96.828	-13.3636
43.700001	96.607	-13.5577
44.400002	96.452	-14.4228
45.000000	96.430	-15.6635
45.500000	96.456	-16.7287
46.200001	96.467	-17.7999
46.799999	96.430	-17.9163
47.500000	96.465	-17.5623
48.200001	96.568	-18.2093
48.700001	96.544	-19.2532
49.400002	96.341	-19.9423
50.000000	96.231	-19.4847
50.799999	96.293	-19.8321
51.500000	96.266	-21.3617
52.200001	96.174	-21.9213
53.000000	96.267	-21.7901
53.799999	96.282	-22.9489
54.500000	96.002	-23.5470
55.200001	95.780	-22.6182
56.000000	95.866	-22.1853
57.000000	95.936	-24.1232
58.000000	95.806	-25.4469
59.000000	95.732	-25.9466
60.000000	95.642	-26.0275
60.799999	95.596	-26.0686
61.500000	95.586	-26.5780
62.200001	95.562	-27.5738
63.000000	95.433	-28.6306
64.000000	95.224	-28.5439
65.000000	95.231	-28.8059
66.000000	95.170	-30.2269
67.000000	95.039	-30.5982
68.000000	94.896	-31.0245
69.000000	94.780	-31.2130
70.000000	94.801	-32.1230
71.000000	94.601	-32.5425
72.000000	94.578	-31.5551
73.000000	94.674	-32.7246
74.000000	94.487	-33.8264
75.000000	94.391	-33.5673
76.199997	94.336	-34.7269
77.500000	94.162	-34.7793
78.800003	94.095	-35.8065
80.000000	93.953	-35.0439
81.199997	93.859	-36.5408
82.500000	93.607	-36.4782
83.800003	93.600	-38.2240
85.000000	93.405	-36.1276
86.199997	93.431	-36.7574
87.500000	93.481	-36.7345
88.500000	93.467	-38.0183
90.000000	93.231	-37.8325
91.199997	93.022	-38.4798
92.500000	93.068	-38.3717
93.800003	92.956	-38.5434
95.000000	92.835	-38.6907
96.199997	92.590	-39.7117
97.500000	92.592	-38.6021
98.800003	92.456	-39.3433
100.000000	91.949	-39.3972
101.500000	92.236	-40.3342
103.000000	92.136	-40.0936
104.400002	92.202	-40.4259
106.000000	91.861	-40.3863
107.500000	91.637	-41.5289
109.000000	91.612	-41.4070
110.599998	91.568	-41.8762
112.000000	91.436	-41.1399
113.800003	91.399	-41.3109
115.000000	91.283	-40.2147
117.199997	90.995	-41.6758
118.000000	90.978	-42.2627
120.599998	90.781	-42.2143
122.000000	90.728	-40.5834
124.099998	90.383	-40.9691
125.000000	90.389	-41.0933
126.500000	90.148	-41.5995
128.000000	90.271	-41.9308
131.500000	89.994	-40.4180
132.000000	90.005	-40.5089
134.000000	89.857	-41.1889
136.000000	89.598	-40.3185
138.000000	89.681	-40.6211
140.000000	89.457	-39.5963
143.000000	88.823	-39.8843
145.000000	89.188	-41.8022
147.500000	88.612	-38.2756
150.000000	88.854	-41.3632
152.500000	88.716	-39.1933
155.000000	88.698	-38.6576
157.500000	88.244	-38.5416
160.000000	88.359	-38.2003
162.500000	88.300	-37.9810
165.000000	88.022	-35.0445
167.500000	87.854	-36.0694
170.000000	87.426	-38.3080
172.500000	87.550	-36.3424
175.000000	87.442	-35.5091
177.500000	87.379	-33.0377
180.000000	87.297	-33.8068
182.500000	87.125	-31.1916
185.000000	86.766	-30.5085
187.500000	86.772	-31.1039
190.000000	86.809	-30.4158
192.500000	86.829	-30.5870
195.000000	86.551	-28.3489
197.500000	86.637	-28.9364
200.000000	86.577	-27.1100
203.000000	86.505	-27.6412
206.000000	86.219	-26.2117
209.000000	86.459	-23.3315
212.000000	86.447	-26.1062
214.000000	86.047	-24.0945
218.000000	85.992	-23.4686
220.000000	86.165	-22.8494
224.000000	86.044	-20.0459
227.000000	85.885	-21.1660
230.000000	85.873	-19.5500
233.000000	85.784	-17.7491
236.000000	85.823	-18.5837
240.000000	85.894	-18.1946
243.000000	85.855	-17.5926
247.000000	85.743	-14.0248
250.000000	85.739	-15.2164
254.000000	85.703	-14.0601
258.000000	85.862	-12.8878
262.000000	85.920	-12.0224
265.000000	85.618	-12.9372
269.000000	85.561	-10.0664
272.000000	85.710	-9.8500
276.000000	85.817	-9.3058
280.000000	85.751	-7.7614
285.000000	85.831	-7.7715
290.000000	85.600	-6.8076
295.000000	85.834	-5.7282
300.000000	85.830	-5.1135
304.000000	85.831	-4.2626
307.000000	85.776	-3.9392
311.000000	85.760	-2.9093
315.000000	85.836	-3.8250
320.000000	85.703	-2.3383
325.000000	85.919	-2.7054
330.000000	85.938	-0.5674
335.000000	85.877	-0.3956
340.000000	85.926	-0.7523
345.000000	85.978	0.4117
350.000000	85.994	1.1598
355.000000	86.018	0.7569
360.000000	86.064	2.9136
365.000000	86.066	1.8862
370.000000	86.057	3.9619
375.000000	85.931	3.6382
382.000000	86.071	4.0156
387.000000	86.137	4.5386
395.000000	86.206	5.3495
400.000000	86.174	6.3494
406.000000	86.153	6.4127
412.000000	86.289	7.1400
418.000000	86.263	7.4934
425.000000	86.332	7.9756
431.000000	86.398	8.3378
437.000000	86.430	8.8554
444.000000	86.415	9.2108
450.000000	86.458	9.7722
455.000000	86.422	9.1123
462.000000	86.564	10.7093
468.000000	86.606	10.6707
475.000000	86.577	11.0668
482.000000	86.640	11.0720
487.000000	86.650	11.5367
