* Measurement data measured by REW V5.20.4
* Source: Headset (2- USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.630
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 10 Sep, 2022 5:40:32 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Vari S2 R F
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	96.204	17.8612
20.600000	96.318	16.6020
20.900000	96.421	15.0665
21.200001	96.497	13.5159
21.400000	96.538	12.6324
21.799999	96.611	11.3598
22.000000	96.651	10.9876
22.400000	96.743	10.6476
22.700001	96.812	10.5660
23.000000	96.863	10.4920
23.299999	96.886	10.3688
23.600000	96.881	10.1560
24.000000	96.846	9.6421
24.299999	96.811	8.9914
24.700001	96.754	7.6988
25.000000	96.698	6.4752
25.400000	96.600	4.7595
25.799999	96.491	3.3455
26.200001	96.409	2.4913
26.500000	96.391	2.1636
26.900000	96.434	1.8720
27.200001	96.499	1.5345
27.600000	96.598	0.7415
28.000000	96.665	-0.4333
28.500000	96.666	-2.1461
29.000000	96.566	-3.6073
29.500000	96.398	-4.2832
30.000000	96.247	-3.8944
30.400000	96.212	-3.0666
30.700001	96.254	-2.4594
31.100000	96.375	-2.1094
31.500000	96.518	-2.4984
32.000000	96.637	-3.8641
32.500000	96.639	-5.5966
33.000000	96.530	-6.9664
33.500000	96.356	-7.5025
34.000000	96.213	-7.1722
34.500000	96.186	-6.6068
35.000000	96.250	-6.6760
35.500000	96.295	-7.6628
36.000000	96.255	-8.9205
36.500000	96.188	-9.7088
37.000000	96.210	-10.1705
37.500000	96.303	-11.1402
38.200001	96.268	-13.4586
38.700001	96.058	-14.3764
39.500000	95.904	-13.1465
40.000000	96.064	-12.6528
40.599998	96.211	-13.7148
41.200001	96.073	-15.0935
41.799999	95.841	-15.4808
42.500000	95.763	-15.9416
43.099998	95.746	-17.3945
43.700001	95.650	-18.4519
44.400002	95.622	-18.1593
45.000000	95.732	-18.0839
45.500000	95.756	-18.8525
46.200001	95.588	-19.9325
46.799999	95.493	-19.9314
47.500000	95.634	-20.3031
48.200001	95.695	-21.8553
48.700001	95.532	-22.5111
49.400002	95.234	-21.6535
50.000000	95.173	-20.9691
50.799999	95.159	-22.6973
51.500000	94.993	-24.4435
52.200001	94.961	-24.2838
53.000000	95.181	-24.1929
53.799999	95.124	-25.1763
54.500000	94.891	-25.0579
55.200001	94.873	-25.0302
56.000000	94.961	-26.7812
57.000000	94.919	-27.6783
58.000000	94.983	-27.0174
59.000000	94.744	-27.3297
60.000000	94.499	-27.4355
60.799999	94.470	-28.7274
61.500000	94.387	-29.5428
62.200001	94.351	-29.3866
63.000000	94.347	-29.9906
64.000000	94.087	-31.3889
65.000000	94.177	-30.5171
66.000000	94.550	-31.4245
67.000000	94.214	-32.4254
68.000000	93.806	-31.6460
69.000000	93.854	-33.2392
70.000000	93.907	-35.5132
71.000000	93.735	-34.8435
72.000000	93.739	-33.4415
73.000000	93.724	-35.3605
74.000000	93.472	-35.9529
75.000000	93.432	-34.8340
76.199997	93.208	-35.7127
77.500000	93.072	-36.8232
78.800003	93.128	-37.5073
80.000000	92.920	-37.8975
81.199997	92.689	-37.2832
82.500000	92.702	-37.9299
83.800003	92.501	-39.1546
85.000000	92.674	-39.2789
86.199997	92.559	-38.0649
87.500000	92.160	-37.4738
88.500000	92.083	-39.3141
90.000000	92.263	-40.8861
91.199997	92.074	-39.2999
92.500000	91.930	-40.5277
93.800003	91.928	-41.1337
95.000000	91.843	-41.1225
96.199997	91.612	-41.8749
97.500000	91.513	-40.7588
98.800003	91.588	-40.4454
100.000000	91.145	-40.2540
101.500000	91.216	-41.9672
103.000000	91.094	-43.1152
104.400002	91.037	-43.1190
106.000000	90.815	-41.4743
107.500000	90.750	-42.3815
109.000000	90.652	-43.5935
110.599998	90.487	-41.3072
112.000000	90.388	-42.0898
113.800003	90.260	-44.1951
115.000000	90.186	-43.0227
117.199997	89.904	-43.2802
118.000000	89.982	-43.9807
120.599998	89.714	-43.0693
122.000000	89.503	-42.7386
124.099998	89.351	-42.1123
125.000000	89.202	-42.7067
126.500000	89.240	-42.1321
128.000000	89.069	-42.5527
131.500000	88.802	-41.8453
132.000000	88.816	-42.1244
134.000000	88.667	-42.1504
136.000000	88.453	-42.3215
138.000000	88.728	-42.2775
140.000000	88.305	-42.5714
143.000000	87.964	-41.7757
145.000000	88.031	-42.1780
147.500000	87.350	-40.7860
150.000000	87.786	-39.9107
152.500000	87.511	-39.4693
155.000000	87.279	-40.7042
157.500000	87.274	-38.8756
160.000000	87.137	-40.3058
162.500000	86.764	-39.7051
165.000000	86.963	-39.0361
167.500000	86.886	-35.9752
170.000000	86.248	-35.4078
172.500000	86.323	-36.8308
175.000000	86.233	-34.6746
177.500000	85.878	-34.1238
180.000000	85.624	-33.4190
