* Measurement data measured by REW V5.20.4
* Source: Headset (2- USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.630
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 10 Sep, 2022 5:36:28 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Vari S2 L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	97.092	19.5571
20.600000	97.034	18.4864
20.900000	96.928	17.8273
21.200001	96.830	17.6416
21.400000	96.804	17.7271
21.799999	96.870	18.0107
22.000000	96.961	17.9779
22.400000	97.209	17.1241
22.700001	97.381	15.7395
23.000000	97.486	13.9127
23.299999	97.507	11.9766
23.600000	97.456	10.2205
24.000000	97.330	8.4916
24.299999	97.241	7.7109
24.700001	97.169	7.1765
25.000000	97.152	6.9732
25.400000	97.154	6.8413
25.799999	97.171	6.8913
26.200001	97.223	7.0646
26.500000	97.302	7.0746
26.900000	97.447	6.5927
27.200001	97.549	5.7326
27.600000	97.622	4.0629
28.000000	97.575	2.3495
28.500000	97.361	1.2105
29.000000	97.119	1.8770
29.500000	97.024	3.7791
30.000000	97.138	5.2644
30.400000	97.315	5.2112
30.700001	97.445	4.2961
31.100000	97.557	2.1366
31.500000	97.560	-0.5547
32.000000	97.403	-3.5012
32.500000	97.150	-4.8143
33.000000	96.971	-4.3680
33.500000	96.960	-3.4363
34.000000	97.031	-3.4255
34.500000	97.049	-4.3907
35.000000	97.003	-5.4483
35.500000	97.000	-5.9784
36.000000	97.094	-6.3094
36.500000	97.187	-7.0202
37.000000	97.144	-8.0261
37.500000	96.970	-8.6718
38.200001	96.876	-8.6471
38.700001	97.099	-9.0481
39.500000	97.502	-11.7715
40.000000	97.441	-12.9194
40.599998	97.129	-11.6195
41.200001	97.017	-8.9139
41.799999	97.149	-9.0850
42.500000	97.117	-13.7351
43.099998	96.849	-17.4901
43.700001	96.676	-18.3035
44.400002	96.754	-17.1370
45.000000	96.768	-16.2574
45.500000	96.630	-15.4933
46.200001	96.440	-14.7046
46.799999	96.420	-15.7798
47.500000	96.407	-19.0249
48.200001	96.347	-21.5890
48.700001	96.382	-22.0283
49.400002	96.595	-21.7696
50.000000	96.719	-21.8624
50.799999	96.562	-21.6289
51.500000	96.392	-20.4689
52.200001	96.429	-20.4829
53.000000	96.396	-22.5632
53.799999	96.177	-23.2083
54.500000	96.149	-22.3032
55.200001	96.192	-22.4642
56.000000	96.005	-23.6624
57.000000	95.709	-24.0823
58.000000	95.724	-24.3006
59.000000	95.823	-25.7961
60.000000	95.566	-27.9709
60.799999	95.212	-27.0107
61.500000	95.361	-24.9298
62.200001	95.734	-26.2883
63.000000	95.417	-30.3210
64.000000	94.763	-27.0564
65.000000	96.004	-28.7214
66.000000	95.734	-38.2034
67.000000	94.466	-30.9434
68.000000	95.107	-24.7612
69.000000	94.836	-28.4332
70.000000	94.481	-30.7158
71.000000	94.676	-32.4306
72.000000	94.875	-32.9235
73.000000	94.721	-33.1192
74.000000	94.454	-33.9554
75.000000	94.326	-35.4661
76.199997	94.716	-35.2093
77.500000	94.497	-35.0794
78.800003	94.194	-32.5864
80.000000	94.207	-36.0530
81.199997	93.824	-36.9198
82.500000	93.484	-35.2619
83.800003	93.908	-35.2214
85.000000	93.719	-37.6747
86.199997	93.586	-37.9354
87.500000	93.571	-41.0815
88.500000	93.266	-38.3991
90.000000	93.275	-38.1083
91.199997	93.227	-39.4053
92.500000	93.387	-39.8838
93.800003	92.848	-39.7889
95.000000	92.742	-39.0424
96.199997	92.577	-39.0159
97.500000	92.642	-38.9714
98.800003	92.640	-40.0067
100.000000	92.667	-40.2040
101.500000	92.256	-39.9157
103.000000	92.442	-40.4895
104.400002	92.042	-38.8214
106.000000	92.003	-41.4787
107.500000	91.890	-41.3767
109.000000	91.548	-39.4921
110.599998	91.565	-42.0190
112.000000	91.607	-42.1987
113.800003	91.361	-40.4851
115.000000	91.217	-41.5262
117.199997	91.086	-41.4233
118.000000	91.020	-42.0510
120.599998	90.905	-41.6259
122.000000	90.731	-41.7513
124.099998	90.433	-42.4357
125.000000	90.503	-42.3350
126.500000	90.435	-42.7307
128.000000	90.469	-42.0143
131.500000	89.903	-40.7991
132.000000	89.875	-39.7275
134.000000	89.916	-42.1681
136.000000	89.628	-41.2634
138.000000	89.467	-42.9446
140.000000	89.558	-39.1606
143.000000	89.304	-40.6855
145.000000	89.221	-38.7667
147.500000	88.691	-38.4531
150.000000	88.739	-38.5494
152.500000	88.438	-38.5134
155.000000	88.257	-39.5335
157.500000	88.018	-35.2637
160.000000	88.009	-37.0088
162.500000	87.949	-36.6268
165.000000	87.851	-35.0623
167.500000	87.556	-37.4441
170.000000	87.503	-35.9935
172.500000	87.582	-39.2360
175.000000	87.208	-33.1504
177.500000	87.797	-36.3081
180.000000	87.394	-33.9807
182.500000	87.435	-34.0441
185.000000	87.184	-31.1262
187.500000	86.581	-31.8736
190.000000	87.133	-31.0438
192.500000	86.856	-30.3211
195.000000	86.803	-29.9063
197.500000	86.723	-28.7774
200.000000	86.537	-27.9322
203.000000	86.578	-28.5625
206.000000	86.325	-27.8328
209.000000	86.145	-22.8614
212.000000	86.451	-27.4403
214.000000	86.155	-23.1153
218.000000	86.193	-23.1377
220.000000	86.200	-23.4967
224.000000	86.157	-21.8088
227.000000	85.900	-20.1490
230.000000	86.187	-19.3994
233.000000	85.912	-19.4398
236.000000	85.935	-21.0090
240.000000	86.011	-18.6239
243.000000	85.660	-18.2269
247.000000	85.718	-15.4113
250.000000	85.838	-16.8992
254.000000	85.800	-14.7335
258.000000	85.739	-15.3371
262.000000	85.677	-13.0535
265.000000	85.804	-12.3479
269.000000	85.669	-11.2558
272.000000	85.960	-10.8666
276.000000	85.787	-11.3578
280.000000	85.609	-9.9984
285.000000	85.510	-8.4682
290.000000	85.672	-7.1447
295.000000	85.672	-4.9939
300.000000	85.863	-8.4317
304.000000	85.781	-5.9123
307.000000	85.765	-5.3304
311.000000	85.626	-4.6564
315.000000	85.974	-3.2789
320.000000	86.155	-3.4374
325.000000	85.898	-3.0540
330.000000	85.682	0.0867
335.000000	85.812	-0.2625
340.000000	85.693	1.8042
345.000000	85.656	1.9955
350.000000	85.908	0.9481
355.000000	86.211	2.5024
360.000000	85.517	3.1855
365.000000	86.115	4.2474
370.000000	85.938	7.5939
375.000000	86.119	-0.3539
382.000000	85.888	2.1683
387.000000	86.039	6.7602
395.000000	86.105	5.8101
400.000000	86.282	6.6031
406.000000	86.519	5.2636
412.000000	86.260	5.5413
418.000000	86.654	6.9225
425.000000	86.297	7.8426
431.000000	86.385	7.8563
437.000000	86.448	7.4774
444.000000	86.365	8.0975
450.000000	86.477	9.0828
455.000000	86.604	9.8092
462.000000	86.564	9.0036
468.000000	86.623	10.5452
475.000000	86.713	10.4186
482.000000	86.652	11.3692
487.000000	86.715	11.0243
494.000000	86.684	12.4802
500.000000	86.649	12.4236
508.000000	86.630	12.8560
515.000000	86.718	12.0947
522.000000	86.599	12.7831
530.000000	86.731	14.1515
538.000000	86.805	15.2202
545.000000	86.690	14.7669
552.000000	86.834	13.9422
560.000000	86.773	15.0155
570.000000	86.988	16.3065
580.000000	86.936	16.6167
590.000000	86.914	16.6325
600.000000	87.084	17.9699
608.000000	86.966	18.2263
615.000000	86.992	17.9317
622.000000	87.145	18.7225
630.000000	86.906	18.2236
640.000000	86.989	17.0939
650.000000	87.225	19.5540
660.000000	87.131	20.8008
670.000000	87.223	21.6660
680.000000	87.166	22.6130
690.000000	87.060	22.2084
700.000000	87.205	22.7956
710.000000	87.281	23.8140
720.000000	87.314	23.8319
730.000000	87.284	24.6553
740.000000	87.337	25.3421
750.000000	87.324	25.9389
762.000000	87.402	26.5585
775.000000	87.504	27.1439
788.000000	87.559	27.6909
800.000000	87.569	28.2818
812.000000	87.605	28.7927
825.000000	87.636	29.7575
838.000000	87.680	30.3084
850.000000	87.783	31.3273
862.000000	87.820	32.0423
875.000000	87.976	32.4963
885.000000	87.927	33.5883
900.000000	88.056	33.4829
