* Measurement data measured by REW V5.20.4
* Source: Headset (2- USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.630
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 10 Sep, 2022 5:33:44 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Vari S2 R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	96.310	18.8771
20.600000	96.357	18.5016
20.900000	96.378	18.0018
21.200001	96.416	17.4571
21.400000	96.461	17.0329
21.799999	96.593	15.9547
22.000000	96.667	15.2786
22.400000	96.794	13.6825
22.700001	96.846	12.3717
23.000000	96.851	11.0633
23.299999	96.812	9.8071
23.600000	96.738	8.6247
24.000000	96.610	7.1962
24.299999	96.514	6.2791
24.700001	96.419	5.3257
25.000000	96.394	4.8118
25.400000	96.436	4.2889
25.799999	96.533	3.7555
26.200001	96.619	3.1257
26.500000	96.642	2.6713
26.900000	96.604	2.2660
27.200001	96.544	2.1827
27.600000	96.472	2.2700
28.000000	96.444	2.2409
28.500000	96.449	1.5821
29.000000	96.425	0.3726
29.500000	96.349	-0.7290
30.000000	96.296	-1.3366
30.400000	96.323	-1.7088
30.700001	96.381	-2.1484
31.100000	96.474	-3.0995
31.500000	96.544	-4.3659
32.000000	96.566	-5.9276
32.500000	96.529	-6.9107
33.000000	96.492	-7.1233
33.500000	96.497	-6.9292
34.000000	96.536	-6.9805
34.500000	96.551	-7.6416
35.000000	96.489	-8.6964
35.500000	96.376	-9.5978
36.000000	96.302	-10.0883
36.500000	96.319	-10.4681
37.000000	96.377	-11.1303
37.500000	96.379	-11.9276
38.200001	96.250	-12.2462
38.700001	96.152	-11.7292
39.500000	96.087	-11.3097
40.000000	96.025	-11.9784
40.599998	95.898	-13.4100
41.200001	95.815	-14.9008
41.799999	95.853	-16.1562
42.500000	95.976	-17.1108
43.099998	96.019	-17.3043
43.700001	95.954	-17.0976
44.400002	95.768	-17.0585
45.000000	95.576	-17.5647
45.500000	95.467	-18.1274
46.200001	95.511	-18.7387
46.799999	95.702	-19.3953
47.500000	95.821	-20.6169
48.200001	95.658	-21.3173
48.700001	95.494	-21.0554
49.400002	95.444	-20.6509
50.000000	95.512	-21.3736
50.799999	95.480	-23.0138
51.500000	95.326	-23.5557
52.200001	95.215	-23.3736
53.000000	95.212	-23.6325
53.799999	95.180	-24.6814
54.500000	95.038	-24.9129
55.200001	94.967	-24.2809
56.000000	95.012	-25.0148
57.000000	94.855	-27.3576
58.000000	94.919	-26.7966
59.000000	95.050	-26.6267
60.000000	94.655	-26.2840
60.799999	94.489	-26.6721
61.500000	94.530	-28.2470
62.200001	94.634	-29.5394
63.000000	94.691	-30.5974
