* Measurement data measured by REW V5.20.4
* Source: Headset (2- USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.630
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 10 Sep, 2022 2:58:30 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Vari L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	100.059	-167.5468
20.600000	99.991	-168.4163
20.900000	99.906	-169.0886
21.200001	99.846	-169.6270
21.400000	99.835	-169.9719
21.799999	99.881	-170.7676
22.000000	99.929	-171.2650
22.400000	100.037	-172.4497
22.700001	100.100	-173.3579
23.000000	100.135	-174.1052
23.299999	100.148	-174.6102
23.600000	100.154	-174.9180
24.000000	100.165	-175.2386
24.299999	100.170	-175.6265
24.700001	100.150	-176.4843
25.000000	100.104	-177.3164
25.400000	100.009	-178.4390
25.799999	99.922	-179.3163
26.200001	99.892	-179.9054
26.500000	99.913	179.7372
26.900000	99.969	179.2418
27.200001	100.000	178.8478
27.600000	99.998	178.3915
28.000000	99.945	178.1362
28.500000	99.853	178.0310
29.000000	99.783	177.7485
29.500000	99.741	176.9750
30.000000	99.708	175.8398
30.400000	99.687	174.9169
30.700001	99.674	174.3020
31.100000	99.659	173.6085
31.500000	99.637	173.0399
32.000000	99.592	172.4702
32.500000	99.545	171.9991
33.000000	99.527	171.4861
33.500000	99.542	170.8085
34.000000	99.571	170.0236
34.500000	99.591	169.3468
35.000000	99.589	168.9104
35.500000	99.566	168.6302
36.000000	99.522	168.2942
36.500000	99.456	167.7568
37.000000	99.374	167.0320
37.500000	99.293	166.2725
38.200001	99.227	165.4635
38.700001	99.238	165.0308
39.500000	99.281	163.9390
40.000000	99.217	163.0443
40.599998	99.014	162.5018
41.200001	98.837	162.9829
41.799999	98.848	163.4006
42.500000	98.957	162.1932
43.099998	98.907	160.6608
43.700001	98.798	160.4309
44.400002	98.836	161.1836
45.000000	98.870	160.7648
45.500000	98.693	159.9065
46.200001	98.304	159.9653
46.799999	98.337	160.8459
47.500000	98.797	159.5128
48.200001	99.018	156.6342
48.700001	98.904	155.7887
49.400002	98.672	156.6999
50.000000	98.548	157.0364
50.799999	98.298	155.7036
51.500000	98.137	154.9866
52.200001	98.230	154.7698
53.000000	98.314	154.1417
53.799999	98.170	154.0638
54.500000	98.064	154.1663
55.200001	98.023	153.6586
56.000000	97.978	152.9269
57.000000	97.888	152.5055
58.000000	97.793	152.3520
59.000000	97.732	151.6959
60.000000	97.587	151.0250
60.799999	97.499	150.4957
