* Measurement data measured by REW V5.20.4
* Source: Headset (2- USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.630
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 10 Sep, 2022 2:55:14 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Vari R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	100.205	-169.3360
20.600000	100.247	-169.7944
20.900000	100.274	-170.4588
21.200001	100.275	-171.2773
21.400000	100.263	-171.8387
21.799999	100.229	-172.8950
22.000000	100.215	-173.3576
22.400000	100.219	-174.1673
22.700001	100.252	-174.7624
23.000000	100.301	-175.4325
23.299999	100.346	-176.1854
23.600000	100.372	-176.9687
24.000000	100.369	-177.9374
24.299999	100.345	-178.5346
24.700001	100.307	-179.1767
25.000000	100.284	-179.6308
25.400000	100.258	179.6851
25.799999	100.218	178.9290
26.200001	100.155	178.3024
26.500000	100.105	178.0473
26.900000	100.061	178.0083
27.200001	100.059	178.0651
27.600000	100.097	177.9654
28.000000	100.137	177.4169
28.500000	100.116	176.1575
29.000000	99.997	174.7794
29.500000	99.850	173.7541
30.000000	99.767	173.1143
30.400000	99.771	172.6775
30.700001	99.799	172.3132
31.100000	99.838	171.7969
31.500000	99.859	171.3478
32.000000	99.853	171.0212
32.500000	99.842	170.8625
33.000000	99.840	170.4857
33.500000	99.812	169.6219
34.000000	99.722	168.4955
34.500000	99.597	167.6833
35.000000	99.518	167.4390
35.500000	99.546	167.3251
36.000000	99.619	166.7938
36.500000	99.637	165.9622
37.000000	99.592	165.3713
37.500000	99.565	165.0865
38.200001	99.559	164.2340
38.700001	99.453	163.3420
39.500000	99.169	163.5767
40.000000	99.163	164.3211
40.599998	99.291	163.7824
41.200001	99.254	162.0025
41.799999	99.091	161.1898
42.500000	99.148	161.2916
43.099998	99.282	159.8235
43.700001	99.101	157.8585
44.400002	98.699	158.1500
45.000000	98.714	159.6518
45.500000	98.913	159.4810
46.200001	99.010	157.8212
46.799999	98.899	157.4541
47.500000	98.819	158.0726
48.200001	98.708	158.0888
48.700001	98.566	157.9507
49.400002	98.466	157.6106
50.000000	98.498	156.3530
50.799999	98.481	154.3165
51.500000	98.470	153.8728
52.200001	98.525	153.6631
53.000000	98.394	152.9223
53.799999	98.151	153.0289
54.500000	98.140	152.9390
55.200001	98.175	151.7373
56.000000	98.030	150.8084
57.000000	97.815	151.6766
58.000000	97.762	151.4698
59.000000	97.707	149.8217
60.000000	97.693	149.6475
60.799999	97.761	150.0530
61.500000	97.693	149.6953
62.200001	97.448	149.3831
63.000000	97.267	149.6447
64.000000	97.298	148.8134
65.000000	97.224	148.3142
66.000000	97.271	148.2118
67.000000	97.112	147.1723
68.000000	96.988	147.4002
69.000000	96.943	146.3112
70.000000	96.797	146.3518
71.000000	96.861	146.3073
72.000000	96.706	145.9670
73.000000	96.613	146.3828
74.000000	96.562	146.0048
75.000000	96.578	145.8465
