* Measurement data measured by REW V5.20.4
* Source: Headset (2- USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 14 Jan, 2023 8:08:20 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Yume 2 L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	93.076	-145.5860
20.299999	93.139	-146.4545
20.600000	93.201	-147.3566
20.900000	93.260	-148.2923
21.200001	93.312	-149.2467
21.400000	93.342	-149.8787
21.799999	93.392	-151.1057
22.000000	93.413	-151.6889
22.400000	93.453	-152.7833
22.700001	93.484	-153.5510
23.000000	93.520	-154.2942
23.299999	93.559	-155.0364
23.600000	93.600	-155.7938
24.000000	93.655	-156.8395
24.299999	93.692	-157.6440
24.700001	93.731	-158.7187
25.000000	93.754	-159.5042
25.400000	93.779	-160.5016
25.799999	93.801	-161.4354
26.200001	93.825	-162.3190
26.500000	93.845	-162.9638
26.900000	93.873	-163.8171
27.200001	93.892	-164.4602
27.600000	93.917	-165.3246
28.000000	93.941	-166.1936
28.500000	93.967	-167.2778
29.000000	93.991	-168.3539
29.500000	94.011	-169.4201
30.000000	94.027	-170.4728
30.400000	94.040	-171.3002
30.700001	94.048	-171.9087
31.100000	94.058	-172.6997
31.500000	94.067	-173.4659
32.000000	94.079	-174.3943
32.500000	94.094	-175.3062
33.000000	94.110	-176.2189
33.500000	94.120	-177.1339
34.000000	94.127	-178.0371
34.500000	94.135	-178.9151
35.000000	94.143	-179.7697
35.500000	94.150	179.3883
36.000000	94.155	178.5557
36.500000	94.158	177.7390
37.000000	94.160	176.9409
37.500000	94.163	176.1528
38.200001	94.164	175.0475
38.700001	94.157	174.2594
39.500000	94.143	173.0251
40.000000	94.132	172.2737
40.599998	94.119	171.3892
41.200001	94.106	170.5179
41.799999	94.092	169.6530
42.500000	94.074	168.6554
43.099998	94.057	167.8307
43.700001	94.042	167.0369
44.400002	94.028	166.1174
45.000000	94.016	165.3200
45.500000	94.004	164.6624
46.200001	93.987	163.7640
46.799999	93.974	162.9958
47.500000	93.954	162.0918
48.200001	93.928	161.2345
48.700001	93.911	160.6706
49.400002	93.901	159.8818
50.000000	93.895	159.1157
50.799999	93.863	158.0097
51.500000	93.811	157.1837
52.200001	93.771	156.5506
53.000000	93.760	155.7911
53.799999	93.746	154.8273
54.500000	93.710	153.9845
55.200001	93.672	153.2449
56.000000	93.637	152.4185
57.000000	93.590	151.3575
58.000000	93.541	150.3717
59.000000	93.497	149.3744
60.000000	93.444	148.4188
60.799999	93.413	147.6617
61.500000	93.384	146.9634
62.200001	93.350	146.2682
63.000000	93.307	145.4985
64.000000	93.251	144.6136
65.000000	93.210	143.7852
66.000000	93.170	142.8597
67.000000	93.119	142.0253
68.000000	93.083	141.2200
69.000000	93.040	140.3386
70.000000	92.988	139.5114
71.000000	92.938	138.7354
72.000000	92.895	137.9656
73.000000	92.849	137.1163
74.000000	92.787	136.3257
75.000000	92.738	135.6385
76.199997	92.685	134.7151
77.500000	92.622	133.7947
78.800003	92.564	132.8180
80.000000	92.502	131.9990
81.199997	92.449	131.1508
82.500000	92.383	130.2717
83.800003	92.320	129.4013
85.000000	92.265	128.6433
86.199997	92.209	127.8298
87.500000	92.143	127.0285
88.500000	92.097	126.4102
90.000000	92.025	125.4872
91.199997	91.969	124.7661
92.500000	91.907	123.9849
93.800003	91.847	123.2407
95.000000	91.794	122.5320
96.199997	91.736	121.8507
97.500000	91.678	121.1464
98.800003	91.620	120.4108
100.000000	91.562	119.7788
101.500000	91.497	118.9854
103.000000	91.432	118.1964
104.400002	91.367	117.4743
106.000000	91.300	116.6686
107.500000	91.232	115.9491
109.000000	91.169	115.2188
110.599998	91.105	114.4339
112.000000	91.041	113.7434
113.800003	90.965	112.8875
115.000000	90.903	112.3597
117.199997	90.821	111.4375
118.000000	90.788	111.1047
120.599998	90.677	109.9142
122.000000	90.639	109.3390
124.099998	90.551	108.4344
125.000000	90.521	108.0720
126.500000	90.460	107.4656
128.000000	90.408	106.8906
131.500000	90.277	105.5160
132.000000	90.260	105.3115
134.000000	90.184	104.5674
136.000000	90.115	103.8318
138.000000	90.044	103.1073
140.000000	89.975	102.3898
143.000000	89.873	101.3480
145.000000	89.804	100.6977
147.500000	89.717	99.9387
150.000000	89.648	99.0341
152.500000	89.564	98.2085
155.000000	89.477	97.4505
157.500000	89.391	96.6846
160.000000	89.308	95.9443
162.500000	89.236	95.2000
165.000000	89.159	94.4973
167.500000	89.085	93.7968
170.000000	89.007	93.1000
172.500000	88.938	92.4193
175.000000	88.870	91.7842
177.500000	88.809	91.1226
180.000000	88.744	90.5062
182.500000	88.674	89.9012
185.000000	88.615	89.2608
187.500000	88.549	88.6584
190.000000	88.494	88.0747
192.500000	88.436	87.4916
195.000000	88.384	86.9697
197.500000	88.328	86.4095
200.000000	88.279	85.8868
203.000000	88.210	85.2673
206.000000	88.154	84.6612
209.000000	88.097	84.0789
212.000000	88.037	83.4892
214.000000	87.998	83.1036
218.000000	87.915	82.3873
220.000000	87.875	82.0568
224.000000	87.793	81.3807
227.000000	87.735	80.8921
230.000000	87.668	80.4802
233.000000	87.611	79.9243
236.000000	87.565	79.5878
240.000000	87.474	79.1290
243.000000	87.423	78.8537
247.000000	87.361	78.5987
250.000000	87.324	78.4707
254.000000	87.322	78.4453
258.000000	87.367	78.3096
262.000000	87.454	77.8036
265.000000	87.521	77.0309
269.000000	87.540	75.9366
272.000000	87.512	75.0237
276.000000	87.462	74.0196
280.000000	87.396	73.2095
285.000000	87.312	72.2954
290.000000	87.236	71.5911
295.000000	87.161	70.8726
300.000000	87.091	70.2346
304.000000	87.041	69.8080
307.000000	87.006	69.4628
311.000000	86.956	69.0511
315.000000	86.913	68.6240
320.000000	86.862	68.1169
325.000000	86.812	67.6371
330.000000	86.760	67.1694
335.000000	86.716	66.7213
340.000000	86.678	66.2880
345.000000	86.636	65.8469
350.000000	86.596	65.3890
355.000000	86.559	65.0686
360.000000	86.522	64.7158
365.000000	86.494	64.4081
370.000000	86.462	64.0992
375.000000	86.440	63.7772
382.000000	86.415	63.3380
387.000000	86.396	62.9794
395.000000	86.357	62.3578
400.000000	86.330	61.9669
406.000000	86.282	61.5641
412.000000	86.235	61.1238
418.000000	86.182	60.8304
425.000000	86.122	60.4852
431.000000	86.060	60.2802
437.000000	86.002	60.1714
444.000000	85.948	60.1785
450.000000	85.913	60.2077
