* Measurement data measured by REW V5.20.4
* Source: Headset (2- USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 14 Jan, 2023 8:06:36 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Yume 2 R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	94.440	-152.9521
20.299999	94.467	-153.9857
20.600000	94.484	-154.8990
20.900000	94.504	-155.6908
21.200001	94.536	-156.4196
21.400000	94.564	-156.9162
21.799999	94.626	-157.9759
22.000000	94.655	-158.5420
22.400000	94.699	-159.7007
22.700001	94.720	-160.5338
23.000000	94.739	-161.3029
23.299999	94.761	-162.0276
23.600000	94.788	-162.7456
24.000000	94.829	-163.7453
24.299999	94.855	-164.5326
24.700001	94.877	-165.5825
25.000000	94.884	-166.3187
25.400000	94.892	-167.1939
25.799999	94.910	-167.9764
26.200001	94.943	-168.7464
26.500000	94.974	-169.3598
26.900000	95.016	-170.2489
27.200001	95.042	-170.9647
27.600000	95.067	-171.9628
28.000000	95.079	-172.9729
28.500000	95.073	-174.1733
29.000000	95.057	-175.2191
29.500000	95.050	-176.1177
30.000000	95.065	-177.0053
30.400000	95.085	-177.7962
30.700001	95.096	-178.4381
31.100000	95.098	-179.3035
31.500000	95.088	179.8829
32.000000	95.074	178.9738
32.500000	95.068	178.1293
33.000000	95.065	177.3003
33.500000	95.059	176.5146
34.000000	95.064	175.7769
34.500000	95.089	174.9810
35.000000	95.111	174.0351
35.500000	95.104	173.0272
36.000000	95.069	172.1766
36.500000	95.038	171.5845
37.000000	95.042	171.0917
37.500000	95.075	170.4477
38.200001	95.101	169.1906
38.700001	95.076	168.2583
39.500000	95.013	167.0931
40.000000	94.991	166.4903
40.599998	94.984	165.6964
41.200001	94.975	164.7464
41.799999	94.945	163.7202
42.500000	94.884	162.6089
43.099998	94.827	161.8196
43.700001	94.781	161.1519
44.400002	94.750	160.4369
45.000000	94.742	159.8093
45.500000	94.743	159.2253
46.200001	94.743	158.2835
46.799999	94.724	157.4358
47.500000	94.687	156.5470
48.200001	94.653	155.7632
48.700001	94.633	155.2090
49.400002	94.603	154.4143
50.000000	94.574	153.7345
50.799999	94.527	152.8546
51.500000	94.485	152.1481
52.200001	94.454	151.4745
53.000000	94.428	150.6192
53.799999	94.392	149.6968
54.500000	94.355	148.9067
55.200001	94.316	148.1057
56.000000	94.262	147.2166
57.000000	94.196	146.1961
58.000000	94.127	145.2073
59.000000	94.065	144.3651
60.000000	94.018	143.4206
60.799999	93.967	142.6425
61.500000	93.924	142.0373
62.200001	93.886	141.4116
63.000000	93.833	140.6903
64.000000	93.770	139.9331
65.000000	93.730	139.1047
66.000000	93.672	138.2325
67.000000	93.627	137.4644
68.000000	93.576	136.5045
69.000000	93.490	135.7896
70.000000	93.457	135.1709
71.000000	93.399	134.2472
72.000000	93.321	133.6656
73.000000	93.288	132.9787
74.000000	93.217	132.1665
75.000000	93.157	131.5899
76.199997	93.103	130.6926
77.500000	93.022	129.7801
78.800003	92.954	128.9056
80.000000	92.888	128.1032
81.199997	92.821	127.3587
82.500000	92.755	126.5217
83.800003	92.673	125.7087
85.000000	92.607	125.0229
86.199997	92.543	124.3164
87.500000	92.477	123.5309
88.500000	92.422	122.9303
90.000000	92.342	122.0599
91.199997	92.272	121.3838
92.500000	92.204	120.7476
93.800003	92.150	120.0142
95.000000	92.079	119.3037
96.199997	92.008	118.7316
97.500000	91.947	118.1165
98.800003	91.888	117.4385
100.000000	91.832	116.8082
101.500000	91.753	116.0046
103.000000	91.671	115.3047
104.400002	91.604	114.7424
106.000000	91.541	113.9922
107.500000	91.469	113.2554
109.000000	91.387	112.5912
110.599998	91.299	111.8355
112.000000	91.230	111.3472
113.800003	91.156	110.5848
115.000000	91.107	110.0462
117.199997	91.014	109.1134
118.000000	90.973	108.7362
120.599998	90.840	107.7360
122.000000	90.792	107.2439
124.099998	90.696	106.4212
125.000000	90.662	106.0640
126.500000	90.592	105.5412
128.000000	90.536	104.9719
131.500000	90.387	103.7401
132.000000	90.367	103.5782
134.000000	90.289	102.8780
136.000000	90.210	102.2215
138.000000	90.133	101.5869
140.000000	90.052	100.9366
143.000000	89.944	99.9819
145.000000	89.871	99.3472
147.500000	89.782	98.6027
150.000000	89.706	97.8503
152.500000	89.617	97.0510
155.000000	89.535	96.3537
157.500000	89.449	95.6973
160.000000	89.360	95.0157
162.500000	89.279	94.3347
165.000000	89.195	93.6685
167.500000	89.115	93.0465
170.000000	89.038	92.4291
172.500000	88.964	91.8470
175.000000	88.894	91.2302
177.500000	88.819	90.5786
180.000000	88.758	90.0511
182.500000	88.692	89.4687
185.000000	88.624	88.9031
187.500000	88.563	88.3565
190.000000	88.498	87.8108
192.500000	88.444	87.3100
195.000000	88.381	86.8084
197.500000	88.325	86.2738
200.000000	88.275	85.7602
203.000000	88.212	85.1991
206.000000	88.140	84.6721
209.000000	88.086	84.0703
212.000000	88.030	83.5374
214.000000	87.990	83.2661
218.000000	87.905	82.5079
220.000000	87.863	82.1609
224.000000	87.785	81.4825
227.000000	87.729	81.0166
230.000000	87.676	80.5401
233.000000	87.618	80.0241
236.000000	87.566	79.6169
240.000000	87.492	79.0127
243.000000	87.444	78.5963
247.000000	87.379	78.0354
250.000000	87.325	77.6008
254.000000	87.275	77.0957
258.000000	87.218	76.6142
262.000000	87.165	76.1044
265.000000	87.127	75.7513
269.000000	87.070	75.3022
272.000000	87.022	74.9628
276.000000	86.971	74.5186
280.000000	86.915	74.1680
285.000000	86.853	73.6848
290.000000	86.790	73.2618
295.000000	86.732	72.9371
300.000000	86.679	72.6388
304.000000	86.650	72.4273
