* Measurement data measured by REW V5.20.4
* Source: Headset (2- USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 21 Oct, 2022 12:08:59 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: CC L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	91.099	43.5708
20.600000	91.126	42.9029
20.900000	91.147	42.2221
21.200001	91.167	41.4224
21.400000	91.182	40.8256
21.799999	91.218	39.5348
22.000000	91.240	38.8780
22.400000	91.299	37.6233
22.700001	91.359	36.7668
23.000000	91.429	35.9784
23.299999	91.500	35.2297
23.600000	91.561	34.5040
24.000000	91.613	33.5748
24.299999	91.626	32.9342
24.700001	91.616	32.1897
25.000000	91.606	31.7024
25.400000	91.608	31.0724
25.799999	91.637	30.3459
26.200001	91.682	29.4711
26.500000	91.712	28.7649
26.900000	91.734	27.8708
27.200001	91.737	27.3056
27.600000	91.734	26.7057
28.000000	91.735	26.1734
28.500000	91.739	25.3636
29.000000	91.731	24.2860
29.500000	91.707	23.1046
30.000000	91.694	22.0620
30.400000	91.710	21.3745
30.700001	91.736	20.9148
31.100000	91.773	20.3373
31.500000	91.796	19.8054
32.000000	91.793	19.2616
32.500000	91.772	18.8529
33.000000	91.762	18.4223
33.500000	91.763	17.7994
34.000000	91.760	17.0009
34.500000	91.745	16.2327
35.000000	91.720	15.6516
35.500000	91.701	15.2101
36.000000	91.686	14.7323
36.500000	91.664	14.1312
37.000000	91.633	13.4786
37.500000	91.611	12.8772
38.200001	91.620	12.1182
38.700001	91.633	11.5697
39.500000	91.607	10.7847
40.000000	91.564	10.4395
40.599998	91.518	10.0779
41.200001	91.495	9.5889
41.799999	91.481	8.9736
42.500000	91.460	8.3013
43.099998	91.434	7.8556
43.700001	91.401	7.4715
44.400002	91.363	7.0109
45.000000	91.340	6.5921
45.500000	91.331	6.2594
46.200001	91.326	5.8545
46.799999	91.316	5.5231
47.500000	91.277	5.1031
48.200001	91.222	4.7359
48.700001	91.200	4.5125
49.400002	91.200	4.0925
50.000000	91.186	3.6249
50.799999	91.110	3.2475
51.500000	91.053	3.2056
52.200001	91.033	2.9947
53.000000	91.003	2.4990
53.799999	90.953	2.1801
54.500000	90.918	1.9751
55.200001	90.880	1.6558
56.000000	90.835	1.2432
57.000000	90.796	0.7502
58.000000	90.744	0.3919
59.000000	90.696	0.1857
60.000000	90.661	-0.1381
60.799999	90.623	-0.3583
61.500000	90.584	-0.4309
62.200001	90.551	-0.5005
63.000000	90.513	-0.6542
64.000000	90.481	-0.7852
65.000000	90.471	-1.1007
66.000000	90.406	-1.5730
67.000000	90.350	-1.7186
68.000000	90.325	-1.7848
69.000000	90.277	-1.7905
70.000000	90.225	-1.9835
71.000000	90.181	-2.2539
72.000000	90.169	-2.3363
73.000000	90.136	-2.3198
74.000000	90.082	-2.3415
75.000000	90.043	-2.5589
76.199997	90.018	-2.7315
77.500000	89.979	-2.7426
78.800003	89.921	-2.8839
80.000000	89.878	-3.0119
81.199997	89.845	-2.9934
82.500000	89.808	-3.0852
83.800003	89.773	-3.2406
85.000000	89.742	-3.2373
86.199997	89.697	-3.2166
87.500000	89.657	-3.2908
88.500000	89.631	-3.3501
90.000000	89.597	-3.3214
91.199997	89.562	-3.3212
92.500000	89.524	-3.3137
93.800003	89.494	-3.3368
95.000000	89.461	-3.3335
96.199997	89.437	-3.3057
97.500000	89.404	-3.2726
98.800003	89.370	-3.3001
100.000000	89.324	-3.3829
101.500000	89.317	-3.2507
103.000000	89.275	-3.1690
104.400002	89.258	-3.3944
106.000000	89.290	-3.0516
107.500000	89.215	-3.1038
109.000000	89.168	-3.0269
110.599998	89.133	-2.8743
112.000000	89.096	-2.9395
113.800003	89.090	-2.8028
115.000000	89.059	-2.7529
117.199997	89.004	-2.7476
118.000000	88.990	-2.6597
120.599998	88.954	-2.5362
122.000000	88.946	-2.3861
124.099998	88.899	-2.3283
125.000000	88.882	-2.2549
126.500000	88.862	-2.1576
128.000000	88.870	-2.0320
131.500000	88.794	-2.1840
132.000000	88.793	-1.8765
134.000000	88.766	-1.6975
136.000000	88.750	-1.6848
138.000000	88.726	-1.4624
140.000000	88.705	-1.3293
143.000000	88.671	-1.1285
145.000000	88.651	-0.9914
147.500000	88.624	-0.8806
150.000000	88.616	-0.5352
152.500000	88.567	-0.5169
155.000000	88.548	-0.2583
157.500000	88.516	-0.2074
160.000000	88.477	0.1557
162.500000	88.470	0.1747
165.000000	88.436	0.3141
167.500000	88.419	0.5419
170.000000	88.385	0.7616
172.500000	88.368	0.8507
175.000000	88.339	1.1022
177.500000	88.339	1.2483
180.000000	88.311	1.3835
182.500000	88.297	1.6453
185.000000	88.293	1.8496
187.500000	88.259	1.9894
190.000000	88.259	2.1250
192.500000	88.257	2.3229
195.000000	88.238	2.5422
197.500000	88.231	2.6593
200.000000	88.250	2.7711
203.000000	88.213	3.0804
206.000000	88.197	3.3129
209.000000	88.199	3.4560
212.000000	88.165	3.7053
214.000000	88.171	3.8447
218.000000	88.163	4.0505
220.000000	88.150	4.2599
224.000000	88.139	4.5113
227.000000	88.129	4.7244
230.000000	88.119	4.8744
233.000000	88.107	5.0676
236.000000	88.088	5.2903
240.000000	88.071	5.6341
243.000000	88.060	5.8486
247.000000	88.056	6.0731
250.000000	88.054	6.4623
254.000000	88.039	6.5191
258.000000	88.030	6.8334
262.000000	88.014	7.0835
265.000000	88.012	7.2621
269.000000	88.004	7.5067
272.000000	87.993	7.6788
276.000000	87.984	7.9420
280.000000	87.970	8.2224
285.000000	87.953	8.5461
290.000000	87.936	8.8538
295.000000	87.926	9.1678
300.000000	87.921	9.4886
304.000000	87.899	9.7124
307.000000	87.889	9.8672
311.000000	87.876	10.1526
315.000000	87.861	10.3753
320.000000	87.843	10.6965
325.000000	87.819	10.9832
330.000000	87.802	11.2933
335.000000	87.781	11.5815
340.000000	87.759	11.8781
345.000000	87.736	12.1921
350.000000	87.729	12.5531
355.000000	87.694	12.8070
360.000000	87.669	13.1623
365.000000	87.642	13.4796
370.000000	87.615	13.8138
375.000000	87.592	14.1796
382.000000	87.550	14.7262
387.000000	87.521	15.1045
395.000000	87.479	15.7725
400.000000	87.459	16.2722
406.000000	87.426	16.8296
412.000000	87.400	17.3823
418.000000	87.377	17.9941
425.000000	87.355	18.6942
431.000000	87.341	19.2676
437.000000	87.334	19.8830
444.000000	87.322	20.6160
450.000000	87.330	21.1785
455.000000	87.325	21.6792
462.000000	87.328	22.3291
468.000000	87.327	22.8790
475.000000	87.337	23.4982
482.000000	87.341	24.0795
487.000000	87.350	24.5077
494.000000	87.356	25.0777
500.000000	87.365	25.6233
508.000000	87.378	26.2368
515.000000	87.386	26.7742
522.000000	87.396	27.3241
530.000000	87.409	27.9427
538.000000	87.422	28.5687
545.000000	87.428	29.0665
552.000000	87.435	29.6460
560.000000	87.446	30.2098
570.000000	87.451	30.9833
580.000000	87.462	31.7319
590.000000	87.478	32.4843
600.000000	87.489	33.2822
608.000000	87.495	33.8771
615.000000	87.502	34.3650
622.000000	87.506	34.9239
630.000000	87.512	35.5645
640.000000	87.520	36.3267
650.000000	87.527	37.0943
660.000000	87.544	37.8465
670.000000	87.548	38.6107
680.000000	87.568	39.3566
690.000000	87.576	40.1858
700.000000	87.583	40.9496
710.000000	87.604	41.7693
720.000000	87.610	42.5627
730.000000	87.630	43.3124
740.000000	87.647	44.1191
750.000000	87.663	44.9364
762.000000	87.691	45.8446
775.000000	87.714	46.8240
788.000000	87.751	47.8873
800.000000	87.774	48.8603
812.000000	87.813	49.7796
825.000000	87.848	50.7938
838.000000	87.891	51.7639
850.000000	87.938	52.7250
862.000000	87.978	53.5093
875.000000	88.030	54.5121
885.000000	88.073	55.2021
900.000000	88.142	56.2289
912.000000	88.192	57.0695
925.000000	88.260	57.9626
938.000000	88.322	58.7854
950.000000	88.387	59.5211
962.000000	88.444	60.2600
975.000000	88.523	60.9807
988.000000	88.596	61.7336
1000.000000	88.666	62.3350
1015.000000	88.752	63.1222
1030.000000	88.841	63.8358
1044.000000	88.918	64.4749
1060.000000	89.001	65.1671
1075.000000	89.079	65.8004
1090.000000	89.137	66.3648
1106.000000	89.195	66.9349
1120.000000	89.241	67.4486
1138.000000	89.294	68.0880
1150.000000	89.326	68.4689
1172.000000	89.376	69.1981
1180.000000	89.391	69.4547
1206.000000	89.434	70.2999
1220.000000	89.472	70.7734
1241.000000	89.541	71.4554
1250.000000	89.561	71.7611
1265.000000	89.602	72.3066
1280.000000	89.639	72.8193
1315.000000	89.708	74.1636
1320.000000	89.717	74.3673
1340.000000	89.748	75.2192
1360.000000	89.817	76.0946
1380.000000	89.855	77.0388
1400.000000	89.888	78.0278
1430.000000	89.935	79.6111
1450.000000	89.968	80.7313
1475.000000	90.012	82.1895
1500.000000	90.061	83.7490
1525.000000	90.121	85.3370
1550.000000	90.161	86.9985
1575.000000	90.219	88.7123
1600.000000	90.283	90.4474
1625.000000	90.359	92.2070
1650.000000	90.455	93.9771
1675.000000	90.559	95.7219
1700.000000	90.682	97.4695
1725.000000	90.818	99.1938
1750.000000	90.970	100.8320
1775.000000	91.128	102.4495
1800.000000	91.298	103.9861
1825.000000	91.478	105.4879
1850.000000	91.665	106.8783
1875.000000	91.858	108.2221
1900.000000	92.057	109.4614
1925.000000	92.259	110.6772
1950.000000	92.462	111.7791
1975.000000	92.667	112.8015
2000.000000	92.876	113.7751
2030.000000	93.124	114.8367
2060.000000	93.372	115.7619
2090.000000	93.620	116.6324
2120.000000	93.863	117.3783
2140.000000	94.027	117.8159
2180.000000	94.344	118.6219
2200.000000	94.501	118.9393
2240.000000	94.802	119.4825
2270.000000	95.019	119.8139
2300.000000	95.231	120.0749
2330.000000	95.438	120.2515
2360.000000	95.633	120.3812
2400.000000	95.882	120.4197
2430.000000	96.059	120.3994
2470.000000	96.281	120.2844
2500.000000	96.436	120.1379
2540.000000	96.629	119.8869
2580.000000	96.805	119.5497
2620.000000	96.961	119.1396
2650.000000	97.068	118.7974
2690.000000	97.192	118.3026
2720.000000	97.271	117.8722
2760.000000	97.358	117.2895
2800.000000	97.423	116.6560
2850.000000	97.468	115.8325
2900.000000	97.474	115.0267
2950.000000	97.444	114.2799
3000.000000	97.374	113.6215
3040.000000	97.296	113.1678
3070.000000	97.225	112.9080
3110.000000	97.113	112.6477
3150.000000	96.992	112.4934
3200.000000	96.820	112.4725
3250.000000	96.641	112.6520
3300.000000	96.457	113.0016
3350.000000	96.277	113.5436
3400.000000	96.108	114.2186
3450.000000	95.950	115.0419
3500.000000	95.813	115.9141
3550.000000	95.695	116.8192
3600.000000	95.600	117.7233
3650.000000	95.514	118.5641
3700.000000	95.447	119.3501
3750.000000	95.389	120.0402
3820.000000	95.320	120.8550
3870.000000	95.278	121.3102
3950.000000	95.202	121.8335
4000.000000	95.143	122.0364
4060.000000	95.063	122.1330
4120.000000	94.962	122.1278
4180.000000	94.832	122.0119
4250.000000	94.644	121.8444
4310.000000	94.446	121.6757
4370.000000	94.221	121.5460
4440.000000	93.912	121.4427
4500.000000	93.615	121.4860
4550.000000	93.346	121.6027
4620.000000	92.934	121.8737
4680.000000	92.547	122.2944
4750.000000	92.050	123.0398
4820.000000	91.513	124.0979
4870.000000	91.103	125.1808
4940.000000	90.500	127.2162
5000.000000	89.994	129.5027
5080.000000	89.365	133.3822
5150.000000	88.911	137.3509
5220.000000	88.563	141.5359
5300.000000	88.286	146.4381
5380.000000	88.087	151.0243
5450.000000	87.980	154.8567
5520.000000	87.900	158.4793
5600.000000	87.826	162.4182
5700.000000	87.786	166.9745
5800.000000	87.781	171.2967
5900.000000	87.829	175.4651
6000.000000	87.920	179.3011
