* Measurement data measured by REW V5.20.4
* Source: Headset (2- USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 21 Nov, 2022 9:05:46 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: TE HEXA R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	93.068	37.0399
20.600000	93.099	36.1690
20.900000	93.119	35.3985
21.200001	93.135	34.6498
21.400000	93.146	34.1601
21.799999	93.171	33.1955
22.000000	93.185	32.7148
22.400000	93.216	31.7428
22.700001	93.240	30.9973
23.000000	93.262	30.2418
23.299999	93.279	29.4972
23.600000	93.294	28.7890
24.000000	93.311	27.9361
24.299999	93.328	27.3706
24.700001	93.357	26.6800
25.000000	93.382	26.1630
25.400000	93.411	25.4202
25.799999	93.422	24.6038
26.200001	93.410	23.7626
26.500000	93.390	23.1575
26.900000	93.361	22.4114
27.200001	93.347	21.8836
27.600000	93.349	21.1739
28.000000	93.370	20.4099
28.500000	93.400	19.4033
29.000000	93.408	18.4905
29.500000	93.391	17.8003
30.000000	93.368	17.2953
30.400000	93.354	16.9078
30.700001	93.346	16.5730
31.100000	93.333	16.0479
31.500000	93.319	15.4617
32.000000	93.302	14.7210
32.500000	93.293	14.0256
33.000000	93.289	13.3724
33.500000	93.278	12.7451
34.000000	93.258	12.1498
34.500000	93.238	11.5936
35.000000	93.219	11.0626
35.500000	93.205	10.5408
36.000000	93.196	10.0322
36.500000	93.191	9.5380
37.000000	93.185	9.0300
37.500000	93.171	8.4821
38.200001	93.128	7.7117
38.700001	93.086	7.2485
39.500000	93.043	6.6532
40.000000	93.031	6.2693
40.599998	93.012	5.7654
41.200001	92.980	5.2830
41.799999	92.945	4.8439
42.500000	92.907	4.3354
43.099998	92.878	3.9006
43.700001	92.852	3.4849
44.400002	92.824	2.9940
45.000000	92.794	2.5654
45.500000	92.763	2.2405
46.200001	92.721	1.8491
46.799999	92.696	1.5138
47.500000	92.669	1.0696
48.200001	92.633	0.6384
48.700001	92.603	0.3962
49.400002	92.568	0.1369
50.000000	92.547	-0.1136
50.799999	92.513	-0.5769
51.500000	92.471	-0.9910
52.200001	92.431	-1.3251
53.000000	92.393	-1.6669
53.799999	92.350	-1.9705
54.500000	92.318	-2.2182
