* Measurement data measured by REW V5.20.4
* Source: Headset (2- USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 21 Nov, 2022 9:10:38 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: TE HEXA L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	93.263	37.6738
20.600000	93.290	36.5232
20.900000	93.292	35.5349
21.200001	93.292	34.7091
21.400000	93.301	34.2560
21.799999	93.348	33.5105
22.000000	93.385	33.1662
22.400000	93.471	32.4133
22.700001	93.523	31.7470
23.000000	93.546	31.0117
23.299999	93.534	30.2738
23.600000	93.494	29.5906
24.000000	93.425	28.8130
24.299999	93.385	28.3025
24.700001	93.370	27.6113
25.000000	93.388	27.0010
25.400000	93.438	26.0154
25.799999	93.487	24.8974
26.200001	93.511	23.8012
26.500000	93.508	23.0893
26.900000	93.483	22.3542
27.200001	93.461	21.9573
27.600000	93.448	21.5595
28.000000	93.467	21.1740
28.500000	93.530	20.5244
29.000000	93.603	19.6364
29.500000	93.645	18.6465
30.000000	93.636	17.7765
30.400000	93.603	17.2533
30.700001	93.573	16.9492
31.100000	93.540	16.5758
31.500000	93.524	16.1336
32.000000	93.523	15.3879
32.500000	93.525	14.5004
33.000000	93.517	13.6821
33.500000	93.497	13.0670
34.000000	93.474	12.6159
34.500000	93.445	12.2083
35.000000	93.402	11.7966
35.500000	93.360	11.3928
36.000000	93.344	10.9477
36.500000	93.363	10.3355
37.000000	93.391	9.5067
37.500000	93.397	8.6037
38.200001	93.360	7.6462
38.700001	93.328	7.2828
39.500000	93.313	6.8336
40.000000	93.306	6.4057
40.599998	93.271	5.7734
41.200001	93.215	5.2341
41.799999	93.174	4.9056
42.500000	93.179	4.5884
43.099998	93.193	4.1320
43.700001	93.164	3.6149
44.400002	93.087	3.2614
45.000000	93.043	3.1022
45.500000	93.032	2.8201
46.200001	93.013	2.1504
46.799999	92.976	1.6097
47.500000	92.942	1.1939
48.200001	92.929	0.7764
48.700001	92.915	0.4104
49.400002	92.877	-0.0763
50.000000	92.843	-0.4042
50.799999	92.808	-0.7977
51.500000	92.781	-1.1742
52.200001	92.749	-1.5491
53.000000	92.708	-1.8961
53.799999	92.667	-2.1978
54.500000	92.623	-2.5133
55.200001	92.570	-2.8509
56.000000	92.518	-3.2066
57.000000	92.474	-3.6430
58.000000	92.429	-3.9964
59.000000	92.381	-4.2837
60.000000	92.328	-4.6538
60.799999	92.291	-4.9083
61.500000	92.269	-5.0936
62.200001	92.242	-5.3021
63.000000	92.194	-5.4885
64.000000	92.164	-5.6916
65.000000	92.146	-6.1700
66.000000	92.077	-6.4469
67.000000	92.023	-6.5628
68.000000	91.980	-7.0139
69.000000	91.935	-7.2651
70.000000	91.911	-7.2771
71.000000	91.845	-7.4791
72.000000	91.801	-7.6931
73.000000	91.789	-8.0703
74.000000	91.724	-8.0333
75.000000	91.688	-8.4878
76.199997	91.541	-9.4174
77.500000	91.601	-8.8034
78.800003	91.536	-8.8999
80.000000	91.473	-8.8788
81.199997	91.457	-9.2165
82.500000	91.419	-9.1376
83.800003	91.358	-9.3962
85.000000	91.322	-9.6779
86.199997	91.276	-9.7099
87.500000	91.222	-9.8004
88.500000	91.191	-9.8228
90.000000	91.144	-9.9445
91.199997	91.103	-10.0823
92.500000	91.067	-10.1602
93.800003	91.031	-10.2401
95.000000	90.984	-10.3048
96.199997	90.949	-10.3502
97.500000	90.918	-10.4545
98.800003	90.870	-10.4746
100.000000	90.834	-10.4643
101.500000	90.803	-10.5745
103.000000	90.766	-10.5975
104.400002	90.721	-10.6975
106.000000	90.681	-10.5989
107.500000	90.635	-10.6623
109.000000	90.610	-10.6483
110.599998	90.571	-10.6288
112.000000	90.534	-10.6341
113.800003	90.501	-10.6820
115.000000	90.473	-10.6915
117.199997	90.431	-10.6930
118.000000	90.415	-10.6931
120.599998	90.340	-10.7346
122.000000	90.326	-10.7271
124.099998	90.288	-10.7861
125.000000	90.269	-10.7688
126.500000	90.244	-10.7471
128.000000	90.211	-10.7427
131.500000	90.140	-10.7315
132.000000	90.131	-10.7003
134.000000	90.099	-10.6974
136.000000	90.067	-10.6519
138.000000	90.027	-10.6377
140.000000	89.993	-10.6060
143.000000	89.949	-10.5237
