* Measurement data measured by REW V5.20.4
* Source: Headset (2- USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 12 Dec, 2022 10:17:37 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: TE HEXA S2 L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	93.522	39.0638
20.600000	93.566	38.1770
20.900000	93.607	37.3483
21.200001	93.644	36.4925
21.400000	93.667	35.9144
21.799999	93.706	34.7735
22.000000	93.721	34.2276
22.400000	93.747	33.2099
22.700001	93.766	32.4999
23.000000	93.786	31.8013
23.299999	93.805	31.0760
23.600000	93.820	30.3036
24.000000	93.832	29.1979
24.299999	93.836	28.3363
24.700001	93.839	27.1913
25.000000	93.845	26.3653
25.400000	93.863	25.3387
25.799999	93.887	24.4396
26.200001	93.912	23.7265
26.500000	93.928	23.3383
26.900000	93.947	22.9940
27.200001	93.960	22.7959
27.600000	93.977	22.4738
28.000000	93.982	21.9436
28.500000	93.948	20.9557
29.000000	93.872	19.8424
29.500000	93.797	18.8886
30.000000	93.774	18.1416
30.400000	93.805	17.5524
30.700001	93.841	17.0433
31.100000	93.881	16.2680
31.500000	93.891	15.4641
32.000000	93.862	14.6079
32.500000	93.821	14.0386
33.000000	93.811	13.6673
33.500000	93.838	13.2753
34.000000	93.873	12.7063
34.500000	93.872	12.0053
35.000000	93.808	11.3583
35.500000	93.702	10.9452
36.000000	93.608	10.7570
36.500000	93.578	10.5632
37.000000	93.617	10.0591
37.500000	93.682	9.1466
38.200001	93.710	7.6158
38.700001	93.658	6.8234
39.500000	93.553	6.4083
40.000000	93.533	6.2650
40.599998	93.540	5.7392
41.200001	93.534	4.9121
41.799999	93.513	4.1542
42.500000	93.499	3.4958
43.099998	93.486	2.9964
43.700001	93.456	2.5657
44.400002	93.416	2.0851
45.000000	93.374	1.4830
45.500000	93.311	0.9119
46.200001	93.205	0.4180
46.799999	93.174	0.2882
47.500000	93.208	-0.1133
48.200001	93.211	-0.7975
48.700001	93.178	-1.1334
49.400002	93.141	-1.3575
50.000000	93.127	-1.6713
50.799999	93.078	-2.2753
51.500000	93.023	-2.6229
52.200001	92.991	-2.8996
53.000000	92.952	-3.3640
53.799999	92.891	-3.8133
54.500000	92.846	-4.1444
55.200001	92.813	-4.5009
56.000000	92.766	-4.8755
57.000000	92.707	-5.2221
58.000000	92.653	-5.6500
59.000000	92.590	-6.0546
60.000000	92.533	-6.3870
60.799999	92.489	-6.6874
61.500000	92.450	-6.9444
62.200001	92.411	-7.1967
63.000000	92.364	-7.3976
64.000000	92.329	-7.5293
65.000000	92.294	-7.8843
66.000000	92.224	-8.2712
67.000000	92.160	-8.5396
68.000000	92.113	-8.7652
69.000000	92.070	-9.0303
70.000000	92.017	-9.2349
71.000000	91.971	-9.3759
72.000000	91.911	-9.5360
73.000000	91.851	-9.6399
74.000000	91.813	-9.7727
75.000000	91.794	-9.9449
76.199997	91.763	-10.1855
77.500000	91.717	-10.4571
78.800003	91.663	-10.6683
80.000000	91.620	-10.8395
81.199997	91.563	-11.0573
82.500000	91.514	-11.2416
83.800003	91.454	-11.5243
85.000000	91.399	-11.6829
86.199997	91.361	-11.8079
87.500000	91.307	-11.8772
88.500000	91.270	-11.9444
90.000000	91.205	-12.1991
91.199997	91.158	-12.1923
92.500000	91.118	-12.2987
93.800003	91.064	-12.4079
95.000000	91.028	-12.4697
96.199997	90.979	-12.5762
97.500000	90.910	-12.5241
98.800003	90.884	-12.6774
100.000000	90.834	-12.7546
101.500000	90.808	-12.7708
103.000000	90.745	-12.7914
104.400002	90.717	-12.9989
106.000000	90.663	-12.8216
107.500000	90.617	-12.8878
109.000000	90.581	-12.9190
110.599998	90.537	-12.9428
112.000000	90.495	-12.9962
113.800003	90.445	-12.8941
115.000000	90.403	-12.9339
117.199997	90.350	-12.9999
118.000000	90.329	-13.0138
120.599998	90.258	-13.0027
122.000000	90.220	-12.9552
124.099998	90.172	-12.9646
125.000000	90.146	-12.9448
126.500000	90.115	-12.9285
128.000000	90.075	-12.8904
131.500000	89.997	-12.8020
132.000000	89.988	-12.8062
134.000000	89.942	-12.7402
136.000000	89.903	-12.6926
138.000000	89.864	-12.6375
140.000000	89.819	-12.5749
143.000000	89.760	-12.4580
145.000000	89.722	-12.4100
147.500000	89.675	-12.3180
150.000000	89.619	-12.2284
152.500000	89.583	-12.1309
155.000000	89.530	-12.0357
157.500000	89.482	-11.9082
160.000000	89.438	-11.8381
162.500000	89.393	-11.7299
165.000000	89.348	-11.5987
167.500000	89.308	-11.4834
170.000000	89.259	-11.3576
172.500000	89.223	-11.2460
175.000000	89.193	-11.1287
177.500000	89.158	-11.0133
180.000000	89.131	-10.8775
182.500000	89.087	-10.7489
185.000000	89.068	-10.6351
187.500000	89.031	-10.4575
190.000000	89.001	-10.3847
192.500000	88.967	-10.2345
195.000000	88.947	-10.1727
197.500000	88.922	-9.9405
200.000000	88.902	-9.8310
203.000000	88.870	-9.6643
206.000000	88.840	-9.4895
209.000000	88.817	-9.3123
212.000000	88.792	-9.1830
214.000000	88.778	-9.0711
218.000000	88.737	-8.8882
220.000000	88.721	-8.7804
224.000000	88.682	-8.5542
227.000000	88.657	-8.4068
230.000000	88.633	-8.2339
233.000000	88.608	-8.0661
236.000000	88.578	-7.9086
240.000000	88.548	-7.7051
243.000000	88.527	-7.5214
247.000000	88.499	-7.3292
250.000000	88.489	-7.2442
254.000000	88.454	-6.9654
258.000000	88.429	-6.7223
262.000000	88.402	-6.5187
265.000000	88.388	-6.3458
269.000000	88.358	-6.1401
272.000000	88.344	-5.9983
276.000000	88.318	-5.7555
280.000000	88.292	-5.5304
285.000000	88.263	-5.3085
290.000000	88.238	-5.0218
295.000000	88.207	-4.7629
300.000000	88.178	-4.4941
304.000000	88.157	-4.2929
307.000000	88.135	-4.1438
311.000000	88.111	-3.9017
315.000000	88.088	-3.6972
320.000000	88.063	-3.3985
325.000000	88.038	-3.1077
330.000000	88.013	-2.8016
335.000000	87.990	-2.4836
340.000000	87.977	-2.2092
345.000000	87.969	-1.9350
350.000000	87.965	-1.7051
355.000000	87.950	-1.4183
360.000000	87.936	-1.2249
365.000000	87.917	-1.0259
370.000000	87.906	-0.8358
375.000000	87.885	-0.6255
382.000000	87.858	-0.2946
387.000000	87.838	-0.0560
395.000000	87.811	0.3169
400.000000	87.791	0.5430
406.000000	87.772	0.8755
412.000000	87.745	1.1533
418.000000	87.730	1.4547
425.000000	87.704	1.8084
431.000000	87.685	2.0906
437.000000	87.668	2.4054
444.000000	87.645	2.7596
450.000000	87.627	3.0999
455.000000	87.611	3.3140
462.000000	87.589	3.6655
468.000000	87.575	3.9759
475.000000	87.554	4.2890
482.000000	87.536	4.6717
487.000000	87.523	4.9401
494.000000	87.511	5.2887
500.000000	87.496	5.5766
508.000000	87.482	6.0146
515.000000	87.469	6.3936
522.000000	87.455	6.7348
530.000000	87.444	7.1682
538.000000	87.431	7.5777
545.000000	87.420	7.9446
552.000000	87.405	8.3010
560.000000	87.392	8.7537
570.000000	87.377	9.2999
580.000000	87.365	9.8194
590.000000	87.353	10.3805
600.000000	87.344	10.9223
608.000000	87.330	11.3979
615.000000	87.324	11.7765
622.000000	87.310	12.1480
630.000000	87.300	12.6406
640.000000	87.293	13.2084
650.000000	87.284	13.8125
660.000000	87.283	14.3542
670.000000	87.275	14.9688
680.000000	87.272	15.5463
690.000000	87.267	16.1796
