* Measurement data measured by REW V5.20.4
* Source: Headset (2- USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 12 Dec, 2022 10:07:33 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: TE HEXA S2 R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	93.916	32.1875
20.600000	93.949	31.3207
20.900000	93.972	30.4818
21.200001	93.986	29.6256
21.400000	93.991	29.0669
21.799999	93.996	28.0124
22.000000	93.998	27.5264
22.400000	94.008	26.6288
22.700001	94.024	25.9825
23.000000	94.046	25.3141
23.299999	94.068	24.6001
23.600000	94.084	23.8446
24.000000	94.092	22.8143
24.299999	94.087	22.0753
24.700001	94.072	21.1894
25.000000	94.063	20.6060
25.400000	94.063	19.8947
25.799999	94.078	19.1689
26.200001	94.100	18.3496
26.500000	94.111	17.6678
26.900000	94.110	16.7178
27.200001	94.094	16.0365
27.600000	94.063	15.2471
28.000000	94.036	14.6233
28.500000	94.025	13.9739
29.000000	94.033	13.2479
29.500000	94.024	12.3485
30.000000	93.974	11.4276
30.400000	93.917	10.8270
30.700001	93.880	10.4764
31.100000	93.854	10.0541
31.500000	93.856	9.5507
32.000000	93.867	8.7137
32.500000	93.852	7.8256
33.000000	93.813	7.1919
33.500000	93.783	6.8400
34.000000	93.775	6.4781
34.500000	93.757	5.9060
35.000000	93.695	5.2898
35.500000	93.618	4.9008
36.000000	93.589	4.6520
36.500000	93.616	4.1541
37.000000	93.634	3.2502
37.500000	93.590	2.2833
38.200001	93.472	1.5997
38.700001	93.433	1.4600
39.500000	93.435	0.6818
40.000000	93.392	-0.0870
40.599998	93.294	-0.7006
41.200001	93.230	-0.8716
41.799999	93.218	-1.0697
42.500000	93.198	-1.6362
43.099998	93.145	-2.1661
43.700001	93.086	-2.5801
44.400002	93.034	-2.9698
45.000000	93.002	-3.2623
45.500000	92.979	-3.4950
46.200001	92.940	-3.8489
46.799999	92.896	-4.1584
47.500000	92.844	-4.4822
48.200001	92.802	-4.8386
48.700001	92.771	-5.1289
49.400002	92.717	-5.4950
50.000000	92.675	-5.7480
50.799999	92.635	-6.1344
51.500000	92.597	-6.5311
52.200001	92.553	-6.8509
53.000000	92.506	-7.1176
53.799999	92.456	-7.4192
54.500000	92.404	-7.7141
55.200001	92.352	-7.9791
56.000000	92.303	-8.2437
57.000000	92.246	-8.5709
58.000000	92.179	-8.8933
59.000000	92.116	-9.1669
60.000000	92.055	-9.4295
60.799999	91.999	-9.5831
61.500000	91.954	-9.6634
62.200001	91.920	-9.7972
63.000000	91.877	-10.0309
64.000000	91.813	-10.2867
65.000000	91.744	-10.4721
66.000000	91.705	-10.5934
67.000000	91.686	-10.9067
68.000000	91.614	-11.1132
69.000000	91.548	-11.0335
70.000000	91.511	-11.1495
71.000000	91.465	-11.3812
72.000000	91.401	-11.4415
73.000000	91.360	-11.4513
74.000000	91.319	-11.6874
75.000000	91.260	-11.6631
76.199997	91.238	-11.6026
77.500000	91.174	-11.9287
78.800003	91.127	-12.0512
80.000000	91.076	-12.1665
81.199997	91.028	-12.2239
82.500000	90.973	-12.3496
83.800003	90.933	-12.3856
85.000000	90.871	-12.4186
86.199997	90.834	-12.3995
87.500000	90.781	-12.4976
88.500000	90.755	-12.4738
90.000000	90.710	-12.5584
91.199997	90.665	-12.5574
92.500000	90.617	-12.5694
93.800003	90.576	-12.6017
95.000000	90.535	-12.6197
96.199997	90.502	-12.6281
97.500000	90.454	-12.6334
98.800003	90.425	-12.6570
100.000000	90.382	-12.7608
101.500000	90.334	-12.6224
103.000000	90.304	-12.5757
104.400002	90.251	-12.3559
106.000000	90.215	-12.5320
107.500000	90.183	-12.5029
109.000000	90.128	-12.4331
110.599998	90.092	-12.4033
112.000000	90.061	-12.3685
113.800003	90.015	-12.0857
115.000000	89.992	-12.2074
117.199997	89.923	-12.1679
118.000000	89.900	-12.0791
120.599998	89.890	-12.0055
122.000000	89.832	-11.9001
124.099998	89.824	-11.7304
125.000000	89.812	-11.7048
126.500000	89.771	-11.7721
128.000000	89.753	-11.7569
131.500000	89.682	-11.6426
132.000000	89.681	-11.6175
134.000000	89.647	-11.5145
136.000000	89.608	-11.4405
138.000000	89.571	-11.3692
140.000000	89.541	-11.3146
143.000000	89.490	-11.1556
145.000000	89.470	-11.0101
147.500000	89.426	-10.8989
150.000000	89.400	-10.9052
152.500000	89.351	-10.7101
155.000000	89.302	-10.5518
157.500000	89.281	-10.4057
160.000000	89.211	-10.2364
162.500000	89.191	-10.2019
165.000000	89.158	-10.0212
167.500000	89.123	-9.9587
170.000000	89.087	-9.7814
172.500000	89.062	-9.7114
175.000000	89.024	-9.4945
177.500000	89.016	-9.3579
180.000000	88.982	-9.2496
182.500000	88.955	-8.9608
185.000000	88.924	-8.9092
187.500000	88.916	-8.6391
190.000000	88.908	-8.6120
192.500000	88.891	-8.4389
195.000000	88.896	-8.3546
197.500000	88.867	-8.2702
200.000000	88.873	-8.1894
203.000000	88.856	-8.1324
206.000000	88.836	-7.8819
209.000000	88.808	-7.8018
212.000000	88.791	-7.6214
