frequency,raw
20,64.84
21.60,64.84
22.64,64.80
23.73,64.74
24.87,64.68
26.06,64.63
27.31,64.60
28.62,64.53
30.00,64.46
31.44,64.41
32.95,64.34
34.53,64.29
36.19,64.23
37.93,64.15
39.75,64.07
41.65,64.00
43.65,63.91
45.75,63.83
47.95,63.74
50.25,63.64
52.66,63.53
55.19,63.42
57.84,63.29
60.62,63.17
63.53,63.04
66.58,62.91
69.78,62.77
73.13,62.64
76.64,62.51
80.32,62.37
84.17,62.24
88.22,62.12
92.45,62.01
96.89,61.88
101.54,61.77
106.42,61.67
111.53,61.56
116.88,61.45
122.50,61.35
128.38,61.26
134.54,61.17
141.00,61.08
147.77,60.99
154.87,60.90
162.30,60.81
170.10,60.73
178.26,60.65
186.82,60.57
195.79,60.47
205.19,60.39
215.05,60.31
225.37,60.21
236.19,60.12
247.54,60.03
259.42,59.94
271.88,59.86
284.93,59.78
298.61,59.71
312.95,59.66
327.98,59.64
343.72,59.64
360.23,59.58
377.53,59.57
395.65,59.52
414.65,59.50
434.56,59.50
455.42,59.50
477.29,59.50
500.21,59.45
524.23,59.43
549.40,59.43
575.78,59.36
603.42,59.30
632.40,59.29
662.76,59.22
694.59,59.22
727.94,59.16
762.89,59.15
799.52,59.17
837.91,59.25
878.14,59.36
920.31,59.55
964.49,59.83
1010.80,60.14
1059.34,60.52
1110.20,60.96
1163.51,61.41
1219.38,61.89
1277.93,62.37
1339.29,62.88
1403.59,63.38
1470.99,63.89
1541.62,64.42
1615.64,64.95
1693.21,65.50
1774.51,66.05
1859.72,66.60
1949.01,67.15
2042.59,67.69
2140.67,68.24
2243.46,68.73
2351.18,69.18
2464.07,69.55
2582.38,69.82
2706.38,70.01
2836.32,70.06
2972.51,70.02
3115.24,69.85
3264.82,69.62
3417.21,69.34
3585.87,68.99
3758.04,68.64
3938.49,68.28
4127.60,67.94
4325.79,67.63
4533.49,67.34
4751.17,67.12
4979.30,66.94
5218.38,66.83
5468.94,66.80
5731.54,66.80
6006.74,66.80
6295.15,66.85
6597.42,66.93
6914.20,66.95
7246.18,66.90
7594.11,66.69
7958.75,66.31
8340.89,65.80
8741.38,65.18
9161.10,64.50
9600.98,63.86
10061.97,63.23
10545.10,62.65
11051.43,62.14
11582.07,61.68
12138.19,61.29
12721.01,60.92
13314.77,60.62
13971.94,60.34
14642.81,60.11
15345.89,59.91
16082.73,59.73
16854.95,59.58
17664.25,59.45
18512.41,59.34
20000,59.34
