* Measurement data measured by REW V5.20.4
* Source: Microphone (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 9 Feb, 2022 3:08:54 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Monarch Mk1 R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	97.287	-24.5139
20.299999	97.262	-24.8442
20.600000	97.234	-25.1600
20.900000	97.204	-25.4478
21.200001	97.176	-25.7220
21.400000	97.159	-25.9023
21.799999	97.126	-26.2649
22.000000	97.109	-26.4530
22.400000	97.070	-26.8515
22.700001	97.037	-27.1417
23.000000	97.001	-27.4105
23.299999	96.964	-27.6635
23.600000	96.929	-27.9036
24.000000	96.887	-28.2277
24.299999	96.857	-28.4958
24.700001	96.815	-28.8871
25.000000	96.778	-29.1917
25.400000	96.724	-29.5892
25.799999	96.667	-29.9349
26.200001	96.613	-30.2262
26.500000	96.579	-30.4249
26.900000	96.543	-30.6914
27.200001	96.519	-30.9267
27.600000	96.492	-31.3121
28.000000	96.459	-31.7588
28.500000	96.402	-32.3187
29.000000	96.337	-32.7549
29.500000	96.285	-33.0740
30.000000	96.254	-33.4114
30.400000	96.236	-33.7865
30.700001	96.215	-34.1176
31.100000	96.170	-34.5529
31.500000	96.111	-34.8974
32.000000	96.038	-35.1425
32.500000	95.987	-35.2957
33.000000	95.954	-35.5361
33.500000	95.911	-35.9168
34.000000	95.848	-36.3178
34.500000	95.779	-36.6253
35.000000	95.716	-36.8477
35.500000	95.665	-37.0972
36.000000	95.612	-37.4183
36.500000	95.547	-37.7452
37.000000	95.479	-37.9856
37.500000	95.424	-38.1688
38.200001	95.369	-38.5417
38.700001	95.319	-38.9477
39.500000	95.205	-39.5589
40.000000	95.131	-39.8184
40.599998	95.056	-40.0965
41.200001	94.986	-40.4330
41.799999	94.909	-40.7984
42.500000	94.811	-41.1771
43.099998	94.728	-41.4206
43.700001	94.657	-41.6008
44.400002	94.599	-41.8844
45.000000	94.545	-42.3037
45.500000	94.477	-42.6787
46.200001	94.362	-42.9948
46.799999	94.280	-43.0889
47.500000	94.207	-43.2316
48.200001	94.139	-43.4374
48.700001	94.094	-43.6176
49.400002	94.028	-44.0170
50.000000	93.941	-44.4295
50.799999	93.795	-44.7221
51.500000	93.696	-44.8069
52.200001	93.614	-45.0418
53.000000	93.496	-45.3560
53.799999	93.384	-45.4824
54.500000	93.313	-45.6400
55.200001	93.240	-45.9485
56.000000	93.135	-46.3064
57.000000	92.997	-46.6031
58.000000	92.858	-46.8097
59.000000	92.724	-46.8322
60.000000	92.623	-46.9295
60.799999	92.534	-47.2335
61.500000	92.431	-47.5026
62.200001	92.314	-47.6604
63.000000	92.188	-47.6741
64.000000	92.074	-47.6564
65.000000	91.966	-47.9124
66.000000	91.834	-48.0150
67.000000	91.737	-48.1315
68.000000	91.602	-48.3200
69.000000	91.484	-48.2199
70.000000	91.371	-48.3824
71.000000	91.216	-48.3233
72.000000	91.102	-48.1822
73.000000	90.976	-48.1764
74.000000	90.863	-48.1450
75.000000	90.729	-48.2524
76.199997	90.578	-48.1005
77.500000	90.419	-48.0924
78.800003	90.285	-47.9038
80.000000	90.141	-47.8967
81.199997	90.011	-47.7160
82.500000	89.856	-47.5196
83.800003	89.724	-47.2894
85.000000	89.591	-47.0266
86.199997	89.467	-46.8368
87.500000	89.321	-46.5891
88.500000	89.199	-46.4018
90.000000	89.047	-45.9158
91.199997	88.927	-45.6904
92.500000	88.814	-45.4640
93.800003	88.665	-45.0781
95.000000	88.589	-44.7540
96.199997	88.431	-44.3370
97.500000	88.404	-43.5770
98.800003	88.255	-43.7585
100.000000	88.130	-42.9575
101.500000	87.999	-42.7394
103.000000	87.870	-42.0559
104.400002	87.764	-41.8344
106.000000	87.608	-41.2299
107.500000	87.521	-40.7552
109.000000	87.391	-40.1036
110.599998	87.302	-39.5479
112.000000	87.181	-39.0176
