* Measurement data measured by REW V5.20.4
* Source: Microphone (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 9 Feb, 2022 4:04:07 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Monarch Mk2 L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	96.503	-2.7738
20.299999	96.497	-3.1860
20.600000	96.493	-3.5972
20.900000	96.490	-4.0101
21.200001	96.484	-4.4369
21.400000	96.479	-4.7189
21.799999	96.463	-5.2458
22.000000	96.453	-5.4788
22.400000	96.434	-5.8746
22.700001	96.426	-6.1043
23.000000	96.429	-6.3100
23.299999	96.444	-6.5482
23.600000	96.464	-6.8514
24.000000	96.491	-7.3869
24.299999	96.500	-7.8712
24.700001	96.490	-8.5445
25.000000	96.466	-9.0020
25.400000	96.423	-9.4996
25.799999	96.382	-9.8726
26.200001	96.349	-10.1998
26.500000	96.327	-10.4502
26.900000	96.292	-10.7737
27.200001	96.262	-10.9787
27.600000	96.228	-11.1678
28.000000	96.219	-11.3014
28.500000	96.247	-11.6283
29.000000	96.284	-12.3584
29.500000	96.272	-13.3999
30.000000	96.195	-14.3286
30.400000	96.120	-14.7780
30.700001	96.076	-14.9481
31.100000	96.050	-15.1152
31.500000	96.054	-15.3933
32.000000	96.059	-15.9867
32.500000	96.033	-16.6757
33.000000	95.985	-17.2112
33.500000	95.944	-17.5931
34.000000	95.919	-17.9777
34.500000	95.895	-18.4284
35.000000	95.858	-18.8331
35.500000	95.824	-19.1267
36.000000	95.810	-19.4166
36.500000	95.802	-19.8499
37.000000	95.775	-20.3968
37.500000	95.722	-20.8974
38.200001	95.641	-21.3621
38.700001	95.598	-21.6449
39.500000	95.533	-22.2030
40.000000	95.485	-22.5282
40.599998	95.437	-22.8528
41.200001	95.403	-23.2127
41.799999	95.365	-23.6473
42.500000	95.308	-24.1305
43.099998	95.260	-24.4848
43.700001	95.213	-24.8339
44.400002	95.153	-25.2225
45.000000	95.103	-25.5246
45.500000	95.063	-25.7958
46.200001	94.998	-26.2047
46.799999	94.936	-26.5029
47.500000	94.875	-26.7971
48.200001	94.824	-27.1863
48.700001	94.780	-27.5160
49.400002	94.705	-27.8937
50.000000	94.650	-28.1086
50.799999	94.599	-28.4212
51.500000	94.557	-28.7989
52.200001	94.502	-29.1868
53.000000	94.431	-29.5798
53.799999	94.353	-29.9225
54.500000	94.280	-30.1617
55.200001	94.214	-30.3709
56.000000	94.145	-30.6750
57.000000	94.045	-31.1020
58.000000	93.950	-31.4666
59.000000	93.856	-31.8894
60.000000	93.757	-32.1452
60.799999	93.708	-32.3600
61.500000	93.653	-32.6498
62.200001	93.580	-32.8086
63.000000	93.515	-32.8376
64.000000	93.440	-33.0457
65.000000	93.345	-33.1186
66.000000	93.282	-33.3353
67.000000	93.165	-33.7291
68.000000	93.055	-33.8088
69.000000	92.969	-34.1102
70.000000	92.854	-34.3550
71.000000	92.766	-34.4599
72.000000	92.690	-34.6830
73.000000	92.595	-34.9067
74.000000	92.508	-34.9456
75.000000	92.437	-35.1380
76.199997	92.316	-35.2316
77.500000	92.219	-35.3568
78.800003	92.091	-35.3811
80.000000	91.997	-35.4110
81.199997	91.896	-35.3831
82.500000	91.802	-35.4269
83.800003	91.695	-35.6099
85.000000	91.564	-35.5511
86.199997	91.501	-35.5049
87.500000	91.375	-35.7340
88.500000	91.292	-35.6323
90.000000	91.176	-35.6195
91.199997	91.091	-35.5968
92.500000	90.987	-35.4773
93.800003	90.902	-35.3777
95.000000	90.832	-35.1963
96.199997	90.750	-35.3215
97.500000	90.646	-35.0056
98.800003	90.535	-34.9544
100.000000	90.487	-34.3250
101.500000	90.394	-34.8746
103.000000	90.265	-34.2877
104.400002	90.184	-34.4172
106.000000	90.051	-34.1265
107.500000	89.969	-33.9897
109.000000	89.860	-33.7047
110.599998	89.809	-33.4797
112.000000	89.693	-33.5201
113.800003	89.591	-33.1240
115.000000	89.509	-32.8903
117.199997	89.398	-32.5659
118.000000	89.345	-32.4717
120.599998	89.196	-32.0708
122.000000	89.111	-31.7186
124.099998	89.006	-31.0919
125.000000	89.000	-30.9554
126.500000	88.913	-30.9026
128.000000	88.835	-30.5197
131.500000	88.650	-29.9872
132.000000	88.617	-29.7422
134.000000	88.563	-29.3684
136.000000	88.477	-29.0296
138.000000	88.419	-28.3655
140.000000	88.300	-27.8179
143.000000	88.205	-27.5283
145.000000	88.101	-26.9052
147.500000	88.023	-26.3514
150.000000	87.954	-25.7974
152.500000	87.874	-25.3593
155.000000	87.770	-24.7080
157.500000	87.696	-24.1858
160.000000	87.589	-23.5037
162.500000	87.506	-22.8161
165.000000	87.418	-22.2317
167.500000	87.361	-21.6786
170.000000	87.251	-20.8925
172.500000	87.194	-19.8536
175.000000	87.137	-19.1774
177.500000	87.114	-18.4302
180.000000	87.135	-17.4225
182.500000	87.185	-16.5996
185.000000	87.194	-16.1990
187.500000	87.211	-15.8238
190.000000	87.159	-15.6949
192.500000	87.168	-15.2557
195.000000	87.115	-14.7956
197.500000	87.124	-14.5451
200.000000	87.097	-13.8534
203.000000	87.055	-13.4262
206.000000	87.046	-13.0188
209.000000	87.014	-12.3351
212.000000	87.000	-11.6385
214.000000	87.007	-11.3689
218.000000	86.992	-10.6815
220.000000	87.006	-10.3129
224.000000	86.994	-9.6038
227.000000	87.014	-9.4958
230.000000	87.002	-9.1015
233.000000	86.983	-8.5412
236.000000	86.974	-8.1570
240.000000	86.990	-7.7639
243.000000	86.973	-7.3549
247.000000	86.942	-6.7207
250.000000	86.969	-6.3612
254.000000	86.957	-5.9966
258.000000	86.957	-5.4793
262.000000	86.966	-4.9965
265.000000	86.967	-4.6266
269.000000	86.958	-4.0370
272.000000	86.955	-3.6515
276.000000	86.958	-3.3457
280.000000	86.962	-2.8724
285.000000	86.954	-2.3972
