* Measurement data measured by REW V5.20.4
* Source: Headset (2- USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 2 Jan, 2023 12:27:53 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: 7A Stargazer 3 L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	96.733	-160.7760
20.600000	96.790	-161.8025
20.900000	96.849	-162.7107
21.200001	96.902	-163.6020
21.400000	96.929	-164.1694
21.799999	96.962	-165.1982
22.000000	96.970	-165.6495
22.400000	96.982	-166.4511
22.700001	96.997	-167.0535
23.000000	97.024	-167.7708
23.299999	97.053	-168.6695
23.600000	97.077	-169.7422
24.000000	97.086	-171.3309
24.299999	97.074	-172.4891
24.700001	97.044	-173.8040
25.000000	97.026	-174.5635
25.400000	97.025	-175.3391
25.799999	97.053	-176.0520
26.200001	97.090	-176.9103
26.500000	97.106	-177.6932
26.900000	97.097	-178.8626
27.200001	97.069	-179.7399
27.600000	97.023	179.2085
28.000000	96.997	178.3307
28.500000	97.020	177.3157
29.000000	97.075	176.1087
29.500000	97.091	174.6885
30.000000	97.032	173.3931
30.400000	96.966	172.6558
30.700001	96.934	172.2523
31.100000	96.940	171.6868
31.500000	96.993	170.8489
32.000000	97.058	169.3551
32.500000	97.062	167.8167
33.000000	97.017	166.8077
33.500000	96.984	166.3406
34.000000	96.988	165.8818
34.500000	96.981	165.0399
35.000000	96.913	163.9760
35.500000	96.813	163.0726
36.000000	96.747	162.4089
36.500000	96.739	161.7492
37.000000	96.755	160.9251
37.500000	96.756	160.0245
38.200001	96.722	158.8467
38.700001	96.685	158.0157
39.500000	96.607	156.6234
40.000000	96.553	155.8383
40.599998	96.503	155.0175
41.200001	96.469	154.1908
41.799999	96.432	153.2797
42.500000	96.378	152.1581
43.099998	96.328	151.2296
43.700001	96.282	150.4286
44.400002	96.245	149.6637
45.000000	96.229	148.9794
45.500000	96.210	148.2791
46.200001	96.154	147.1772
46.799999	96.087	146.3018
47.500000	96.018	145.4765
48.200001	95.971	144.7501
48.700001	95.942	144.1734
49.400002	95.888	143.2381
50.000000	95.828	142.4397
50.799999	95.764	141.5183
51.500000	95.730	140.7600
52.200001	95.688	140.0145
53.000000	95.628	139.1875
53.799999	95.563	138.2649
54.500000	95.502	137.4487
55.200001	95.448	136.7526
56.000000	95.396	136.0380
57.000000	95.315	135.1093
58.000000	95.210	134.0396
59.000000	95.104	133.0971
60.000000	95.037	132.2170
60.799999	94.973	131.4474
61.500000	94.916	130.8574
62.200001	94.866	130.2448
63.000000	94.793	129.6186
64.000000	94.724	129.0838
65.000000	94.659	128.0856
66.000000	94.566	127.1863
67.000000	94.554	126.3671
68.000000	94.488	125.5378
69.000000	94.413	125.1569
70.000000	94.377	124.2833
71.000000	94.294	123.2328
72.000000	94.218	122.5911
73.000000	94.174	121.8395
74.000000	94.104	120.9109
75.000000	94.042	120.2669
76.199997	93.980	119.4612
77.500000	93.848	118.5862
78.800003	93.756	117.7088
80.000000	93.685	116.8265
81.199997	93.596	116.1136
82.500000	93.512	115.3404
83.800003	93.440	114.5064
85.000000	93.361	113.7420
86.199997	93.273	113.0314
87.500000	93.194	112.3307
88.500000	93.149	111.7872
90.000000	93.045	110.8807
91.199997	92.971	110.2601
92.500000	92.903	109.5632
93.800003	92.825	108.8425
95.000000	92.746	108.1900
96.199997	92.693	107.6645
97.500000	92.625	106.9594
98.800003	92.536	106.2867
100.000000	92.482	105.6924
101.500000	92.400	104.9972
103.000000	92.301	104.2152
104.400002	92.235	103.5829
106.000000	92.148	102.9282
107.500000	92.074	102.1865
109.000000	91.993	101.5818
110.599998	91.919	100.9392
112.000000	91.845	100.2951
113.800003	91.757	99.5608
115.000000	91.691	99.1505
117.199997	91.598	98.2457
118.000000	91.560	97.9753
120.599998	91.444	96.9171
122.000000	91.383	96.4259
124.099998	91.276	95.6655
125.000000	91.249	95.3224
126.500000	91.191	94.7379
128.000000	91.140	94.2101
131.500000	90.987	92.9309
132.000000	90.965	92.7699
134.000000	90.888	92.1081
136.000000	90.809	91.4618
138.000000	90.740	90.8177
140.000000	90.664	90.2234
143.000000	90.552	89.2997
145.000000	90.478	88.7296
147.500000	90.388	87.9747
150.000000	90.319	87.2176
152.500000	90.224	86.5371
155.000000	90.137	85.8142
157.500000	90.054	85.1611
160.000000	89.973	84.5620
162.500000	89.886	83.8796
165.000000	89.810	83.2793
167.500000	89.733	82.6349
170.000000	89.656	82.0656
172.500000	89.590	81.4755
175.000000	89.529	80.9318
177.500000	89.456	80.3667
180.000000	89.408	79.8749
182.500000	89.347	79.3174
185.000000	89.266	78.8192
187.500000	89.220	78.2638
190.000000	89.163	77.8223
192.500000	89.120	77.3408
195.000000	89.068	76.8707
197.500000	89.027	76.3660
200.000000	88.978	75.9005
203.000000	88.921	75.3764
206.000000	88.869	74.7972
209.000000	88.825	74.3074
212.000000	88.773	73.7591
214.000000	88.739	73.4594
218.000000	88.676	72.7716
220.000000	88.638	72.4607
224.000000	88.576	71.8189
227.000000	88.525	71.3450
230.000000	88.478	70.8596
233.000000	88.434	70.4346
236.000000	88.387	70.0414
240.000000	88.324	69.4369
243.000000	88.289	69.0541
247.000000	88.234	68.5156
250.000000	88.202	68.1669
254.000000	88.144	67.6472
258.000000	88.098	67.1714
262.000000	88.054	66.7208
265.000000	88.019	66.3885
269.000000	87.972	65.9834
272.000000	87.939	65.6537
276.000000	87.891	65.2893
280.000000	87.851	64.9295
285.000000	87.797	64.5201
290.000000	87.753	64.0962
295.000000	87.711	63.7628
300.000000	87.677	63.4223
304.000000	87.646	63.1212
307.000000	87.635	62.9468
311.000000	87.603	62.6621
315.000000	87.587	62.3944
320.000000	87.568	62.0550
325.000000	87.547	61.6989
330.000000	87.521	61.3336
335.000000	87.500	60.9617
340.000000	87.469	60.6290
345.000000	87.440	60.2844
350.000000	87.414	60.0546
355.000000	87.388	59.7842
360.000000	87.362	59.5351
365.000000	87.339	59.3893
370.000000	87.320	59.2309
375.000000	87.307	59.1301
382.000000	87.291	59.0029
387.000000	87.288	58.9081
395.000000	87.298	58.8141
400.000000	87.317	58.7219
406.000000	87.349	58.5004
412.000000	87.371	58.1943
418.000000	87.392	57.8699
425.000000	87.396	57.4388
431.000000	87.392	57.1161
437.000000	87.383	56.8381
444.000000	87.375	56.5789
450.000000	87.366	56.3302
455.000000	87.359	56.1226
462.000000	87.351	55.9275
468.000000	87.346	55.7577
475.000000	87.334	55.5598
482.000000	87.321	55.3945
487.000000	87.320	55.2859
494.000000	87.312	55.1482
500.000000	87.307	55.0771
508.000000	87.306	54.9955
515.000000	87.303	54.9270
522.000000	87.299	54.8685
530.000000	87.304	54.8625
538.000000	87.309	54.8216
545.000000	87.313	54.8214
552.000000	87.317	54.8208
560.000000	87.326	54.8495
570.000000	87.337	54.8956
580.000000	87.357	54.9490
590.000000	87.377	55.0137
600.000000	87.395	55.0616
608.000000	87.412	55.1312
615.000000	87.426	55.2120
622.000000	87.439	55.2646
630.000000	87.451	55.3467
640.000000	87.470	55.4558
650.000000	87.495	55.5886
660.000000	87.517	55.7241
670.000000	87.541	55.8982
680.000000	87.565	56.0678
690.000000	87.595	56.2921
700.000000	87.626	56.5208
710.000000	87.657	56.7482
720.000000	87.703	57.0133
730.000000	87.767	57.3028
740.000000	87.867	57.3166
750.000000	87.889	56.6349
762.000000	87.799	56.9173
775.000000	87.811	57.6019
788.000000	87.856	58.1596
800.000000	87.902	58.5939
812.000000	87.957	59.0457
825.000000	88.024	59.5335
838.000000	88.100	59.9485
850.000000	88.168	60.3429
862.000000	88.242	60.7907
875.000000	88.338	61.2495
885.000000	88.414	61.5746
900.000000	88.540	61.9725
912.000000	88.642	62.2605
925.000000	88.756	62.5178
938.000000	88.873	62.7405
950.000000	88.977	62.9195
962.000000	89.084	63.0663
975.000000	89.207	63.2071
988.000000	89.326	63.3087
1000.000000	89.437	63.3906
1015.000000	89.574	63.4117
1030.000000	89.706	63.4378
1044.000000	89.836	63.4151
1060.000000	89.977	63.3538
1075.000000	90.104	63.2791
1090.000000	90.220	63.1691
1106.000000	90.335	63.0361
1120.000000	90.434	62.8935
1138.000000	90.555	62.6878
1150.000000	90.632	62.5513
1172.000000	90.770	62.2834
1180.000000	90.821	62.1823
1206.000000	90.970	61.8247
1220.000000	91.067	61.6316
1241.000000	91.228	61.3419
1250.000000	91.295	61.2193
1265.000000	91.404	61.0252
1280.000000	91.514	60.8112
1315.000000	91.757	60.3724
1320.000000	91.791	60.3156
1340.000000	91.922	60.0865
1360.000000	92.093	59.8294
1380.000000	92.228	59.6183
1400.000000	92.364	59.4341
1430.000000	92.563	59.1346
1450.000000	92.696	58.9394
1475.000000	92.862	58.7513
1500.000000	93.028	58.5198
1525.000000	93.191	58.3115
1550.000000	93.328	58.1140
1575.000000	93.469	57.8880
1600.000000	93.611	57.6599
1625.000000	93.754	57.4204
1650.000000	93.894	57.1752
1675.000000	94.035	56.9176
1700.000000	94.180	56.6248
1725.000000	94.326	56.3260
