* Measurement data measured by REW V5.20.4
* Source: Headset (2- USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 2 Jan, 2023 12:21:17 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: 7A Stargazer 3 R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	97.894	-161.6090
20.600000	97.916	-162.6597
20.900000	97.929	-163.5653
21.200001	97.940	-164.4213
21.400000	97.949	-164.9728
21.799999	97.973	-166.0498
22.000000	97.987	-166.5869
22.400000	98.018	-167.6792
22.700001	98.042	-168.5242
23.000000	98.063	-169.3921
23.299999	98.080	-170.2731
23.600000	98.093	-171.1539
24.000000	98.103	-172.3070
24.299999	98.110	-173.1474
24.700001	98.117	-174.2411
25.000000	98.122	-175.0529
25.400000	98.127	-176.1359
25.799999	98.128	-177.2135
26.200001	98.125	-178.2632
26.500000	98.123	-179.0233
26.900000	98.121	179.9913
27.200001	98.118	179.2579
27.600000	98.112	178.2744
28.000000	98.095	177.3038
28.500000	98.058	176.1848
29.000000	98.021	175.2032
29.500000	98.006	174.2356
30.000000	98.008	173.0996
30.400000	98.004	172.0731
30.700001	97.990	171.3103
31.100000	97.960	170.4283
31.500000	97.933	169.7508
32.000000	97.926	169.0583
32.500000	97.942	168.2352
33.000000	97.938	167.1340
33.500000	97.885	165.9288
34.000000	97.810	164.8828
34.500000	97.761	164.0434
35.000000	97.749	163.2556
35.500000	97.749	162.4037
36.000000	97.733	161.5441
36.500000	97.699	160.7616
37.000000	97.661	160.0257
37.500000	97.625	159.2442
38.200001	97.572	158.0657
38.700001	97.532	157.2607
39.500000	97.485	156.0710
40.000000	97.454	155.3306
40.599998	97.402	154.4609
41.200001	97.347	153.6338
41.799999	97.301	152.7787
42.500000	97.247	151.7223
43.099998	97.195	150.8964
43.700001	97.152	150.1629
44.400002	97.112	149.2391
45.000000	97.063	148.3606
45.500000	97.010	147.6970
46.200001	96.948	146.9342
46.799999	96.918	146.2530
47.500000	96.871	145.2860
48.200001	96.788	144.3902
48.700001	96.731	143.9107
49.400002	96.687	143.2899
50.000000	96.664	142.5900
50.799999	96.604	141.5044
51.500000	96.528	140.6915
52.200001	96.466	140.0161
53.000000	96.414	139.2112
53.799999	96.354	138.3479
54.500000	96.291	137.6117
55.200001	96.227	136.8859
56.000000	96.154	136.0875
57.000000	96.072	135.2220
58.000000	96.005	134.3423
59.000000	95.922	133.3680
60.000000	95.828	132.4189
60.799999	95.749	131.7408
61.500000	95.682	131.2689
62.200001	95.634	130.7984
63.000000	95.589	130.0771
64.000000	95.507	129.1005
65.000000	95.410	128.3651
66.000000	95.326	127.7179
67.000000	95.260	126.9391
68.000000	95.191	126.1405
69.000000	95.125	125.5060
70.000000	95.065	124.8247
71.000000	94.996	124.0784
72.000000	94.928	123.3565
73.000000	94.856	122.6199
74.000000	94.788	121.8540
75.000000	94.723	121.0734
76.199997	94.631	120.2493
77.500000	94.535	119.4857
78.800003	94.477	118.6167
80.000000	94.389	117.8110
81.199997	94.287	117.1844
82.500000	94.191	116.3698
83.800003	94.110	115.6056
85.000000	94.030	114.8872
86.199997	93.950	114.2450
87.500000	93.866	113.4899
88.500000	93.801	112.9723
90.000000	93.704	112.1681
91.199997	93.626	111.5530
92.500000	93.550	110.8467
93.800003	93.466	110.2680
95.000000	93.392	109.6196
96.199997	93.320	108.9921
97.500000	93.245	108.3959
98.800003	93.167	107.7613
100.000000	93.098	107.0321
101.500000	93.010	106.5384
103.000000	92.926	105.8540
104.400002	92.858	105.0280
106.000000	92.749	104.4604
107.500000	92.662	103.8788
109.000000	92.585	103.2873
110.599998	92.510	102.7688
112.000000	92.457	102.0433
113.800003	92.329	101.3083
115.000000	92.260	100.9106
117.199997	92.184	100.0339
118.000000	92.123	99.6896
120.599998	92.018	98.8346
122.000000	91.922	98.2643
124.099998	91.839	97.4857
125.000000	91.778	97.2663
126.500000	91.732	96.7868
128.000000	91.654	96.3118
131.500000	91.515	95.1348
132.000000	91.491	94.9957
134.000000	91.407	94.3836
136.000000	91.331	93.7561
138.000000	91.249	93.1502
140.000000	91.173	92.5206
143.000000	91.056	91.6002
145.000000	90.983	91.0096
147.500000	90.888	90.2915
150.000000	90.810	89.5615
152.500000	90.703	88.9487
155.000000	90.614	88.2854
157.500000	90.523	87.6917
160.000000	90.429	87.0346
162.500000	90.354	86.3952
165.000000	90.260	85.7852
167.500000	90.175	85.1952
170.000000	90.100	84.6327
172.500000	90.027	84.0610
175.000000	89.955	83.4912
177.500000	89.888	82.9628
180.000000	89.824	82.4510
182.500000	89.752	81.9113
185.000000	89.682	81.3992
187.500000	89.625	80.8164
190.000000	89.562	80.3413
192.500000	89.503	79.8731
195.000000	89.447	79.3986
197.500000	89.391	78.8785
200.000000	89.339	78.4480
203.000000	89.277	77.9004
206.000000	89.215	77.3533
209.000000	89.157	76.8470
212.000000	89.101	76.3401
214.000000	89.060	75.9918
218.000000	88.984	75.3732
220.000000	88.943	75.0687
224.000000	88.865	74.4070
227.000000	88.811	73.9908
230.000000	88.754	73.5362
233.000000	88.706	73.1462
236.000000	88.652	72.6612
240.000000	88.585	72.1361
243.000000	88.543	71.7206
247.000000	88.484	71.2260
250.000000	88.430	70.8800
254.000000	88.395	70.3848
258.000000	88.333	69.8871
262.000000	88.288	69.4651
265.000000	88.248	69.1420
269.000000	88.200	68.6955
272.000000	88.165	68.3951
276.000000	88.119	68.0146
280.000000	88.078	67.6483
285.000000	88.022	67.2102
290.000000	87.969	66.7764
295.000000	87.925	66.3694
300.000000	87.894	65.9297
304.000000	87.862	65.6073
307.000000	87.840	65.3835
311.000000	87.819	65.0134
315.000000	87.786	64.6086
320.000000	87.760	64.2466
325.000000	87.724	63.8415
330.000000	87.695	63.4073
335.000000	87.666	63.0157
340.000000	87.631	62.6471
345.000000	87.592	62.2126
350.000000	87.565	61.8195
355.000000	87.532	61.5862
360.000000	87.496	61.2690
365.000000	87.472	61.0123
370.000000	87.438	60.7149
375.000000	87.415	60.5218
382.000000	87.384	60.1873
387.000000	87.366	60.0267
395.000000	87.335	59.6909
400.000000	87.311	59.5912
406.000000	87.307	59.3599
412.000000	87.290	59.1487
418.000000	87.285	58.9635
425.000000	87.282	58.7411
431.000000	87.274	58.5466
437.000000	87.258	58.3136
444.000000	87.249	58.1296
450.000000	87.235	57.9347
455.000000	87.228	57.7601
462.000000	87.221	57.6057
468.000000	87.210	57.4611
475.000000	87.199	57.3336
482.000000	87.194	57.2184
487.000000	87.189	57.1393
494.000000	87.192	57.0670
500.000000	87.193	57.0020
508.000000	87.201	56.9251
515.000000	87.210	56.8669
522.000000	87.225	56.7934
530.000000	87.236	56.6902
538.000000	87.251	56.5786
545.000000	87.263	56.5197
552.000000	87.273	56.4179
560.000000	87.283	56.2986
570.000000	87.298	56.2651
580.000000	87.312	56.1833
590.000000	87.327	56.1680
600.000000	87.342	56.1233
608.000000	87.355	56.1360
615.000000	87.365	56.1413
622.000000	87.377	56.1411
630.000000	87.391	56.1638
640.000000	87.399	56.2037
650.000000	87.421	56.2429
660.000000	87.440	56.3678
670.000000	87.458	56.4508
680.000000	87.481	56.5833
690.000000	87.504	56.6908
700.000000	87.525	56.8391
710.000000	87.554	56.9696
720.000000	87.584	57.1274
730.000000	87.612	57.2452
740.000000	87.647	57.3687
750.000000	87.666	57.5351
762.000000	87.706	57.7961
775.000000	87.739	57.9832
788.000000	87.769	58.3382
800.000000	87.814	58.6721
812.000000	87.860	59.0203
825.000000	87.920	59.4089
838.000000	87.982	59.7818
850.000000	88.049	60.1528
862.000000	88.126	60.5366
875.000000	88.211	60.9176
885.000000	88.290	61.2211
900.000000	88.401	61.5839
912.000000	88.509	61.8378
925.000000	88.618	62.0736
938.000000	88.732	62.2164
950.000000	88.839	62.3964
962.000000	88.944	62.4790
975.000000	89.067	62.5706
988.000000	89.191	62.5994
1000.000000	89.302	62.6328
1015.000000	89.441	62.5962
1030.000000	89.576	62.5244
1044.000000	89.703	62.4789
1060.000000	89.841	62.3195
1075.000000	89.969	62.1797
1090.000000	90.084	62.0171
1106.000000	90.199	61.8063
1120.000000	90.291	61.6104
1138.000000	90.412	61.3095
1150.000000	90.489	61.1034
1172.000000	90.621	60.7131
1180.000000	90.667	60.5819
1206.000000	90.809	60.0974
1220.000000	90.903	59.8555
1241.000000	91.061	59.4761
1250.000000	91.123	59.3284
1265.000000	91.227	59.0479
1280.000000	91.331	58.8139
1315.000000	91.558	58.2215
1320.000000	91.592	58.1580
1340.000000	91.714	57.8262
1360.000000	91.884	57.5466
1380.000000	92.013	57.2332
1400.000000	92.140	56.9750
1430.000000	92.324	56.5811
1450.000000	92.445	56.3405
1475.000000	92.596	56.0220
1500.000000	92.749	55.7554
1525.000000	92.901	55.4568
1550.000000	93.024	55.1775
1575.000000	93.147	54.9345
1600.000000	93.268	54.6670
1625.000000	93.395	54.3745
1650.000000	93.521	54.1032
1675.000000	93.646	53.8032
1700.000000	93.771	53.5055
1725.000000	93.901	53.1870
1750.000000	94.029	52.8545
1775.000000	94.162	52.4975
1800.000000	94.292	52.1144
1825.000000	94.424	51.7233
1850.000000	94.556	51.2987
1875.000000	94.682	50.8553
1900.000000	94.809	50.3849
1925.000000	94.937	49.8750
1950.000000	95.062	49.3281
1975.000000	95.181	48.7818
2000.000000	95.298	48.1784
2030.000000	95.434	47.4336
2060.000000	95.570	46.6431
2090.000000	95.697	45.7977
2120.000000	95.817	44.9221
2140.000000	95.893	44.3276
2180.000000	96.035	43.0555
2200.000000	96.098	42.4066
2240.000000	96.217	41.0640
2270.000000	96.295	40.0343
2300.000000	96.364	38.9835
2330.000000	96.420	37.9340
2360.000000	96.466	36.8491
2400.000000	96.511	35.4132
2430.000000	96.537	34.3479
2470.000000	96.550	32.9334
2500.000000	96.548	31.8823
2540.000000	96.529	30.5404
2580.000000	96.497	29.2415
2620.000000	96.447	28.0005
2650.000000	96.403	27.1235
2690.000000	96.331	26.0120
2720.000000	96.269	25.2313
2760.000000	96.176	24.2607
2800.000000	96.075	23.3933
2850.000000	95.935	22.4109
2900.000000	95.786	21.5771
2950.000000	95.625	20.9100
3000.000000	95.456	20.3959
3040.000000	95.316	20.1282
3070.000000	95.209	20.0164
3110.000000	95.063	19.9559
3150.000000	94.915	20.0742
3200.000000	94.736	20.5010
3250.000000	94.573	21.2244
3300.000000	94.446	22.3151
3350.000000	94.380	23.7240
3400.000000	94.403	25.2965
3450.000000	94.529	26.7327
3500.000000	94.742	27.7491
3550.000000	94.996	28.1404
3600.000000	95.251	27.9087
3650.000000	95.472	27.2142
3700.000000	95.644	26.1528
3750.000000	95.770	24.9612
3820.000000	95.871	23.1769
3870.000000	95.901	21.8992
3950.000000	95.891	19.8992
4000.000000	95.850	18.7042
4060.000000	95.777	17.3536
4120.000000	95.672	16.0872
4180.000000	95.542	14.9639
4250.000000	95.366	13.8148
4310.000000	95.195	13.0204
4370.000000	95.024	12.3386
4440.000000	94.814	11.6704
4500.000000	94.616	11.2168
4550.000000	94.443	10.9048
4620.000000	94.175	10.6335
4680.000000	93.926	10.6166
4750.000000	93.610	10.9865
4820.000000	93.286	11.7898
4870.000000	93.055	12.7348
4940.000000	92.754	14.5813
5000.000000	92.545	16.6973
5080.000000	92.395	20.2826
5150.000000	92.451	23.8009
5220.000000	92.737	27.1176
5300.000000	93.331	29.4449
5380.000000	94.001	29.0300
5450.000000	94.397	26.7542
5520.000000	94.495	23.9185
5600.000000	94.345	21.4236
5700.000000	93.997	20.0375
5800.000000	93.664	20.2813
5900.000000	93.438	21.5297
6000.000000	93.335	23.2404
6080.000000	93.347	24.6886
6150.000000	93.421	25.9139
6220.000000	93.557	27.0307
6300.000000	93.780	27.9932
6400.000000	94.148	28.6020
6500.000000	94.577	28.1916
6600.000000	95.016	26.5504
6700.000000	95.371	23.4840
6800.000000	95.518	19.2819
6900.000000	95.381	14.8496
7000.000000	95.000	11.5720
7100.000000	94.484	10.3559
7200.000000	94.057	11.2936
7300.000000	93.882	13.5818
7400.000000	94.023	15.9327
7500.000000	94.421	17.2069
7620.000000	95.024	16.4941
7750.000000	95.680	13.4164
7880.000000	95.929	8.9706
8000.000000	95.997	4.4595
8120.000000	95.944	-0.2318
8250.000000	95.786	-5.5040
8380.000000	95.505	-10.9921
8500.000000	95.143	-16.2511
8620.000000	94.661	-21.5374
8750.000000	93.967	-27.3182
8850.000000	93.326	-31.6708
9000.000000	92.160	-37.7074
9120.000000	91.051	-41.8689
9250.000000	89.692	-45.2046
9380.000000	88.228	-46.8591
9500.000000	86.873	-46.8279
9620.000000	85.595	-45.3682
9750.000000	84.350	-42.8716
9880.000000	83.211	-39.3701
10000.000000	82.301	-35.2393
10150.000000	81.376	-29.5770
10300.000000	80.654	-23.6235
10440.000000	80.199	-18.4283
10600.000000	79.807	-12.5031
10750.000000	79.667	-7.3141
10900.000000	79.647	-2.5966
11060.000000	79.738	1.7070
11200.000000	79.948	4.9470
11380.000000	80.301	8.1504
11500.000000	80.614	9.5780
11720.000000	81.272	11.0208
11800.000000	81.525	10.9203
12060.000000	82.412	8.2133
12200.000000	82.745	5.0022
12410.000000	83.146	-1.0029
12500.000000	83.195	-4.0134
12650.000000	83.098	-8.9241
12800.000000	82.851	-13.3788
13150.000000	81.956	-21.0724
13200.000000	81.806	-21.7554
13400.000000	81.320	-23.9436
13600.000000	80.947	-25.0520
13800.000000	80.868	-26.0681
14000.000000	80.985	-27.0446
14300.000000	81.726	-28.9418
14500.000000	82.669	-31.7941
14750.000000	84.372	-38.8345
15000.000000	86.719	-52.7852
15250.000000	89.088	-79.5609
15500.000000	89.551	-119.2572
15750.000000	87.079	-155.3108
16000.000000	83.745	-177.4279
16250.000000	81.000	168.8690
16500.000000	79.018	158.2318
16750.000000	77.552	148.5663
17000.000000	76.501	138.2150
17250.000000	75.909	126.8809
17500.000000	75.390	114.5045
17750.000000	75.112	100.3489
18000.000000	75.138	84.5678
18250.000000	75.274	64.6197
18500.000000	75.618	42.8189
18750.000000	76.214	15.8001
19000.000000	76.858	-15.9267
19250.000000	77.514	-56.3044
19500.000000	77.607	-105.9457
19750.000000	76.559	-162.7981
