* Measurement data measured by REW V5.20.4
* Source: Headset (2- USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 22 Oct, 2022 12:31:27 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: CC L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	95.810	-159.6964
20.600000	95.834	-160.7812
20.900000	95.848	-161.7167
21.200001	95.862	-162.6079
21.400000	95.875	-163.1920
21.799999	95.909	-164.3642
22.000000	95.929	-164.9638
22.400000	95.969	-166.2005
22.700001	95.995	-167.1484
23.000000	96.014	-168.0901
23.299999	96.025	-169.0012
23.600000	96.032	-169.8668
24.000000	96.038	-170.9442
24.299999	96.044	-171.7093
24.700001	96.058	-172.7086
25.000000	96.070	-173.4681
25.400000	96.087	-174.5118
25.799999	96.100	-175.5816
26.200001	96.109	-176.6503
26.500000	96.113	-177.4377
26.900000	96.115	-178.4646
27.200001	96.114	-179.2218
27.600000	96.112	179.7814
28.000000	96.108	178.8045
28.500000	96.099	177.6270
29.000000	96.091	176.4882
29.500000	96.085	175.3424
30.000000	96.072	174.1630
30.400000	96.055	173.2233
30.700001	96.036	172.5470
31.100000	96.008	171.7073
31.500000	95.982	170.9380
32.000000	95.960	170.0392
32.500000	95.951	169.1560
33.000000	95.954	168.2418
33.500000	95.959	167.2696
34.000000	95.958	166.2480
34.500000	95.948	165.2421
35.000000	95.929	164.3229
35.500000	95.910	163.4982
36.000000	95.895	162.7103
36.500000	95.880	161.9222
37.000000	95.862	161.1458
37.500000	95.842	160.3801
38.200001	95.803	159.2600
38.700001	95.748	158.4521
39.500000	95.631	157.3408
40.000000	95.564	156.6817
40.599998	95.492	155.7430
41.200001	95.422	154.6910
41.799999	95.379	153.6516
42.500000	95.378	152.3826
43.099998	95.372	151.3461
43.700001	95.351	150.6809
44.400002	95.346	150.1328
45.000000	95.320	149.3025
45.500000	95.238	148.4623
46.200001	95.106	147.6046
46.799999	95.091	146.9209
47.500000	95.113	145.5806
48.200001	95.038	144.5098
48.700001	94.980	144.3235
49.400002	94.973	143.9892
50.000000	94.939	142.9860
50.799999	94.784	141.6796
51.500000	94.717	141.1361
52.200001	94.730	140.3320
53.000000	94.655	139.1835
53.799999	94.524	138.5001
54.500000	94.466	137.8642
55.200001	94.447	136.9565
56.000000	94.434	135.7848
57.000000	94.319	134.5816
58.000000	94.201	134.3947
59.000000	94.252	133.3677
60.000000	94.111	131.4188
60.799999	93.918	131.2499
61.500000	93.913	131.5457
62.200001	94.008	130.7938
63.000000	93.983	128.9291
64.000000	93.727	127.7680
65.000000	93.612	128.2496
66.000000	93.710	127.7138
67.000000	93.704	125.6894
68.000000	93.467	124.3543
69.000000	93.284	124.6436
70.000000	93.326	124.5992
71.000000	93.380	123.3238
72.000000	93.312	121.8341
73.000000	93.152	120.7644
74.000000	92.980	120.2792
75.000000	92.883	120.2378
76.199997	92.905	120.0237
77.500000	92.943	118.7194
78.800003	92.844	117.0426
80.000000	92.691	115.9011
81.199997	92.518	115.2625
82.500000	92.373	115.0132
83.800003	92.304	114.7896
85.000000	92.298	114.3844
86.199997	92.288	113.7416
87.500000	92.274	112.7580
88.500000	92.233	111.8751
90.000000	92.153	110.7097
91.199997	92.080	109.8022
92.500000	91.997	108.8488
93.800003	91.901	107.8957
95.000000	91.809	107.2485
96.199997	91.734	106.5830
97.500000	91.655	105.9523
98.800003	91.590	105.3492
100.000000	91.541	104.8697
101.500000	91.468	104.2008
103.000000	91.404	103.7088
104.400002	91.370	103.1359
106.000000	91.259	102.9059
107.500000	91.122	102.4687
109.000000	90.993	102.1050
110.599998	90.851	101.3642
112.000000	90.761	100.3329
113.800003	90.715	99.1150
115.000000	90.636	98.5451
117.199997	90.602	97.9763
118.000000	90.573	97.7157
120.599998	90.389	96.7544
122.000000	90.321	96.0441
124.099998	90.266	95.2354
125.000000	90.225	95.0182
126.500000	90.137	94.5848
128.000000	90.067	93.9183
131.500000	89.940	92.8123
132.000000	89.916	92.6388
134.000000	89.836	91.8445
136.000000	89.750	91.3080
138.000000	89.669	90.4774
140.000000	89.613	90.0118
143.000000	89.496	88.9041
145.000000	89.413	88.5486
147.500000	89.320	87.6040
150.000000	89.221	86.8965
152.500000	89.144	86.3143
155.000000	89.047	85.5235
157.500000	88.939	84.8553
160.000000	88.896	84.0256
162.500000	88.792	83.6289
165.000000	88.683	83.0478
167.500000	88.600	82.3879
170.000000	88.543	81.8316
172.500000	88.437	81.3249
175.000000	88.354	80.7269
177.500000	88.273	80.1349
180.000000	88.197	79.6852
182.500000	88.105	79.2011
185.000000	88.034	78.7549
187.500000	87.916	78.2635
190.000000	87.854	77.7551
192.500000	87.739	77.6550
195.000000	87.646	76.9733
197.500000	87.586	77.1005
200.000000	87.440	77.1741
203.000000	87.294	77.7834
206.000000	87.207	78.4860
209.000000	87.282	80.4382
212.000000	87.542	80.8246
214.000000	87.801	80.4423
218.000000	88.106	78.0240
220.000000	88.148	76.7834
224.000000	88.098	74.5124
227.000000	88.005	73.4692
230.000000	87.924	72.4926
233.000000	87.863	71.5493
236.000000	87.743	70.9860
240.000000	87.673	70.2726
243.000000	87.631	69.5780
247.000000	87.546	68.9549
250.000000	87.496	68.4886
254.000000	87.423	68.0166
258.000000	87.368	67.4520
262.000000	87.323	66.9077
265.000000	87.274	66.5471
269.000000	87.224	66.0331
272.000000	87.187	65.7565
276.000000	87.135	65.2875
280.000000	87.097	64.9378
285.000000	87.039	64.3738
290.000000	86.991	63.9510
295.000000	86.939	63.4981
300.000000	86.890	63.0030
304.000000	86.863	62.6582
307.000000	86.836	62.4380
311.000000	86.804	62.0841
315.000000	86.777	61.7667
320.000000	86.741	61.4089
325.000000	86.707	61.0419
330.000000	86.671	60.6493
335.000000	86.637	60.3078
340.000000	86.606	59.9613
345.000000	86.582	59.6561
350.000000	86.562	59.3531
355.000000	86.528	59.1033
360.000000	86.499	58.8076
365.000000	86.480	58.6025
370.000000	86.454	58.3715
375.000000	86.434	58.0812
382.000000	86.411	57.8582
387.000000	86.390	57.6712
395.000000	86.370	57.4026
400.000000	86.360	57.2590
406.000000	86.351	57.0259
412.000000	86.349	56.8239
418.000000	86.333	56.5577
425.000000	86.315	56.2876
431.000000	86.298	56.0868
437.000000	86.278	55.9059
444.000000	86.249	55.7260
450.000000	86.226	55.6677
455.000000	86.207	55.6036
462.000000	86.178	55.5352
468.000000	86.152	55.5499
475.000000	86.121	55.6574
482.000000	86.096	55.9325
487.000000	86.096	56.2321
494.000000	86.132	56.7577
500.000000	86.216	57.1160
508.000000	86.361	57.0977
515.000000	86.461	56.5797
522.000000	86.497	56.0401
530.000000	86.508	55.5594
538.000000	86.502	55.2412
545.000000	86.499	55.0606
552.000000	86.496	54.9180
560.000000	86.493	54.8464
570.000000	86.491	54.7467
580.000000	86.492	54.7187
590.000000	86.499	54.7484
600.000000	86.509	54.7503
608.000000	86.521	54.8167
615.000000	86.527	54.9052
622.000000	86.539	54.9648
630.000000	86.551	55.0392
640.000000	86.569	55.1946
650.000000	86.585	55.2993
660.000000	86.605	55.4752
670.000000	86.630	55.5940
680.000000	86.651	55.8062
690.000000	86.682	55.9796
700.000000	86.710	56.2271
710.000000	86.743	56.4783
720.000000	86.786	56.7450
730.000000	86.838	57.0068
740.000000	86.939	57.1514
750.000000	87.006	56.6187
762.000000	86.926	56.5577
775.000000	86.922	57.1572
788.000000	86.953	57.6678
800.000000	87.006	58.1279
812.000000	87.054	58.5419
825.000000	87.123	59.0238
838.000000	87.188	59.4752
