* Measurement data measured by REW V5.20.4
* Source: Microphone (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 15 Feb, 2022 1:16:49 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Starsea Bass L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	97.826	163.4180
20.299999	97.807	163.1521
20.600000	97.786	162.8738
20.900000	97.762	162.5991
21.200001	97.734	162.3318
21.400000	97.715	162.1680
21.799999	97.678	161.8828
22.000000	97.661	161.7563
22.400000	97.632	161.5049
22.700001	97.614	161.3110
23.000000	97.597	161.0998
23.299999	97.579	160.8693
23.600000	97.557	160.6416
24.000000	97.526	160.3715
24.299999	97.503	160.2025
24.700001	97.479	160.0161
25.000000	97.467	159.8818
25.400000	97.458	159.6668
25.799999	97.449	159.4028
26.200001	97.435	159.1020
26.500000	97.419	158.8757
26.900000	97.391	158.6071
27.200001	97.366	158.4317
27.600000	97.336	158.2230
28.000000	97.309	158.0282
28.500000	97.277	157.7681
29.000000	97.243	157.4857
29.500000	97.202	157.1894
30.000000	97.153	156.9291
30.400000	97.114	156.7659
30.700001	97.087	156.6747
31.100000	97.057	156.5661
31.500000	97.035	156.4285
32.000000	97.008	156.1763
32.500000	96.971	155.8559
33.000000	96.920	155.5622
33.500000	96.864	155.3402
34.000000	96.816	155.1577
34.500000	96.781	154.9402
35.000000	96.743	154.6852
35.500000	96.700	154.4366
36.000000	96.657	154.2288
36.500000	96.619	154.0396
37.000000	96.583	153.8464
37.500000	96.546	153.6506
38.200001	96.495	153.4102
38.700001	96.458	153.2437
39.500000	96.398	152.9450
40.000000	96.354	152.7674
40.599998	96.301	152.5946
41.200001	96.251	152.4451
41.799999	96.203	152.2802
42.500000	96.144	152.0764
43.099998	96.094	151.9199
43.700001	96.047	151.7640
44.400002	95.993	151.5560
45.000000	95.943	151.3813
45.500000	95.902	151.2603
46.200001	95.851	151.0959
46.799999	95.808	150.9169
47.500000	95.748	150.7409
48.200001	95.696	150.6704
48.700001	95.672	150.5962
49.400002	95.636	150.3337
50.000000	95.579	150.0818
50.799999	95.488	149.9886
51.500000	95.435	150.0172
52.200001	95.396	149.9267
53.000000	95.336	149.7618
53.799999	95.272	149.6530
54.500000	95.218	149.5568
55.200001	95.164	149.4636
56.000000	95.105	149.3519
57.000000	95.026	149.1930
58.000000	94.950	149.0994
59.000000	94.875	148.9766
60.000000	94.800	148.9317
60.799999	94.756	148.8252
61.500000	94.704	148.6802
62.200001	94.646	148.6561
63.000000	94.602	148.6447
64.000000	94.533	148.4652
65.000000	94.455	148.4908
66.000000	94.403	148.4637
67.000000	94.339	148.3726
68.000000	94.279	148.2863
