* Measurement data measured by REW V5.20.4
* Source: Microphone (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 15 Feb, 2022 1:09:46 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Starsea Bass R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	97.190	164.9423
20.299999	97.186	164.7091
20.600000	97.178	164.4365
20.900000	97.163	164.1480
21.200001	97.137	163.8738
21.400000	97.116	163.7303
21.799999	97.076	163.5657
22.000000	97.061	163.5372
22.400000	97.053	163.5134
22.700001	97.067	163.4471
23.000000	97.089	163.2588
23.299999	97.106	162.9272
23.600000	97.106	162.5017
24.000000	97.073	161.9177
24.299999	97.026	161.5805
24.700001	96.956	161.3615
25.000000	96.916	161.3486
25.400000	96.896	161.3911
25.799999	96.908	161.3083
26.200001	96.925	160.9808
26.500000	96.921	160.6099
26.900000	96.883	160.0921
27.200001	96.831	159.7931
27.600000	96.755	159.6035
28.000000	96.697	159.6273
28.500000	96.675	159.7031
29.000000	96.686	159.5381
29.500000	96.684	159.0849
30.000000	96.644	158.5760
30.400000	96.596	158.2760
30.700001	96.559	158.1379
31.100000	96.519	158.0167
31.500000	96.489	157.8953
32.000000	96.454	157.7004
32.500000	96.413	157.5065
33.000000	96.372	157.3814
33.500000	96.341	157.2759
34.000000	96.319	157.1003
34.500000	96.294	156.8422
35.000000	96.257	156.5986
35.500000	96.218	156.4337
36.000000	96.191	156.3019
36.500000	96.172	156.1092
37.000000	96.147	155.8505
37.500000	96.110	155.6012
38.200001	96.055	155.3726
38.700001	96.023	155.2351
39.500000	95.974	154.9252
40.000000	95.935	154.7175
40.599998	95.884	154.5063
41.200001	95.833	154.3185
41.799999	95.779	154.1420
42.500000	95.714	153.9982
43.099998	95.669	153.9119
43.700001	95.632	153.7709
44.400002	95.583	153.5264
45.000000	95.529	153.3483
45.500000	95.486	153.2638
46.200001	95.441	153.1740
46.799999	95.410	153.0320
47.500000	95.362	152.8416
48.200001	95.311	152.7627
48.700001	95.288	152.7337
49.400002	95.266	152.5504
50.000000	95.226	152.2736
50.799999	95.136	152.0629
51.500000	95.069	152.0947
52.200001	95.025	152.0803
53.000000	94.969	151.9406
53.799999	94.904	151.8417
54.500000	94.853	151.7650
55.200001	94.805	151.6514
56.000000	94.750	151.5061
57.000000	94.678	151.3237
58.000000	94.608	151.2489
59.000000	94.558	151.1602
60.000000	94.485	150.9448
60.799999	94.418	150.9302
61.500000	94.379	150.9695
62.200001	94.348	150.8762
63.000000	94.288	150.6965
64.000000	94.199	150.6937
65.000000	94.152	150.7735
66.000000	94.118	150.5715
67.000000	94.039	150.3086
68.000000	93.958	150.3870
69.000000	93.916	150.4320
70.000000	93.866	150.3951
71.000000	93.826	150.3375
72.000000	93.761	150.1581
73.000000	93.679	150.2186
74.000000	93.635	150.3564
75.000000	93.598	150.2576
76.199997	93.514	150.1669
77.500000	93.443	150.2668
78.800003	93.377	150.2363
80.000000	93.314	150.2370
81.199997	93.245	150.2319
82.500000	93.181	150.2755
83.800003	93.100	150.3183
85.000000	93.052	150.4544
86.199997	92.994	150.4348
87.500000	92.939	150.4510
88.500000	92.882	150.3778
90.000000	92.808	150.4995
91.199997	92.756	150.4700
92.500000	92.694	150.5835
93.800003	92.650	150.6387
95.000000	92.586	150.6629
96.199997	92.533	150.7809
97.500000	92.475	150.7985
98.800003	92.412	150.7433
100.000000	92.332	150.8613
101.500000	92.298	150.9921
103.000000	92.237	151.0948
104.400002	92.195	151.1362
106.000000	92.126	151.2952
107.500000	92.066	151.4336
109.000000	92.011	151.5337
110.599998	91.949	151.6200
112.000000	91.895	151.6764
113.800003	91.828	151.8259
115.000000	91.782	151.9369
117.199997	91.707	152.1003
118.000000	91.678	152.1781
120.599998	91.591	152.3717
122.000000	91.548	152.4775
124.099998	91.475	152.6721
125.000000	91.449	152.7703
126.500000	91.406	152.8823
128.000000	91.356	152.9835
131.500000	91.256	153.2957
132.000000	91.240	153.3388
134.000000	91.185	153.5320
136.000000	91.124	153.6763
138.000000	91.068	153.8448
140.000000	91.014	154.0355
143.000000	90.936	154.3306
145.000000	90.880	154.4921
147.500000	90.817	154.6479
150.000000	90.773	154.5381
152.500000	90.703	155.1442
155.000000	90.637	155.4283
157.500000	90.569	155.6917
160.000000	90.505	155.8953
162.500000	90.446	156.1227
165.000000	90.389	156.3583
167.500000	90.332	156.5794
170.000000	90.277	156.8245
172.500000	90.227	157.0695
175.000000	90.178	157.2944
177.500000	90.133	157.5156
180.000000	90.088	157.7383
182.500000	90.046	157.9995
185.000000	90.000	158.2424
187.500000	89.957	158.4755
190.000000	89.914	158.7132
192.500000	89.879	158.9244
195.000000	89.848	159.1474
197.500000	89.811	159.4146
200.000000	89.775	159.6382
203.000000	89.731	159.9036
206.000000	89.694	160.1696
209.000000	89.656	160.4464
212.000000	89.620	160.7263
214.000000	89.596	160.9055
218.000000	89.541	161.2602
220.000000	89.514	161.4281
224.000000	89.464	161.7921
227.000000	89.429	162.0693
230.000000	89.393	162.3597
233.000000	89.357	162.5901
236.000000	89.325	162.8392
240.000000	89.278	163.2012
243.000000	89.246	163.4438
247.000000	89.216	163.8102
250.000000	89.215	164.1571
254.000000	89.143	164.3793
258.000000	89.110	164.6990
262.000000	89.080	165.0511
265.000000	89.051	165.2867
269.000000	89.021	165.6097
272.000000	88.994	165.8549
276.000000	88.959	166.1668
280.000000	88.925	166.4902
285.000000	88.885	166.8976
290.000000	88.846	167.2810
295.000000	88.804	167.6701
300.000000	88.768	168.0362
304.000000	88.731	168.3741
307.000000	88.709	168.6030
311.000000	88.682	168.8914
315.000000	88.650	169.2152
320.000000	88.615	169.5942
325.000000	88.579	169.9841
330.000000	88.545	170.3885
335.000000	88.513	170.7647
340.000000	88.484	171.1489
345.000000	88.460	171.5179
350.000000	88.454	171.9896
355.000000	88.398	172.2968
360.000000	88.376	172.6676
365.000000	88.347	173.0669
370.000000	88.326	173.4613
375.000000	88.305	173.8424
382.000000	88.274	174.4335
387.000000	88.258	174.8314
395.000000	88.233	175.4495
400.000000	88.229	175.8082
406.000000	88.216	176.2248
412.000000	88.203	176.5957
418.000000	88.186	176.9639
425.000000	88.166	177.3598
431.000000	88.148	177.7382
437.000000	88.125	178.0882
444.000000	88.101	178.5143
450.000000	88.041	179.0050
455.000000	88.056	179.1904
462.000000	88.029	179.6230
468.000000	88.006	-179.9682
475.000000	87.981	-179.5484
482.000000	87.955	-179.0639
487.000000	87.940	-178.7332
494.000000	87.921	-178.2249
500.000000	87.900	-177.8270
508.000000	87.875	-177.2652
515.000000	87.860	-176.7354
522.000000	87.842	-176.1912
530.000000	87.832	-175.5436
538.000000	87.828	-174.9136
545.000000	87.831	-174.4250
552.000000	87.837	-173.8727
560.000000	87.853	-173.3855
570.000000	87.849	-172.8219
580.000000	87.846	-172.2010
590.000000	87.844	-171.6351
600.000000	87.840	-171.0259
608.000000	87.832	-170.5392
615.000000	87.829	-170.1034
622.000000	87.822	-169.6645
630.000000	87.816	-169.1632
640.000000	87.812	-168.5490
650.000000	87.801	-168.1054
660.000000	87.797	-167.2633
670.000000	87.793	-166.6408
680.000000	87.790	-166.0205
690.000000	87.780	-165.3197
700.000000	87.775	-164.6467
710.000000	87.772	-163.9627
720.000000	87.771	-163.2651
730.000000	87.770	-162.5534
740.000000	87.778	-161.8641
750.000000	87.800	-161.0270
762.000000	87.796	-160.2917
775.000000	87.811	-159.3524
788.000000	87.829	-158.4240
800.000000	87.853	-157.5642
812.000000	87.877	-156.6721
825.000000	87.909	-155.7241
838.000000	87.946	-154.7409
850.000000	87.985	-153.7261
862.000000	88.035	-152.9752
875.000000	88.095	-152.0299
885.000000	88.144	-151.2806
900.000000	88.230	-150.2018
912.000000	88.307	-149.3405
925.000000	88.398	-148.4325
938.000000	88.507	-147.5912
950.000000	88.595	-146.7789
962.000000	88.718	-146.2007
975.000000	88.842	-145.5787
988.000000	88.969	-145.0237
1000.000000	89.089	-144.5562
1015.000000	89.233	-144.0624
1030.000000	89.377	-143.6389
1044.000000	89.499	-143.3145
1060.000000	89.638	-142.9800
1075.000000	89.761	-142.7100
1090.000000	89.868	-142.4513
1106.000000	89.974	-142.1952
1120.000000	90.065	-141.9994
1138.000000	90.176	-141.7666
1150.000000	90.234	-141.7275
1172.000000	90.374	-141.3663
1180.000000	90.417	-141.2923
1206.000000	90.556	-141.0132
1220.000000	90.652	-140.8378
1241.000000	90.804	-140.6277
1250.000000	90.882	-140.5716
1265.000000	90.984	-140.4187
1280.000000	91.093	-140.2426
1315.000000	91.339	-139.9138
1320.000000	91.376	-139.8533
1340.000000	91.520	-139.6695
1360.000000	91.706	-139.5018
1380.000000	91.866	-139.3224
1400.000000	92.020	-139.1547
1430.000000	92.257	-138.9065
1450.000000	92.421	-138.8264
1475.000000	92.635	-138.6724
1500.000000	92.852	-138.6376
1525.000000	93.074	-138.6818
1550.000000	93.275	-138.7077
1575.000000	93.473	-138.9322
1600.000000	93.680	-139.2867
1625.000000	93.888	-139.7322
1650.000000	94.095	-140.3508
1675.000000	94.284	-141.0849
1700.000000	94.468	-141.9772
1725.000000	94.635	-143.0338
1750.000000	94.785	-144.2274
1775.000000	94.908	-145.5007
1800.000000	95.003	-146.8609
1825.000000	95.066	-148.2747
1850.000000	95.094	-149.6837
1875.000000	95.095	-151.0431
1900.000000	95.068	-152.3389
1925.000000	95.014	-153.5132
1950.000000	94.939	-154.5683
1975.000000	94.848	-155.4918
2000.000000	94.747	-156.2782
2030.000000	94.617	-157.0138
2060.000000	94.484	-157.5640
2090.000000	94.352	-157.9557
2120.000000	94.224	-158.2181
2140.000000	94.143	-158.3025
2180.000000	93.993	-158.3537
2200.000000	93.921	-158.3029
2240.000000	93.795	-158.1366
2270.000000	93.713	-157.9315
2300.000000	93.636	-157.7172
2330.000000	93.576	-157.4474
2360.000000	93.521	-157.1525
2400.000000	93.463	-156.7873
2430.000000	93.424	-156.4830
2470.000000	93.389	-156.1048
2500.000000	93.367	-155.8384
2540.000000	93.347	-155.5001
2580.000000	93.332	-155.1626
2620.000000	93.325	-154.8992
2650.000000	93.322	-154.7097
2690.000000	93.321	-154.5072
2720.000000	93.325	-154.3682
2760.000000	93.327	-154.2077
2800.000000	93.333	-154.1257
2850.000000	93.340	-154.0527
2900.000000	93.351	-154.0545
2950.000000	93.361	-154.1374
3000.000000	93.361	-154.2553
3040.000000	93.362	-154.4514
3070.000000	93.358	-154.6591
3110.000000	93.349	-154.8824
