* Measurement data measured by REW V5.20.4
* Source: Microphone (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 15 Feb, 2022 1:17:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Starsea Balanced L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	97.932	166.8571
20.299999	97.923	166.6804
20.600000	97.915	166.4712
20.900000	97.905	166.2355
21.200001	97.890	165.9815
21.400000	97.878	165.8215
21.799999	97.851	165.5466
22.000000	97.838	165.4302
22.400000	97.818	165.2044
22.700001	97.808	165.0226
23.000000	97.798	164.8104
23.299999	97.783	164.5751
23.600000	97.762	164.3536
24.000000	97.731	164.1245
24.299999	97.712	164.0024
24.700001	97.701	163.8550
25.000000	97.701	163.6956
25.400000	97.700	163.3640
25.799999	97.678	162.9586
26.200001	97.633	162.6161
26.500000	97.593	162.4729
26.900000	97.548	162.4396
27.200001	97.531	162.4481
27.600000	97.530	162.3587
28.000000	97.530	162.0706
28.500000	97.488	161.5588
29.000000	97.398	161.2670
29.500000	97.315	161.3940
30.000000	97.294	161.6999
30.400000	97.323	161.7586
30.700001	97.349	161.6143
31.100000	97.363	161.2251
31.500000	97.343	160.7687
32.000000	97.280	160.3612
32.500000	97.215	160.2071
33.000000	97.176	160.1434
33.500000	97.151	159.9816
34.000000	97.120	159.7147
34.500000	97.078	159.4573
35.000000	97.033	159.2918
35.500000	96.999	159.1747
36.000000	96.976	159.0240
36.500000	96.952	158.8132
37.000000	96.921	158.5961
37.500000	96.886	158.4155
38.200001	96.842	158.2163
38.700001	96.810	158.0696
39.500000	96.756	157.8357
40.000000	96.721	157.7120
40.599998	96.680	157.5744
41.200001	96.638	157.4399
41.799999	96.594	157.3212
42.500000	96.544	157.2034
43.099998	96.503	157.0916
43.700001	96.460	156.9677
44.400002	96.406	156.8447
45.000000	96.363	156.7574
45.500000	96.331	156.6662
46.200001	96.285	156.5032
46.799999	96.242	156.3704
47.500000	96.195	156.2563
48.200001	96.157	156.1184
48.700001	96.130	155.9731
49.400002	96.080	155.7667
50.000000	96.030	155.6676
50.799999	95.973	155.6382
51.500000	95.934	155.6213
52.200001	95.898	155.5849
53.000000	95.857	155.5242
53.799999	95.809	155.4526
54.500000	95.763	155.4108
55.200001	95.718	155.3907
56.000000	95.672	155.3415
57.000000	95.608	155.2230
58.000000	95.538	155.1452
59.000000	95.474	155.0831
60.000000	95.410	155.0245
60.799999	95.369	154.9592
61.500000	95.327	154.8734
62.200001	95.280	154.8668
63.000000	95.244	154.9131
64.000000	95.203	154.7755
65.000000	95.135	154.7253
66.000000	95.085	154.7314
67.000000	95.025	154.7078
68.000000	94.979	154.7537
69.000000	94.925	154.6758
70.000000	94.872	154.7619
71.000000	94.834	154.6918
72.000000	94.772	154.7334
73.000000	94.744	154.7171
74.000000	94.669	154.6300
75.000000	94.630	154.9088
76.199997	94.607	154.6831
77.500000	94.517	154.6920
78.800003	94.451	154.7155
80.000000	94.392	154.8642
81.199997	94.342	154.8935
82.500000	94.291	154.9645
83.800003	94.227	154.9121
85.000000	94.167	155.0692
86.199997	94.134	155.1307
87.500000	94.080	155.1336
88.500000	94.041	155.1898
90.000000	93.978	155.2707
91.199997	93.934	155.3421
92.500000	93.882	155.4293
93.800003	93.837	155.4924
95.000000	93.788	155.5613
96.199997	93.745	155.6503
97.500000	93.705	155.7363
98.800003	93.654	155.7426
100.000000	93.595	155.8525
101.500000	93.532	156.0250
103.000000	93.490	156.3717
104.400002	93.482	156.3286
106.000000	93.425	156.4215
107.500000	93.383	156.4534
109.000000	93.341	156.5267
110.599998	93.276	156.7722
112.000000	93.263	156.7813
113.800003	93.193	156.8963
115.000000	93.161	156.9727
117.199997	93.100	157.1384
118.000000	93.079	157.2050
120.599998	93.010	157.3997
122.000000	92.974	157.5107
124.099998	92.916	157.6915
125.000000	92.901	157.7715
126.500000	92.860	157.8257
128.000000	92.822	157.9706
131.500000	92.739	158.2565
132.000000	92.727	158.2996
134.000000	92.683	158.4674
136.000000	92.637	158.6067
138.000000	92.595	158.7696
140.000000	92.556	158.9388
143.000000	92.489	159.2009
145.000000	92.446	159.3323
147.500000	92.397	159.4795
150.000000	92.361	159.3910
152.500000	92.308	159.9100
155.000000	92.250	160.1547
157.500000	92.194	160.3727
160.000000	92.145	160.5739
162.500000	92.097	160.8068
165.000000	92.051	160.9826
167.500000	92.004	161.1757
170.000000	91.959	161.3831
172.500000	91.920	161.5980
175.000000	91.880	161.7998
177.500000	91.843	162.0181
180.000000	91.810	162.2181
182.500000	91.773	162.4025
185.000000	91.733	162.6338
187.500000	91.701	162.8326
190.000000	91.668	163.0128
192.500000	91.636	163.2007
195.000000	91.605	163.4203
197.500000	91.576	163.6351
200.000000	91.544	163.8320
203.000000	91.509	164.0784
