* Measurement data measured by REW V5.20.4
* Source: Microphone (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 15 Feb, 2022 1:10:46 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Starsea Balanced R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	97.272	168.7347
20.299999	97.275	168.5731
20.600000	97.280	168.3524
20.900000	97.280	168.0861
21.200001	97.270	167.8010
21.400000	97.259	167.6294
21.799999	97.233	167.3586
22.000000	97.221	167.2585
22.400000	97.205	167.0876
22.700001	97.199	166.9600
23.000000	97.196	166.8071
23.299999	97.191	166.6254
23.600000	97.184	166.4354
24.000000	97.171	166.1903
24.299999	97.161	166.0107
24.700001	97.147	165.7665
25.000000	97.134	165.5732
25.400000	97.111	165.3067
25.799999	97.078	165.0823
26.200001	97.041	164.9323
26.500000	97.017	164.8667
26.900000	96.990	164.8209
27.200001	96.974	164.7834
27.600000	96.960	164.6994
28.000000	96.948	164.5738
28.500000	96.931	164.3624
29.000000	96.909	164.1203
29.500000	96.881	163.8659
30.000000	96.849	163.6352
30.400000	96.827	163.4620
30.700001	96.812	163.3334
31.100000	96.792	163.1469
31.500000	96.769	162.9422
32.000000	96.735	162.6958
32.500000	96.698	162.4843
33.000000	96.663	162.2992
33.500000	96.624	162.1122
34.000000	96.583	161.9553
34.500000	96.549	161.8611
35.000000	96.529	161.8022
35.500000	96.521	161.6763
36.000000	96.510	161.4468
36.500000	96.485	161.1807
37.000000	96.451	160.9775
37.500000	96.419	160.8370
38.200001	96.384	160.6329
38.700001	96.352	160.4547
39.500000	96.293	160.2387
40.000000	96.260	160.1509
40.599998	96.228	160.0258
41.200001	96.194	159.8735
41.799999	96.157	159.7405
42.500000	96.118	159.6085
43.099998	96.090	159.4567
43.700001	96.054	159.2715
44.400002	96.002	159.1044
45.000000	95.960	159.0327
45.500000	95.931	158.9747
46.200001	95.893	158.8488
46.799999	95.855	158.7308
47.500000	95.810	158.6161
48.200001	95.764	158.4836
48.700001	95.724	158.3993
49.400002	95.668	158.3942
50.000000	95.640	158.4503
50.799999	95.623	158.3489
51.500000	95.589	158.1020
52.200001	95.534	157.9631
53.000000	95.486	157.9579
53.799999	95.455	157.8682
54.500000	95.414	157.7363
55.200001	95.366	157.6891
56.000000	95.325	157.6689
57.000000	95.272	157.5688
58.000000	95.217	157.5053
59.000000	95.165	157.3839
60.000000	95.098	157.2911
60.799999	95.057	157.2534
61.500000	95.022	157.1930
62.200001	94.986	157.1707
63.000000	94.955	157.1694
64.000000	94.914	157.0494
65.000000	94.849	157.0789
66.000000	94.821	157.2509
67.000000	94.795	157.0666
68.000000	94.709	157.0581
69.000000	94.681	157.2677
70.000000	94.643	157.0247
71.000000	94.565	157.1166
72.000000	94.553	157.1482
73.000000	94.492	156.9527
74.000000	94.445	157.1602
75.000000	94.427	157.0548
76.199997	94.360	157.0821
77.500000	94.309	156.9995
78.800003	94.244	157.1566
80.000000	94.204	156.9747
81.199997	94.130	157.0915
82.500000	94.096	157.0515
83.800003	94.032	157.1210
85.000000	93.999	157.1848
86.199997	93.945	157.1635
87.500000	93.888	157.3881
88.500000	93.874	157.4065
90.000000	93.802	157.4035
91.199997	93.767	157.4509
92.500000	93.714	157.5151
93.800003	93.679	157.5781
95.000000	93.636	157.6236
96.199997	93.597	157.6962
97.500000	93.564	157.7521
98.800003	93.508	157.6985
100.000000	93.457	157.9476
101.500000	93.435	157.9973
103.000000	93.389	158.0983
104.400002	93.349	158.1364
106.000000	93.304	158.2513
107.500000	93.257	158.3157
109.000000	93.211	158.4329
110.599998	93.171	158.5742
112.000000	93.138	158.6122
113.800003	93.089	158.7045
115.000000	93.050	158.7883
117.199997	92.999	158.9350
118.000000	92.977	159.0078
120.599998	92.917	159.1953
122.000000	92.881	159.2753
124.099998	92.831	159.4203
125.000000	92.810	159.4998
126.500000	92.781	159.5862
128.000000	92.746	159.6913
131.500000	92.681	159.9409
132.000000	92.669	159.9729
134.000000	92.628	160.1022
136.000000	92.585	160.2674
138.000000	92.550	160.4179
140.000000	92.511	160.5630
143.000000	92.450	160.7920
145.000000	92.423	160.9103
147.500000	92.390	161.0623
150.000000	92.392	161.3640
152.500000	92.298	161.5015
155.000000	92.245	161.6539
157.500000	92.200	161.8224
160.000000	92.159	161.9761
162.500000	92.112	162.1634
165.000000	92.069	162.3442
167.500000	92.028	162.5133
170.000000	91.989	162.6909
172.500000	91.954	162.8653
175.000000	91.921	163.0196
177.500000	91.890	163.1909
180.000000	91.858	163.3605
182.500000	91.826	163.5428
185.000000	91.800	163.7100
187.500000	91.769	163.8731
190.000000	91.738	164.0443
192.500000	91.712	164.2030
195.000000	91.688	164.3693
197.500000	91.666	164.5302
200.000000	91.643	164.7042
203.000000	91.614	164.8995
206.000000	91.588	165.0851
209.000000	91.562	165.2590
212.000000	91.537	165.4629
214.000000	91.519	165.5747
218.000000	91.482	165.8455
220.000000	91.465	165.9646
224.000000	91.427	166.2155
227.000000	91.402	166.3989
230.000000	91.375	166.5753
233.000000	91.348	166.7704
236.000000	91.323	166.9564
240.000000	91.289	167.1812
243.000000	91.268	167.3531
247.000000	91.245	167.6360
250.000000	91.234	167.9344
254.000000	91.190	167.9950
258.000000	91.168	168.2106
262.000000	91.141	168.4518
265.000000	91.121	168.6331
269.000000	91.094	168.8613
272.000000	91.072	169.0233
