* Measurement data measured by REW V5.20.4
* Source: Microphone (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 15 Feb, 2022 1:15:53 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Starsea Pure L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	97.755	163.1790
20.299999	97.735	162.9398
20.600000	97.715	162.6988
20.900000	97.695	162.4605
21.200001	97.674	162.2141
21.400000	97.660	162.0503
21.799999	97.631	161.7355
22.000000	97.616	161.5853
22.400000	97.587	161.2892
22.700001	97.566	161.0805
23.000000	97.546	160.8759
23.299999	97.526	160.6632
23.600000	97.507	160.4483
24.000000	97.480	160.1628
24.299999	97.460	159.9505
24.700001	97.432	159.6773
25.000000	97.412	159.4785
25.400000	97.384	159.2082
25.799999	97.355	158.9399
26.200001	97.322	158.6782
26.500000	97.296	158.4952
26.900000	97.259	158.2829
27.200001	97.232	158.1356
27.600000	97.199	157.9337
28.000000	97.169	157.7092
28.500000	97.128	157.3890
29.000000	97.080	157.0820
29.500000	97.030	156.8247
30.000000	96.988	156.6051
30.400000	96.962	156.4078
30.700001	96.944	156.2395
31.100000	96.917	155.9962
31.500000	96.885	155.7565
32.000000	96.842	155.5037
32.500000	96.802	155.2909
33.000000	96.768	155.0788
33.500000	96.729	154.8416
34.000000	96.687	154.6103
34.500000	96.647	154.4081
35.000000	96.609	154.2341
35.500000	96.575	154.0528
36.000000	96.539	153.8523
36.500000	96.500	153.6418
37.000000	96.457	153.4470
37.500000	96.414	153.2676
38.200001	96.354	153.0286
38.700001	96.309	152.8528
39.500000	96.237	152.5847
40.000000	96.194	152.4322
40.599998	96.146	152.2422
41.200001	96.099	152.0331
41.799999	96.049	151.8287
42.500000	95.990	151.6316
43.099998	95.944	151.4745
43.700001	95.897	151.3066
44.400002	95.838	151.1360
45.000000	95.789	151.0209
45.500000	95.751	150.9108
46.200001	95.693	150.7370
46.799999	95.640	150.6230
47.500000	95.585	150.4999
48.200001	95.528	150.2902
48.700001	95.474	150.1498
49.400002	95.397	150.1264
50.000000	95.359	150.1742
50.799999	95.330	149.9980
51.500000	95.277	149.7068
52.200001	95.211	149.5565
53.000000	95.153	149.4610
53.799999	95.096	149.2851
54.500000	95.037	149.1722
55.200001	94.984	149.1017
56.000000	94.928	148.9844
57.000000	94.850	148.8564
58.000000	94.777	148.7575
59.000000	94.701	148.6505
60.000000	94.624	148.5627
60.799999	94.567	148.4885
61.500000	94.519	148.4154
62.200001	94.469	148.3489
63.000000	94.412	148.2930
64.000000	94.345	148.2161
65.000000	94.278	148.1509
66.000000	94.214	148.0970
67.000000	94.149	148.0180
68.000000	94.079	147.9854
69.000000	94.015	147.9465
70.000000	93.947	147.9137
71.000000	93.884	147.9030
72.000000	93.821	147.8672
73.000000	93.758	147.8529
74.000000	93.697	147.8373
75.000000	93.638	147.8213
76.199997	93.568	147.7947
77.500000	93.488	147.8021
78.800003	93.415	147.8257
80.000000	93.348	147.8335
81.199997	93.280	147.8374
82.500000	93.207	147.8828
83.800003	93.138	147.8966
85.000000	93.070	147.9543
86.199997	93.008	147.9969
87.500000	92.942	148.0694
88.500000	92.897	148.0509
90.000000	92.807	148.0941
91.199997	92.752	148.1641
92.500000	92.687	148.2117
93.800003	92.625	148.2647
95.000000	92.563	148.3181
96.199997	92.508	148.4045
97.500000	92.446	148.4412
98.800003	92.386	148.5467
100.000000	92.330	148.5909
101.500000	92.267	148.7251
103.000000	92.200	148.7883
104.400002	92.142	148.8929
106.000000	92.071	149.0177
107.500000	92.010	149.1216
109.000000	91.946	149.2330
110.599998	91.880	149.3576
112.000000	91.823	149.4715
113.800003	91.752	149.6031
115.000000	91.704	149.7027
117.199997	91.618	149.8790
118.000000	91.588	149.9530
120.599998	91.492	150.1886
122.000000	91.443	150.3196
124.099998	91.370	150.5025
125.000000	91.339	150.5790
126.500000	91.287	150.7297
128.000000	91.239	150.8814
131.500000	91.128	151.2441
132.000000	91.112	151.2877
134.000000	91.051	151.5027
136.000000	90.994	151.6945
138.000000	90.938	151.8878
140.000000	90.883	152.0877
143.000000	90.797	152.3452
145.000000	90.747	152.5152
147.500000	90.690	152.7693
150.000000	90.677	153.1847
152.500000	90.551	153.3392
155.000000	90.471	153.5401
157.500000	90.404	153.7433
160.000000	90.341	154.0052
162.500000	90.276	154.2737
165.000000	90.211	154.5257
167.500000	90.150	154.7570
170.000000	90.091	155.0193
172.500000	90.037	155.2762
175.000000	89.984	155.5165
177.500000	89.934	155.7686
180.000000	89.884	156.0280
182.500000	89.836	156.2856
185.000000	89.789	156.5436
187.500000	89.743	156.7938
190.000000	89.697	157.0372
192.500000	89.657	157.2931
195.000000	89.617	157.5436
197.500000	89.576	157.8013
200.000000	89.536	158.0449
203.000000	89.495	158.3463
206.000000	89.452	158.6479
209.000000	89.409	158.9418
212.000000	89.368	159.2455
214.000000	89.342	159.4442
218.000000	89.283	159.8341
220.000000	89.254	160.0248
224.000000	89.197	160.4159
227.000000	89.156	160.7198
230.000000	89.117	161.0056
233.000000	89.077	161.2921
236.000000	89.040	161.5723
240.000000	88.986	161.9576
243.000000	88.953	162.2251
247.000000	88.910	162.6639
250.000000	88.877	163.1583
254.000000	88.829	163.2625
258.000000	88.794	163.6404
262.000000	88.747	164.0315
265.000000	88.716	164.3214
269.000000	88.675	164.7174
272.000000	88.640	165.0142
276.000000	88.594	165.4355
280.000000	88.549	165.8720
285.000000	88.496	166.4526
290.000000	88.447	167.1283
295.000000	88.418	167.8613
300.000000	88.414	168.6000
304.000000	88.432	169.0534
307.000000	88.450	169.3259
311.000000	88.465	169.5381
315.000000	88.466	169.6858
320.000000	88.452	169.8552
325.000000	88.425	170.0522
330.000000	88.389	170.3108
335.000000	88.351	170.5935
340.000000	88.313	170.9004
345.000000	88.283	171.2298
350.000000	88.271	171.7320
355.000000	88.219	171.9641
360.000000	88.191	172.2814
365.000000	88.161	172.6562
370.000000	88.135	173.0098
375.000000	88.112	173.3680
382.000000	88.074	173.9017
387.000000	88.050	174.2506
395.000000	88.012	174.8240
400.000000	87.988	175.1921
406.000000	87.964	175.6337
412.000000	87.939	176.0668
418.000000	87.913	176.4944
425.000000	87.886	176.9990
431.000000	87.863	177.4169
437.000000	87.840	177.8600
444.000000	87.815	178.3264
450.000000	87.752	178.9246
455.000000	87.767	179.1032
462.000000	87.745	179.6275
468.000000	87.725	-179.9429
475.000000	87.699	-179.4544
482.000000	87.679	-178.9730
487.000000	87.665	-178.5867
494.000000	87.646	-178.1170
500.000000	87.632	-177.6651
508.000000	87.613	-177.0945
515.000000	87.597	-176.5999
522.000000	87.576	-176.0825
530.000000	87.559	-175.4767
538.000000	87.544	-174.8840
545.000000	87.527	-174.3435
552.000000	87.517	-173.7496
560.000000	87.504	-173.0686
570.000000	87.509	-172.1992
580.000000	87.528	-171.3540
590.000000	87.558	-170.6510
600.000000	87.583	-170.0563
608.000000	87.589	-169.6402
615.000000	87.585	-169.2333
622.000000	87.584	-168.8178
630.000000	87.582	-168.3439
640.000000	87.569	-167.6994
650.000000	87.536	-167.1451
660.000000	87.563	-166.3551
670.000000	87.558	-165.6762
680.000000	87.561	-165.0037
690.000000	87.560	-164.2734
700.000000	87.558	-163.5819
710.000000	87.564	-162.8538
720.000000	87.571	-162.1372
730.000000	87.580	-161.4095
740.000000	87.590	-160.7104
750.000000	87.636	-160.0309
762.000000	87.627	-159.1328
775.000000	87.645	-158.2027
788.000000	87.675	-157.2730
800.000000	87.705	-156.4376
812.000000	87.737	-155.5785
825.000000	87.778	-154.6711
838.000000	87.825	-153.7463
850.000000	87.893	-152.8996
862.000000	87.919	-152.1139
875.000000	87.975	-151.2434
885.000000	88.021	-150.5829
900.000000	88.095	-149.5980
912.000000	88.161	-148.8430
925.000000	88.232	-148.0151
938.000000	88.305	-147.1963
950.000000	88.400	-146.4476
962.000000	88.461	-145.7660
975.000000	88.555	-144.9638
988.000000	88.652	-144.2207
1000.000000	88.753	-143.5527
1015.000000	88.881	-142.7071
1030.000000	89.021	-141.9406
1044.000000	89.157	-141.2681
1060.000000	89.323	-140.5547
1075.000000	89.485	-140.0246
1090.000000	89.635	-139.5577
1106.000000	89.794	-139.1646
1120.000000	89.923	-138.9011
1138.000000	90.087	-138.6616
1150.000000	90.196	-138.3968
1172.000000	90.363	-138.4115
1180.000000	90.424	-138.3346
1206.000000	90.608	-138.2319
1220.000000	90.718	-138.1555
1241.000000	90.901	-138.1170
1250.000000	90.966	-138.1220
1265.000000	91.098	-138.0469
1280.000000	91.219	-137.9839
1315.000000	91.496	-137.8491
1320.000000	91.532	-137.8296
1340.000000	91.688	-137.7574
1360.000000	91.884	-137.7135
1380.000000	92.051	-137.6537
1400.000000	92.214	-137.6026
1430.000000	92.464	-137.5655
1450.000000	92.638	-137.5599
1475.000000	92.848	-137.6968
1500.000000	93.064	-137.8124
1525.000000	93.287	-138.0330
