* Measurement data measured by REW V5.20.4
* Source: Microphone (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 15 Feb, 2022 1:02:50 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Starsea Pure R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	97.127	164.3015
20.299999	97.115	164.1147
20.600000	97.108	163.9160
20.900000	97.104	163.6941
21.200001	97.099	163.4339
21.400000	97.095	163.2517
21.799999	97.082	162.8963
22.000000	97.074	162.7296
22.400000	97.061	162.4056
22.700001	97.054	162.1573
23.000000	97.048	161.8722
23.299999	97.035	161.5367
23.600000	97.012	161.1842
24.000000	96.961	160.7686
24.299999	96.913	160.5629
24.700001	96.852	160.4714
25.000000	96.822	160.4965
25.400000	96.810	160.5183
25.799999	96.817	160.3884
26.200001	96.816	160.0666
26.500000	96.798	159.7656
26.900000	96.747	159.4203
27.200001	96.698	159.2663
27.600000	96.641	159.2143
28.000000	96.606	159.2191
28.500000	96.590	159.1476
29.000000	96.579	158.8804
29.500000	96.550	158.5141
30.000000	96.508	158.1920
30.400000	96.476	157.9811
30.700001	96.454	157.8386
31.100000	96.428	157.6436
31.500000	96.402	157.4344
32.000000	96.368	157.1752
32.500000	96.330	156.9367
33.000000	96.294	156.7258
33.500000	96.256	156.5209
34.000000	96.220	156.3136
34.500000	96.186	156.0973
35.000000	96.149	155.8893
35.500000	96.110	155.7003
36.000000	96.072	155.5366
36.500000	96.035	155.3813
37.000000	96.000	155.2232
37.500000	95.966	155.0538
38.200001	95.915	154.8165
38.700001	95.876	154.6469
39.500000	95.812	154.3747
40.000000	95.772	154.2093
40.599998	95.723	154.0211
41.200001	95.676	153.8461
41.799999	95.629	153.6752
42.500000	95.575	153.4797
43.099998	95.529	153.3248
43.700001	95.484	153.1761
44.400002	95.432	152.9918
45.000000	95.384	152.8364
45.500000	95.343	152.7270
46.200001	95.293	152.5863
46.799999	95.252	152.4347
47.500000	95.198	152.2657
48.200001	95.151	152.1474
48.700001	95.125	152.0215
49.400002	95.080	151.7285
50.000000	95.016	151.5243
50.799999	94.933	151.5256
51.500000	94.894	151.5661
52.200001	94.861	151.4491
53.000000	94.802	151.2999
53.799999	94.743	151.2399
54.500000	94.697	151.1539
55.200001	94.645	151.0398
56.000000	94.582	150.9417
57.000000	94.510	150.8307
58.000000	94.439	150.6888
59.000000	94.365	150.5924
60.000000	94.296	150.5168
60.799999	94.245	150.4487
61.500000	94.201	150.3986
62.200001	94.157	150.3421
63.000000	94.103	150.2860
64.000000	94.038	150.2335
65.000000	93.969	150.1581
66.000000	93.904	150.1415
67.000000	93.847	150.0073
68.000000	93.763	149.9602
69.000000	93.717	150.0421
70.000000	93.669	149.8269
71.000000	93.583	149.7997
72.000000	93.531	149.9166
73.000000	93.481	149.8871
74.000000	93.423	149.8973
75.000000	93.366	149.8939
76.199997	93.297	149.9092
77.500000	93.223	149.9337
78.800003	93.158	149.9162
80.000000	93.085	149.9459
81.199997	93.034	149.9643
82.500000	92.959	149.9578
83.800003	92.895	149.9977
85.000000	92.834	150.0592
86.199997	92.778	150.0584
87.500000	92.704	150.1340
88.500000	92.664	150.1885
90.000000	92.588	150.2199
91.199997	92.534	150.2849
92.500000	92.476	150.3375
93.800003	92.417	150.3794
95.000000	92.361	150.4512
96.199997	92.307	150.5195
97.500000	92.252	150.6211
98.800003	92.192	150.6993
100.000000	92.146	150.8363
101.500000	92.086	150.8633
103.000000	92.022	150.9795
104.400002	91.967	151.0526
106.000000	91.901	151.1671
107.500000	91.846	151.2841
109.000000	91.788	151.3820
110.599998	91.727	151.5059
112.000000	91.675	151.6070
113.800003	91.606	151.7437
115.000000	91.564	151.8480
117.199997	91.486	152.0341
118.000000	91.458	152.0972
120.599998	91.367	152.3098
122.000000	91.322	152.4379
124.099998	91.255	152.6149
125.000000	91.226	152.6948
126.500000	91.181	152.8356
128.000000	91.134	152.9661
131.500000	91.030	153.2746
132.000000	91.016	153.3224
134.000000	90.960	153.5071
136.000000	90.904	153.7099
138.000000	90.848	153.9151
140.000000	90.791	154.0903
143.000000	90.718	154.3577
145.000000	90.667	154.5760
147.500000	90.599	154.8732
150.000000	90.494	155.3027
152.500000	90.467	155.2916
155.000000	90.411	155.5002
157.500000	90.355	155.7658
160.000000	90.294	156.0196
162.500000	90.231	156.2399
165.000000	90.177	156.4885
167.500000	90.120	156.7514
170.000000	90.064	156.9910
172.500000	90.014	157.2194
175.000000	89.968	157.4711
177.500000	89.922	157.7035
180.000000	89.876	157.9503
182.500000	89.831	158.1888
185.000000	89.789	158.4450
187.500000	89.744	158.6937
190.000000	89.705	158.9083
192.500000	89.669	159.1550
195.000000	89.634	159.3983
197.500000	89.597	159.6346
200.000000	89.563	159.8770
203.000000	89.522	160.1565
206.000000	89.484	160.4224
209.000000	89.446	160.6998
212.000000	89.410	160.9949
214.000000	89.385	161.1683
218.000000	89.334	161.5333
220.000000	89.306	161.7222
224.000000	89.257	162.0774
227.000000	89.220	162.3503
230.000000	89.184	162.6228
233.000000	89.149	162.8856
236.000000	89.113	163.1648
240.000000	89.066	163.5053
243.000000	89.037	163.7733
247.000000	88.993	164.1177
250.000000	88.936	164.3517
254.000000	88.929	164.7282
258.000000	88.886	165.1017
262.000000	88.850	165.4247
265.000000	88.826	165.6961
269.000000	88.791	166.0566
272.000000	88.759	166.3062
276.000000	88.719	166.6650
280.000000	88.679	167.0291
285.000000	88.631	167.5023
290.000000	88.585	167.9883
295.000000	88.541	168.5114
300.000000	88.499	169.0926
304.000000	88.469	169.5540
307.000000	88.452	169.9394
311.000000	88.442	170.4414
315.000000	88.446	170.9309
320.000000	88.461	171.4539
325.000000	88.483	171.7935
330.000000	88.492	172.0129
335.000000	88.487	172.1644
340.000000	88.471	172.3429
345.000000	88.450	172.5404
350.000000	88.405	172.9753
355.000000	88.394	173.0104
360.000000	88.368	173.3003
365.000000	88.341	173.5697
370.000000	88.313	173.8976
375.000000	88.289	174.1826
382.000000	88.250	174.6464
387.000000	88.224	174.9579
395.000000	88.187	175.4664
400.000000	88.161	175.8013
406.000000	88.137	176.1944
412.000000	88.108	176.5875
418.000000	88.085	176.9898
425.000000	88.057	177.4249
431.000000	88.032	177.8096
437.000000	88.008	178.2100
444.000000	87.982	178.6783
450.000000	87.921	179.0330
455.000000	87.937	179.3866
462.000000	87.910	179.8630
468.000000	87.889	-179.7467
475.000000	87.864	-179.2958
482.000000	87.841	-178.8239
487.000000	87.826	-178.4875
494.000000	87.807	-178.0144
500.000000	87.791	-177.6080
508.000000	87.768	-177.0898
515.000000	87.754	-176.5942
522.000000	87.734	-176.1014
530.000000	87.717	-175.5352
538.000000	87.699	-174.9521
545.000000	87.691	-174.4415
552.000000	87.679	-173.9371
560.000000	87.671	-173.3131
570.000000	87.669	-172.5756
580.000000	87.672	-171.8576
590.000000	87.678	-171.1693
600.000000	87.688	-170.5539
608.000000	87.688	-170.0355
615.000000	87.688	-169.5985
622.000000	87.683	-169.1788
630.000000	87.686	-168.6899
640.000000	87.681	-168.0748
650.000000	87.660	-167.6214
660.000000	87.669	-166.8320
670.000000	87.669	-166.1796
680.000000	87.662	-165.5573
690.000000	87.659	-164.8490
700.000000	87.656	-164.2106
710.000000	87.652	-163.5131
720.000000	87.655	-162.8293
730.000000	87.659	-162.1548
740.000000	87.667	-161.4328
750.000000	87.703	-160.7897
762.000000	87.689	-159.8743
775.000000	87.706	-158.9057
788.000000	87.721	-158.0181
800.000000	87.739	-157.1527
812.000000	87.767	-156.2853
825.000000	87.803	-155.3181
838.000000	87.842	-154.3936
850.000000	87.910	-153.6032
862.000000	87.930	-152.6289
875.000000	87.987	-151.6719
885.000000	88.036	-150.9548
900.000000	88.117	-149.8727
912.000000	88.194	-149.0085
925.000000	88.290	-148.1382
938.000000	88.392	-147.3237
950.000000	88.484	-146.6214
962.000000	88.598	-145.9267
975.000000	88.719	-145.2521
988.000000	88.849	-144.6906
1000.000000	88.964	-144.2231
1015.000000	89.109	-143.7106
1030.000000	89.251	-143.2874
1044.000000	89.377	-142.9573
1060.000000	89.517	-142.6125
1075.000000	89.638	-142.3205
1090.000000	89.748	-142.0830
1106.000000	89.855	-141.8718
1120.000000	89.941	-141.6645
1138.000000	90.051	-141.4417
1150.000000	90.128	-141.2144
1172.000000	90.243	-141.0337
1180.000000	90.285	-140.9592
1206.000000	90.422	-140.6753
1220.000000	90.516	-140.5200
1241.000000	90.666	-140.3272
1250.000000	90.715	-140.1159
1265.000000	90.837	-140.0635
1280.000000	90.942	-139.9026
1315.000000	91.186	-139.5142
1320.000000	91.218	-139.4665
1340.000000	91.357	-139.2481
1360.000000	91.547	-139.0061
1380.000000	91.698	-138.8083
1400.000000	91.854	-138.6131
1430.000000	92.093	-138.3255
1450.000000	92.257	-138.1950
1475.000000	92.463	-138.0300
1500.000000	92.682	-137.9391
1525.000000	92.903	-137.9342
1550.000000	93.104	-137.9706
1575.000000	93.311	-138.1713
1600.000000	93.519	-138.4623
1625.000000	93.726	-138.8909
1650.000000	93.936	-139.4321
1675.000000	94.129	-140.1624
1700.000000	94.316	-141.0360
1725.000000	94.489	-142.0482
1750.000000	94.641	-143.2296
1775.000000	94.765	-144.4638
1800.000000	94.866	-145.8044
1825.000000	94.932	-147.2101
1850.000000	94.965	-148.6001
1875.000000	94.971	-149.9727
1900.000000	94.944	-151.2801
1925.000000	94.894	-152.4346
1950.000000	94.822	-153.5278
1975.000000	94.733	-154.4342
2000.000000	94.632	-155.2303
2030.000000	94.502	-155.9778
2060.000000	94.364	-156.5003
2090.000000	94.231	-156.8924
2120.000000	94.101	-157.1086
2140.000000	94.021	-157.1848
2180.000000	93.874	-157.1794
2200.000000	93.802	-157.1174
2240.000000	93.678	-156.9094
2270.000000	93.597	-156.6842
2300.000000	93.524	-156.4038
2330.000000	93.466	-156.1556
2360.000000	93.415	-155.8609
2400.000000	93.358	-155.4520
2430.000000	93.324	-155.1334
2470.000000	93.289	-154.7422
2500.000000	93.269	-154.4561
2540.000000	93.251	-154.0781
2580.000000	93.245	-153.7588
2620.000000	93.236	-153.4432
2650.000000	93.237	-153.2630
2690.000000	93.237	-152.9951
2720.000000	93.243	-152.8691
2760.000000	93.252	-152.7022
2800.000000	93.264	-152.5829
2850.000000	93.276	-152.4967
2900.000000	93.287	-152.4689
2950.000000	93.299	-152.5107
3000.000000	93.308	-152.6604
3040.000000	93.314	-152.8387
3070.000000	93.318	-153.0210
3110.000000	93.312	-153.2772
3150.000000	93.298	-153.6133
3200.000000	93.272	-154.1156
3250.000000	93.232	-154.7200
3300.000000	93.175	-155.4141
3350.000000	93.093	-156.1681
3400.000000	92.987	-157.0229
3450.000000	92.858	-157.9156
3500.000000	92.691	-158.8994
3550.000000	92.484	-159.8348
3600.000000	92.235	-160.7479
3650.000000	91.945	-161.5871
3700.000000	91.607	-162.2811
3750.000000	91.218	-162.8138
3820.000000	90.595	-163.0823
3870.000000	90.102	-162.8502
3950.000000	89.239	-161.4648
4000.000000	88.672	-159.8494
4060.000000	87.982	-157.0708
4120.000000	87.325	-153.2143
4180.000000	86.759	-148.2938
4250.000000	86.277	-141.2701
4310.000000	86.058	-134.5810
4370.000000	86.078	-127.6423
4440.000000	86.408	-119.8307
4500.000000	86.899	-114.1148
4550.000000	87.423	-110.1487
4620.000000	88.256	-106.0216
4680.000000	89.015	-103.8275
4750.000000	89.865	-102.8084
4820.000000	90.616	-103.2217
4870.000000	91.056	-104.1730
4940.000000	91.508	-106.0124
5000.000000	91.758	-107.6073
5080.000000	91.925	-109.3313
5150.000000	92.015	-110.1354
5220.000000	92.142	-110.5958
5300.000000	92.353	-111.2507
5380.000000	92.579	-112.8179
5450.000000	92.681	-114.8306
5520.000000	92.641	-117.0905
5600.000000	92.433	-119.4485
5700.000000	91.990	-121.4399
5800.000000	91.468	-122.1826
5900.000000	90.922	-121.7312
6000.000000	90.425	-120.3096
6080.000000	90.065	-118.6355
6150.000000	89.785	-116.9050
6220.000000	89.558	-114.9763
6300.000000	89.330	-112.5135
6400.000000	89.111	-109.1565
6500.000000	88.978	-105.5340
6600.000000	88.926	-101.8811
