* Measurement data measured by REW V5.20.4
* Source: Microphone (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 15 Feb, 2022 1:17:59 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Starsea Vocal L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	97.952	166.8744
20.299999	97.946	166.7104
20.600000	97.943	166.5014
20.900000	97.938	166.2514
21.200001	97.926	165.9691
21.400000	97.914	165.7862
21.799999	97.884	165.4713
22.000000	97.867	165.3473
22.400000	97.838	165.1496
22.700001	97.823	165.0281
23.000000	97.813	164.8943
23.299999	97.803	164.7276
23.600000	97.791	164.5449
24.000000	97.768	164.3155
24.299999	97.750	164.1810
24.700001	97.730	164.0626
25.000000	97.724	163.9886
25.400000	97.727	163.8362
25.799999	97.733	163.5790
26.200001	97.727	163.2290
26.500000	97.712	162.9539
26.900000	97.677	162.6422
27.200001	97.646	162.4658
27.600000	97.609	162.2893
28.000000	97.580	162.1336
28.500000	97.549	161.9080
29.000000	97.516	161.6784
29.500000	97.484	161.4758
30.000000	97.461	161.2691
30.400000	97.447	161.0425
30.700001	97.433	160.8373
31.100000	97.402	160.5569
31.500000	97.360	160.3299
32.000000	97.303	160.1926
32.500000	97.263	160.1706
33.000000	97.244	160.1286
33.500000	97.231	159.9613
34.000000	97.209	159.6863
34.500000	97.174	159.3917
35.000000	97.127	159.1697
35.500000	97.080	159.0427
36.000000	97.045	158.9664
36.500000	97.020	158.8640
37.000000	96.997	158.7026
37.500000	96.968	158.5049
38.200001	96.919	158.2652
38.700001	96.883	158.1295
39.500000	96.830	157.9068
40.000000	96.797	157.7581
40.599998	96.754	157.5921
41.200001	96.712	157.4500
41.799999	96.670	157.3253
42.500000	96.624	157.1962
43.099998	96.587	157.0777
43.700001	96.548	156.9374
44.400002	96.496	156.7924
45.000000	96.452	156.7138
45.500000	96.420	156.6455
46.200001	96.377	156.5040
46.799999	96.333	156.3819
47.500000	96.285	156.2919
48.200001	96.246	156.1582
48.700001	96.213	156.0077
49.400002	96.149	155.8639
50.000000	96.100	155.8851
50.799999	96.067	155.8936
51.500000	96.038	155.7287
52.200001	95.990	155.5826
53.000000	95.939	155.5260
53.799999	95.895	155.4234
54.500000	95.846	155.3402
55.200001	95.802	155.3061
56.000000	95.756	155.2217
57.000000	95.688	155.1314
58.000000	95.631	155.0976
59.000000	95.572	155.0057
60.000000	95.508	154.9776
60.799999	95.467	154.9287
61.500000	95.427	154.8780
62.200001	95.387	154.8527
63.000000	95.342	154.8089
64.000000	95.280	154.7685
65.000000	95.226	154.7714
66.000000	95.173	154.7444
67.000000	95.126	154.7424
68.000000	95.079	154.6590
69.000000	95.021	154.6551
70.000000	94.977	154.6793
71.000000	94.926	154.6804
72.000000	94.883	154.7240
73.000000	94.833	154.6828
74.000000	94.773	154.7200
