* Measurement data measured by REW V5.20.4
* Source: Microphone (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 15 Feb, 2022 1:11:37 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Starsea Vocal R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	97.214	169.2025
20.299999	97.215	168.9695
20.600000	97.208	168.6909
20.900000	97.190	168.4225
21.200001	97.166	168.2079
21.400000	97.153	168.1053
21.799999	97.139	167.9523
22.000000	97.139	167.8632
22.400000	97.150	167.5626
22.700001	97.151	167.2299
23.000000	97.135	166.8586
23.299999	97.100	166.5401
23.600000	97.057	166.3515
24.000000	97.012	166.3293
24.299999	97.004	166.3965
24.700001	97.030	166.4087
25.000000	97.063	166.2520
25.400000	97.096	165.8041
25.799999	97.091	165.2547
26.200001	97.053	164.8117
26.500000	97.017	164.6161
26.900000	96.976	164.5194
27.200001	96.958	164.4941
27.600000	96.949	164.4308
28.000000	96.948	164.2979
28.500000	96.944	164.0503
29.000000	96.934	163.7527
29.500000	96.912	163.4017
30.000000	96.870	163.0678
30.400000	96.827	162.8887
30.700001	96.794	162.8362
31.100000	96.759	162.8468
31.500000	96.741	162.8746
32.000000	96.732	162.8315
32.500000	96.722	162.6757
33.000000	96.704	162.4752
33.500000	96.678	162.2586
34.000000	96.648	162.0110
34.500000	96.612	161.7274
35.000000	96.560	161.4821
35.500000	96.502	161.3567
36.000000	96.456	161.3579
36.500000	96.433	161.3851
37.000000	96.430	161.3117
37.500000	96.429	161.0794
38.200001	96.399	160.6247
38.700001	96.355	160.3590
39.500000	96.287	160.1442
40.000000	96.259	160.0533
40.599998	96.231	159.9089
41.200001	96.202	159.7416
41.799999	96.169	159.5757
42.500000	96.123	159.4014
43.099998	96.080	159.3109
43.700001	96.041	159.2843
44.400002	96.007	159.2442
45.000000	95.979	159.1357
45.500000	95.947	159.0192
46.200001	95.895	158.9023
46.799999	95.856	158.8488
47.500000	95.819	158.7408
48.200001	95.777	158.5352
48.700001	95.736	158.3959
49.400002	95.674	158.3373
50.000000	95.639	158.3726
50.799999	95.617	158.3041
51.500000	95.590	158.1125
52.200001	95.547	157.9633
53.000000	95.500	157.8845
53.799999	95.458	157.8094
54.500000	95.418	157.7404
55.200001	95.376	157.6905
56.000000	95.329	157.6566
57.000000	95.274	157.5875
58.000000	95.212	157.5165
59.000000	95.157	157.4903
60.000000	95.103	157.4188
60.799999	95.066	157.3724
61.500000	95.037	157.2784
62.200001	94.994	157.2029
63.000000	94.952	157.2724
64.000000	94.934	157.2025
65.000000	94.871	157.0140
66.000000	94.818	157.1413
67.000000	94.787	157.0507
68.000000	94.723	157.0308
69.000000	94.686	157.0298
70.000000	94.617	156.8929
71.000000	94.553	157.1002
72.000000	94.532	157.1029
73.000000	94.476	157.0377
74.000000	94.441	157.1044
75.000000	94.399	157.0052
76.199997	94.353	157.0488
77.500000	94.280	156.8864
78.800003	94.216	157.1504
80.000000	94.173	157.2040
81.199997	94.150	157.2846
82.500000	94.081	157.1351
83.800003	94.037	157.2711
85.000000	93.985	157.2220
86.199997	93.950	157.2150
87.500000	93.867	157.2179
88.500000	93.846	157.4293
90.000000	93.794	157.4598
91.199997	93.779	157.5204
92.500000	93.720	157.5148
93.800003	93.691	157.5256
95.000000	93.624	157.5758
96.199997	93.598	157.7034
97.500000	93.557	157.7470
98.800003	93.514	157.6733
100.000000	93.453	157.9131
101.500000	93.441	157.9833
103.000000	93.393	158.0753
104.400002	93.353	158.1168
106.000000	93.305	158.2318
107.500000	93.261	158.3292
109.000000	93.216	158.4648
110.599998	93.177	158.5100
112.000000	93.136	158.6294
113.800003	93.089	158.7426
115.000000	93.061	158.7936
117.199997	93.001	158.9466
118.000000	92.981	158.9846
120.599998	92.920	159.1705
122.000000	92.882	159.2608
124.099998	92.836	159.3986
125.000000	92.815	159.4773
126.500000	92.787	159.5887
128.000000	92.752	159.6692
131.500000	92.680	159.9307
132.000000	92.667	159.9559
134.000000	92.629	160.1248
136.000000	92.591	160.2744
138.000000	92.550	160.4541
140.000000	92.513	160.5512
143.000000	92.465	160.7775
145.000000	92.427	160.9098
147.500000	92.385	161.1829
150.000000	92.336	161.6746
152.500000	92.284	161.5245
155.000000	92.242	161.6503
157.500000	92.206	161.7780
160.000000	92.162	162.0065
162.500000	92.116	162.1581
165.000000	92.072	162.3132
167.500000	92.034	162.4823
170.000000	91.993	162.6633
172.500000	91.959	162.8402
175.000000	91.924	163.0016
177.500000	91.892	163.1594
180.000000	91.862	163.3493
182.500000	91.833	163.5124
185.000000	91.801	163.6785
187.500000	91.772	163.8489
190.000000	91.743	164.0167
192.500000	91.715	164.1714
195.000000	91.692	164.3431
197.500000	91.670	164.4984
200.000000	91.647	164.6661
203.000000	91.618	164.8540
206.000000	91.592	165.0486
209.000000	91.567	165.2453
212.000000	91.544	165.4379
214.000000	91.526	165.5591
218.000000	91.487	165.8124
220.000000	91.467	165.9226
224.000000	91.432	166.1850
227.000000	91.405	166.3750
230.000000	91.377	166.5550
233.000000	91.351	166.7375
236.000000	91.324	166.9188
240.000000	91.291	167.1476
243.000000	91.269	167.3446
247.000000	91.237	167.5626
250.000000	91.193	167.6748
254.000000	91.195	167.9544
258.000000	91.170	168.2138
262.000000	91.140	168.4249
265.000000	91.120	168.6091
269.000000	91.092	168.8316
272.000000	91.072	168.9922
276.000000	91.046	169.2258
280.000000	91.020	169.4543
285.000000	90.981	169.7258
290.000000	90.949	170.0303
295.000000	90.913	170.3120
300.000000	90.882	170.5783
304.000000	90.856	170.8165
307.000000	90.834	170.9937
311.000000	90.805	171.2222
315.000000	90.779	171.4722
320.000000	90.744	171.7623
325.000000	90.712	172.0807
330.000000	90.681	172.4346
335.000000	90.654	172.7881
340.000000	90.630	173.1172
345.000000	90.612	173.4609
350.000000	90.580	173.7207
355.000000	90.590	174.0560
360.000000	90.576	174.3390
365.000000	90.564	174.6066
370.000000	90.548	174.8668
375.000000	90.531	175.1547
382.000000	90.502	175.5276
387.000000	90.481	175.8413
395.000000	90.457	176.3888
400.000000	90.453	176.7808
406.000000	90.458	177.1712
412.000000	90.470	177.4846
418.000000	90.478	177.7063
425.000000	90.483	177.9194
431.000000	90.478	178.0921
437.000000	90.464	178.2452
444.000000	90.444	178.4373
450.000000	90.452	178.5068
455.000000	90.409	178.7700
462.000000	90.382	178.9846
468.000000	90.353	179.2018
475.000000	90.325	179.4481
482.000000	90.295	179.7466
487.000000	90.278	179.9562
494.000000	90.253	-179.7425
500.000000	90.234	-179.4708
508.000000	90.205	-179.1013
515.000000	90.185	-178.7675
522.000000	90.163	-178.4574
530.000000	90.139	-178.0777
538.000000	90.115	-177.6904
545.000000	90.094	-177.3268
552.000000	90.076	-177.0141
560.000000	90.055	-176.5921
570.000000	90.030	-176.0974
580.000000	90.006	-175.5929
