* Measurement data measured by REW V5.20.4
* Source: Microphone (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 31 Jan, 2022 11:03:39 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: tanya l
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	93.802	-136.9679
20.299999	93.878	-137.3918
20.600000	93.955	-137.8055
20.900000	94.033	-138.2137
21.200001	94.114	-138.6413
21.400000	94.168	-138.9398
21.799999	94.273	-139.5617
22.000000	94.322	-139.8822
22.400000	94.413	-140.5347
22.700001	94.474	-141.0007
23.000000	94.532	-141.4325
23.299999	94.589	-141.8366
23.600000	94.648	-142.2159
24.000000	94.731	-142.7079
24.299999	94.795	-143.0920
24.700001	94.880	-143.6331
25.000000	94.940	-144.0536
25.400000	95.014	-144.6189
25.799999	95.082	-145.1555
26.200001	95.148	-145.6667
26.500000	95.198	-146.0463
26.900000	95.261	-146.5554
27.200001	95.304	-146.9471
27.600000	95.358	-147.4707
28.000000	95.407	-147.9659
28.500000	95.468	-148.5427
29.000000	95.536	-149.1111
29.500000	95.604	-149.7303
30.000000	95.664	-150.3761
30.400000	95.707	-150.8734
30.700001	95.739	-151.2156
31.100000	95.784	-151.6452
31.500000	95.834	-152.0791
32.000000	95.897	-152.6599
32.500000	95.953	-153.2708
33.000000	96.002	-153.8519
33.500000	96.046	-154.3922
34.000000	96.091	-154.9158
34.500000	96.140	-155.4454
35.000000	96.184	-155.9496
35.500000	96.228	-156.4120
36.000000	96.278	-156.8619
36.500000	96.331	-157.3553
37.000000	96.376	-157.8913
37.500000	96.410	-158.4205
38.200001	96.449	-159.0597
38.700001	96.479	-159.4748
39.500000	96.532	-160.1953
40.000000	96.560	-160.6826
40.599998	96.586	-161.2593
41.200001	96.608	-161.7973
41.799999	96.629	-162.3023
42.500000	96.659	-162.8652
43.099998	96.690	-163.3542
43.700001	96.723	-163.8854
44.400002	96.751	-164.5358
45.000000	96.768	-165.0526
45.500000	96.782	-165.4426
46.200001	96.809	-165.9758
46.799999	96.832	-166.4551
47.500000	96.855	-167.0210
48.200001	96.874	-167.6022
48.700001	96.882	-168.0236
49.400002	96.881	-168.5364
50.000000	96.888	-168.8761
50.799999	96.918	-169.3725
51.500000	96.940	-169.9370
52.200001	96.946	-170.4680
53.000000	96.958	-170.9872
53.799999	96.974	-171.5549
54.500000	96.979	-172.0521
55.200001	96.983	-172.5083
56.000000	96.988	-173.0374
57.000000	96.989	-173.6585
58.000000	96.997	-174.2778
59.000000	96.992	-174.9192
60.000000	96.987	-175.4837
60.799999	96.989	-175.9755
61.500000	96.985	-176.4051
62.200001	96.980	-176.7901
63.000000	96.980	-177.2141
64.000000	96.983	-177.7844
65.000000	96.979	-178.3806
66.000000	96.967	-178.9128
67.000000	96.962	-179.4225
68.000000	96.952	-179.9460
69.000000	96.942	179.5665
70.000000	96.933	179.0490
71.000000	96.917	178.5492
72.000000	96.902	178.0872
73.000000	96.891	177.6199
74.000000	96.875	177.1424
75.000000	96.857	176.6984
76.199997	96.842	176.1901
77.500000	96.822	175.5915
78.800003	96.799	175.0377
80.000000	96.776	174.5235
81.199997	96.753	174.0428
82.500000	96.729	173.5286
83.800003	96.704	173.0234
85.000000	96.678	172.5670
86.199997	96.653	172.1332
87.500000	96.624	171.6492
88.500000	96.602	171.2993
90.000000	96.567	170.7647
91.199997	96.538	170.3597
92.500000	96.507	169.9204
93.800003	96.478	169.5054
95.000000	96.447	169.1028
96.199997	96.415	168.7390
97.500000	96.383	168.3367
98.800003	96.351	167.9597
100.000000	96.321	167.5779
101.500000	96.281	167.1671
103.000000	96.245	166.7311
104.400002	96.210	166.3476
106.000000	96.163	165.9241
107.500000	96.122	165.5413
109.000000	96.078	165.1687
110.599998	96.032	164.7542
112.000000	95.989	164.4094
113.800003	95.940	164.0093
115.000000	95.903	163.7087
117.199997	95.843	163.2374
118.000000	95.818	163.0611
120.599998	95.742	162.5118
122.000000	95.703	162.2305
124.099998	95.643	161.8096
125.000000	95.615	161.6391
126.500000	95.574	161.3490
128.000000	95.529	161.0734
131.500000	95.429	160.4544
132.000000	95.415	160.3702
134.000000	95.358	160.0325
136.000000	95.299	159.7054
138.000000	95.239	159.3862
140.000000	95.182	159.0934
143.000000	95.096	158.6512
145.000000	95.037	158.3654
147.500000	94.965	158.0049
150.000000	94.904	157.5642
152.500000	94.822	157.3890
155.000000	94.742	157.1172
157.500000	94.663	156.8393
160.000000	94.585	156.5590
162.500000	94.508	156.3000
165.000000	94.433	156.0602
167.500000	94.356	155.8257
170.000000	94.281	155.6113
172.500000	94.210	155.3915
175.000000	94.142	155.1708
177.500000	94.070	154.9820
180.000000	94.004	154.8119
182.500000	93.937	154.6305
185.000000	93.870	154.4595
187.500000	93.803	154.3225
190.000000	93.736	154.1754
192.500000	93.671	154.0249
195.000000	93.610	153.8968
197.500000	93.549	153.7748
200.000000	93.485	153.6609
203.000000	93.413	153.5292
206.000000	93.340	153.4164
209.000000	93.267	153.3010
212.000000	93.193	153.2064
214.000000	93.149	153.1357
218.000000	93.046	153.0270
220.000000	92.998	152.9879
224.000000	92.900	152.8917
227.000000	92.826	152.8315
230.000000	92.755	152.7836
233.000000	92.685	152.7415
236.000000	92.612	152.7041
240.000000	92.518	152.6722
243.000000	92.454	152.6711
247.000000	92.365	152.6162
250.000000	92.285	152.5599
254.000000	92.214	152.6228
258.000000	92.130	152.6300
262.000000	92.044	152.6606
265.000000	91.983	152.6780
269.000000	91.899	152.7176
272.000000	91.835	152.7518
276.000000	91.752	152.8152
280.000000	91.667	152.8672
285.000000	91.567	152.9580
290.000000	91.465	153.0658
295.000000	91.366	153.1769
300.000000	91.270	153.3105
304.000000	91.191	153.4134
307.000000	91.131	153.5028
311.000000	91.056	153.6174
315.000000	90.980	153.7435
320.000000	90.886	153.9095
325.000000	90.797	154.0833
330.000000	90.705	154.2692
335.000000	90.616	154.4604
340.000000	90.529	154.6750
345.000000	90.446	154.8743
350.000000	90.372	155.1061
355.000000	90.283	155.3119
360.000000	90.203	155.5218
365.000000	90.125	155.7607
370.000000	90.049	156.0016
375.000000	89.974	156.2454
382.000000	89.868	156.6191
387.000000	89.792	156.8673
395.000000	89.676	157.2923
400.000000	89.606	157.5572
406.000000	89.522	157.9085
412.000000	89.439	158.2484
418.000000	89.358	158.5937
425.000000	89.266	159.0272
431.000000	89.187	159.3799
437.000000	89.108	159.7412
444.000000	89.018	160.1889
450.000000	88.961	160.5124
455.000000	88.884	160.8887
462.000000	88.798	161.3384
468.000000	88.728	161.7357
475.000000	88.646	162.1973
482.000000	88.568	162.6876
487.000000	88.517	163.0137
494.000000	88.442	163.5159
500.000000	88.384	163.9326
508.000000	88.303	164.5030
515.000000	88.239	165.0093
522.000000	88.169	165.5020
530.000000	88.098	166.0975
538.000000	88.029	166.6882
545.000000	87.966	167.2089
552.000000	87.908	167.7316
560.000000	87.843	168.3653
