* Measurement data measured by REW V5.20.4
* Source: Microphone (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 31 Jan, 2022 11:02:40 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: tanya r
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	93.305	-134.0642
20.299999	93.388	-134.5207
20.600000	93.469	-134.9705
20.900000	93.548	-135.4079
21.200001	93.626	-135.8452
21.400000	93.678	-136.1346
21.799999	93.780	-136.7029
22.000000	93.830	-136.9834
22.400000	93.927	-137.5476
22.700001	93.998	-137.9587
23.000000	94.067	-138.3594
23.299999	94.136	-138.7592
23.600000	94.204	-139.1548
24.000000	94.293	-139.6810
24.299999	94.359	-140.0816
24.700001	94.443	-140.6158
25.000000	94.502	-141.0087
25.400000	94.579	-141.5197
25.799999	94.654	-142.0042
26.200001	94.730	-142.4797
26.500000	94.787	-142.8427
26.900000	94.860	-143.3364
27.200001	94.910	-143.7183
27.600000	94.973	-144.2341
28.000000	95.031	-144.7350
28.500000	95.102	-145.3350
29.000000	95.173	-145.9105
29.500000	95.245	-146.4927
30.000000	95.316	-147.0841
30.400000	95.372	-147.5634
30.700001	95.412	-147.9158
31.100000	95.464	-148.3736
31.500000	95.515	-148.8205
32.000000	95.578	-149.3674
32.500000	95.641	-149.9186
33.000000	95.700	-150.4722
33.500000	95.751	-151.0200
34.000000	95.799	-151.5372
34.500000	95.852	-152.0310
35.000000	95.907	-152.5214
35.500000	95.962	-153.0385
36.000000	96.012	-153.5727
36.500000	96.055	-154.0964
37.000000	96.095	-154.5834
37.500000	96.137	-155.0506
38.200001	96.197	-155.7159
38.700001	96.235	-156.2103
39.500000	96.287	-156.9797
40.000000	96.318	-157.4343
40.599998	96.358	-157.9736
41.200001	96.397	-158.5186
41.799999	96.432	-159.0623
42.500000	96.471	-159.6768
43.099998	96.504	-160.1889
43.700001	96.536	-160.7012
44.400002	96.570	-161.2933
45.000000	96.596	-161.7829
45.500000	96.618	-162.1868
46.200001	96.648	-162.7599
46.799999	96.670	-163.2469
47.500000	96.695	-163.7868
48.200001	96.724	-164.3442
48.700001	96.741	-164.7756
49.400002	96.753	-165.3572
50.000000	96.762	-165.7683
50.799999	96.789	-166.2687
51.500000	96.820	-166.7834
52.200001	96.841	-167.3345
53.000000	96.857	-167.9131
53.799999	96.875	-168.4530
54.500000	96.889	-168.9319
55.200001	96.901	-169.4188
56.000000	96.909	-169.9563
57.000000	96.920	-170.5791
58.000000	96.934	-171.2417
59.000000	96.936	-171.8917
60.000000	96.941	-172.4904
60.799999	96.947	-173.0061
61.500000	96.946	-173.4243
62.200001	96.951	-173.7928
63.000000	96.964	-174.2703
64.000000	96.960	-174.9203
65.000000	96.953	-175.4035
66.000000	96.964	-175.9189
67.000000	96.965	-176.5086
68.000000	96.959	-177.0640
69.000000	96.951	-177.5910
70.000000	96.945	-178.1072
71.000000	96.938	-178.6234
72.000000	96.930	-179.1141
73.000000	96.922	-179.6104
74.000000	96.912	179.9204
75.000000	96.903	179.4371
76.199997	96.887	178.8973
77.500000	96.877	178.3182
78.800003	96.862	177.7136
80.000000	96.843	177.1857
81.199997	96.827	176.6897
82.500000	96.809	176.1397
83.800003	96.788	175.6149
85.000000	96.767	175.1375
86.199997	96.747	174.6776
87.500000	96.720	174.1599
88.500000	96.701	173.8128
90.000000	96.675	173.2372
91.199997	96.649	172.7996
92.500000	96.623	172.3536
93.800003	96.598	171.9002
95.000000	96.571	171.4919
96.199997	96.546	171.1020
97.500000	96.519	170.6669
98.800003	96.489	170.2581
100.000000	96.463	169.8862
101.500000	96.427	169.4234
103.000000	96.394	168.9745
104.400002	96.358	168.5465
106.000000	96.319	168.1150
107.500000	96.283	167.6893
109.000000	96.246	167.2818
110.599998	96.206	166.8484
112.000000	96.167	166.4916
113.800003	96.118	166.0370
115.000000	96.086	165.7637
117.199997	96.028	165.2235
118.000000	96.007	165.0347
120.599998	95.936	164.4446
122.000000	95.901	164.1330
124.099998	95.844	163.6768
125.000000	95.820	163.4893
126.500000	95.783	163.1730
128.000000	95.741	162.8586
131.500000	95.650	162.1876
132.000000	95.636	162.0887
134.000000	95.579	161.7370
136.000000	95.525	161.3765
138.000000	95.469	161.0225
140.000000	95.416	160.6932
143.000000	95.334	160.2131
145.000000	95.279	159.8878
147.500000	95.214	159.5172
150.000000	95.161	159.2129
152.500000	95.070	158.8462
155.000000	94.993	158.4969
157.500000	94.917	158.1683
160.000000	94.844	157.8535
162.500000	94.770	157.5767
165.000000	94.695	157.2995
167.500000	94.621	157.0304
170.000000	94.549	156.7632
172.500000	94.481	156.5280
175.000000	94.414	156.2851
177.500000	94.345	156.0563
180.000000	94.281	155.8392
182.500000	94.217	155.6288
185.000000	94.149	155.4193
187.500000	94.084	155.2429
190.000000	94.019	155.0778
192.500000	93.955	154.8944
195.000000	93.895	154.7330
197.500000	93.834	154.5736
200.000000	93.774	154.4214
203.000000	93.700	154.2740
206.000000	93.631	154.1256
209.000000	93.556	153.9702
212.000000	93.488	153.8270
214.000000	93.441	153.7493
218.000000	93.343	153.5889
220.000000	93.292	153.5224
224.000000	93.195	153.3788
227.000000	93.124	153.2924
230.000000	93.054	153.2119
233.000000	92.980	153.1401
236.000000	92.911	153.0582
240.000000	92.821	152.9860
243.000000	92.758	152.9601
247.000000	92.666	152.8969
250.000000	92.613	152.8466
254.000000	92.514	152.8259
258.000000	92.428	152.7633
262.000000	92.346	152.7748
265.000000	92.284	152.7697
269.000000	92.199	152.7683
272.000000	92.136	152.7794
276.000000	92.053	152.8023
280.000000	91.969	152.8365
285.000000	91.866	152.8793
290.000000	91.765	152.9372
295.000000	91.666	153.0149
300.000000	91.565	153.0856
304.000000	91.491	153.1736
307.000000	91.430	153.2444
311.000000	91.352	153.3235
315.000000	91.276	153.4167
320.000000	91.183	153.5468
325.000000	91.091	153.6924
330.000000	90.998	153.8398
335.000000	90.907	153.9805
340.000000	90.820	154.1519
345.000000	90.735	154.3162
350.000000	90.644	154.4465
355.000000	90.570	154.6714
360.000000	90.489	154.8724
365.000000	90.410	155.0852
370.000000	90.330	155.2980
375.000000	90.256	155.5090
382.000000	90.147	155.8329
387.000000	90.069	156.0505
395.000000	89.950	156.4330
400.000000	89.877	156.6675
406.000000	89.791	156.9951
412.000000	89.707	157.2797
418.000000	89.624	157.6130
425.000000	89.528	157.9803
431.000000	89.447	158.3204
437.000000	89.366	158.6505
444.000000	89.276	159.0665
450.000000	89.186	159.3230
455.000000	89.134	159.6910
462.000000	89.046	160.1306
468.000000	88.971	160.4969
475.000000	88.889	160.9145
482.000000	88.805	161.3685
487.000000	88.752	161.6975
494.000000	88.678	162.1581
500.000000	88.614	162.5498
508.000000	88.531	163.0836
515.000000	88.458	163.5500
522.000000	88.391	164.0366
530.000000	88.317	164.5776
538.000000	88.243	165.1653
545.000000	88.177	165.6640
552.000000	88.111	166.1693
560.000000	88.047	166.7420
570.000000	87.962	167.4911
580.000000	87.881	168.2387
590.000000	87.804	168.9707
600.000000	87.732	169.7470
608.000000	87.676	170.3755
615.000000	87.625	170.9205
622.000000	87.574	171.4639
630.000000	87.518	172.1096
640.000000	87.460	172.9045
650.000000	87.391	173.7616
660.000000	87.339	174.4869
670.000000	87.291	175.2855
680.000000	87.240	176.1109
690.000000	87.193	176.8803
700.000000	87.148	177.6389
710.000000	87.100	178.4167
720.000000	87.059	179.1396
730.000000	87.012	179.8537
740.000000	86.959	-179.4419
750.000000	86.882	-178.6711
762.000000	86.808	-177.6776
